unixtime,date,ws,wd,co2,temp
1625851236,07/09/2021 17:20,3.69,199,419,40
1625851239,07/09/2021 17:20,3.35,207,468,40
1625851242,07/09/2021 17:20,3.02,198,458,40
1625851245,07/09/2021 17:20,3.02,200,419,40
1625851248,07/09/2021 17:20,3.02,203,387,40
1625851251,07/09/2021 17:20,2.68,233,389,40
1625851254,07/09/2021 17:20,2.01,213,370,40
1625851257,07/09/2021 17:20,2.01,230,355,40
1625851260,07/09/2021 17:21,2.01,213,345,40
1625851263,07/09/2021 17:21,1.68,205,333,40
1625851266,07/09/2021 17:21,2.01,203,331,40
1625851269,07/09/2021 17:21,1.34,155,362,40
1625851272,07/09/2021 17:21,1.34,119,378,40
1625851275,07/09/2021 17:21,1.01,95,381,40
1625851278,07/09/2021 17:21,1.01,87,421,40
1625851281,07/09/2021 17:21,1.01,109,423,40
1625851284,07/09/2021 17:21,1.68,64,357,40
1625851287,07/09/2021 17:21,1.68,90,350,40
1625851290,07/09/2021 17:21,2.01,95,343,40
1625851293,07/09/2021 17:21,2.01,129,361,41
1625851296,07/09/2021 17:21,3.02,209,358,41
1625851299,07/09/2021 17:21,3.02,159,373,41
1625851302,07/09/2021 17:21,3.02,242,384,41
1625851305,07/09/2021 17:21,2.68,261,381,41
1625851308,07/09/2021 17:21,2.68,225,385,41
1625851311,07/09/2021 17:21,2.01,233,387,41
1625851314,07/09/2021 17:21,2.01,160,380,41
1625851317,07/09/2021 17:21,2.01,257,381,41
1625851320,07/09/2021 17:22,2.35,219,386,41
1625851323,07/09/2021 17:22,2.68,242,390,41
1625851326,07/09/2021 17:22,3.02,253,394,41
1625851329,07/09/2021 17:22,3.02,244,400,41
1625851332,07/09/2021 17:22,2.01,207,404,41
1625851335,07/09/2021 17:22,2.01,254,401,41
1625851338,07/09/2021 17:22,2.01,279,460,41
1625851341,07/09/2021 17:22,1.68,231,406,41
1625851344,07/09/2021 17:22,2.35,194,450,41
1625851347,07/09/2021 17:22,3.02,211,430,41
1625851350,07/09/2021 17:22,3.69,213,340,41
1625851353,07/09/2021 17:22,4.36,227,349,41
1625851356,07/09/2021 17:22,4.36,207,441,41
1625851359,07/09/2021 17:22,4.02,209,506,40
1625851362,07/09/2021 17:22,4.02,218,438,40
1625851365,07/09/2021 17:22,2.68,220,499,40
1625851368,07/09/2021 17:22,2.68,223,412,41
1625851371,07/09/2021 17:22,3.02,207,412,41
1625851374,07/09/2021 17:22,2.01,223,430,40
1625851377,07/09/2021 17:22,2.35,228,429,40
1625851380,07/09/2021 17:23,3.02,195,415,41
1625851383,07/09/2021 17:23,2.68,215,390,41
1625851386,07/09/2021 17:23,3.69,207,414,40
1625851389,07/09/2021 17:23,3.69,223,373,40
1625851392,07/09/2021 17:23,3.69,205,257,40
1625851395,07/09/2021 17:23,2.68,214,191,40
1625851398,07/09/2021 17:23,2.35,226,188,40
1625851401,07/09/2021 17:23,2.35,220,212,40
1625851404,07/09/2021 17:23,3.35,250,254,40
1625851407,07/09/2021 17:23,2.35,196,264,40
1625851410,07/09/2021 17:23,2.01,232,315,40
1625851413,07/09/2021 17:23,2.35,218,389,40
1625851416,07/09/2021 17:23,2.35,218,276,41
1625851419,07/09/2021 17:23,2.01,221,447,40
1625851422,07/09/2021 17:23,1.68,211,426,40
1625851425,07/09/2021 17:23,2.01,216,341,41
1625851428,07/09/2021 17:23,2.01,216,358,41
1625851431,07/09/2021 17:23,2.01,207,389,41
1625851434,07/09/2021 17:23,1.68,211,370,41
1625851437,07/09/2021 17:23,1.34,211,353,41
1625851440,07/09/2021 17:24,1.34,213,385,41
1625851443,07/09/2021 17:24,1.01,222,382,41
1625851446,07/09/2021 17:24,1.01,228,397,41
1625851449,07/09/2021 17:24,1.68,220,348,41
1625851452,07/09/2021 17:24,1.01,220,390,41
1625851455,07/09/2021 17:24,1.34,220,486,41
1625851458,07/09/2021 17:24,1.68,235,390,41
1625851461,07/09/2021 17:24,2.01,249,333,41
1625851464,07/09/2021 17:24,2.35,267,348,41
1625851467,07/09/2021 17:24,2.35,235,377,41
1625851470,07/09/2021 17:24,2.01,247,383,41
1625851473,07/09/2021 17:24,1.01,243,385,41
1625851476,07/09/2021 17:24,1.34,243,386,41
1625851479,07/09/2021 17:24,1.01,205,366,41
1625851482,07/09/2021 17:24,0.67,225,389,41
1625851485,07/09/2021 17:24,0.67,256,394,41
1625851488,07/09/2021 17:24,0.67,257,387,41
1625851491,07/09/2021 17:24,1.01,255,393,41
1625851494,07/09/2021 17:24,1.34,245,399,42
1625851497,07/09/2021 17:24,1.68,248,376,42
1625851500,07/09/2021 17:25,2.01,244,392,42
1625851503,07/09/2021 17:25,1.68,233,393,42
1625851506,07/09/2021 17:25,2.01,223,393,42
1625851509,07/09/2021 17:25,2.01,246,390,42
1625851512,07/09/2021 17:25,2.01,217,381,42
1625851515,07/09/2021 17:25,1.68,268,404,42
1625851518,07/09/2021 17:25,1.34,277,391,42
1625851521,07/09/2021 17:25,0.67,268,398,42
1625851524,07/09/2021 17:25,1.01,265,393,42
1625851527,07/09/2021 17:25,1.01,264,400,42
1625851530,07/09/2021 17:25,0.67,265,404,42
1625851533,07/09/2021 17:25,0.34,265,405,42
1625851536,07/09/2021 17:25,0.34,264,396,42
1625851539,07/09/2021 17:25,0.67,265,397,42
1625851542,07/09/2021 17:25,0.67,263,392,42
1625851545,07/09/2021 17:25,0.34,263,388,42
1625851548,07/09/2021 17:25,1.34,246,385,42
1625851551,07/09/2021 17:25,1.01,242,388,42
1625851554,07/09/2021 17:25,1.01,243,398,42
1625851557,07/09/2021 17:25,1.01,243,399,42
1625851560,07/09/2021 17:26,1.34,256,403,42
1625851563,07/09/2021 17:26,1.68,264,401,42
