Licor unixtime,LiCor time (Sec),LiCor conc (ppm),SCD unixtime,SCD time (sec),SCD 1 (ppm),SCD 2 (ppm),SCD 3 (ppm),SCD 4 (ppm)
1635306388,112,452,1635306612,336,452,446,458,465
1635306389,113,456,1635306615,339,452,447,458,465
1635306390,114,452,1635306618,342,452,446,458,465
1635306391,115,454,1635306621,345,452,446,459,465
1635306392,116,452,1635306624,348,452,446,459,466
1635306393,117,456,1635306627,351,452,448,458,465
1635306394,118,452,1635306630,354,451,448,458,465
1635306395,119,456,1635306633,357,452,448,457,464
1635306396,120,454,1635306636,360,451,455,464,464
1635306397,121,452,1635306639,363,466,464,481,474
1635306398,122,454,1635306642,366,478,500,511,485
1635306399,123,454,1635306645,369,504,566,810,520
1635306400,124,454,1635306648,372,777,872,1016,587
1635306401,125,454,1635306651,375,981,872,1018,756
1635306402,126,454,1635306654,378,958,875,987,909
1635306403,127,454,1635306657,381,903,857,970,885
1635306404,128,454,1635306660,384,882,840,868,844
1635306405,129,454,1635306663,387,860,820,780,819
1635306406,130,456,1635306666,390,759,806,720,791
1635306407,131,452,1635306669,393,702,793,692,647
1635306408,132,452,1635306672,396,675,701,611,625
1635306409,133,454,1635306675,399,644,650,588,576
1635306410,134,454,1635306678,402,621,602,554,559
1635306411,135,452,1635306681,405,577,594,541,544
1635306412,136,454,1635306684,408,560,590,522,531
1635306413,137,452,1635306687,411,544,568,521,524
1635306414,138,452,1635306690,414,532,568,511,507
1635306415,139,456,1635306693,417,524,558,509,502
1635306416,140,454,1635306696,420,518,549,502,502
1635306417,141,456,1635306699,423,512,541,497,499
1635306418,142,454,1635306702,426,509,531,495,499
1635306419,143,454,1635306705,429,506,526,489,494
1635306420,144,456,1635306708,432,500,511,487,493
1635306421,145,454,1635306711,435,499,506,484,492
1635306422,146,454,1635306714,438,497,504,482,490
1635306423,147,454,1635306717,441,492,493,480,489
1635306424,148,452,1635306720,444,490,489,479,485
1635306425,149,456,1635306723,447,489,482,477,487
1635306426,150,454,1635306726,450,487,478,476,486
1635306427,151,458,1635306729,453,485,474,475,486
1635306428,152,458,1635306732,456,480,471,474,486
1635306429,153,456,1635306735,459,478,469,474,484
1635306430,154,454,1635306738,462,477,469,474,483
1635306431,155,452,1635306741,465,474,468,473,484
1635306432,156,452,1635306744,468,473,468,470,481
1635306433,157,456,1635306747,471,472,470,469,480
1635306434,158,456,1635306750,474,470,470,468,478
1635306435,159,452,1635306753,477,467,469,467,480
1635306436,160,456,1635306756,480,466,468,465,478
1635306437,161,454,1635306759,483,464,469,465,476
1635306438,162,452,1635306762,486,463,469,465,475
1635306439,163,456,1635306765,489,463,469,465,474
1635306440,164,452,1635306768,492,462,467,465,474
1635306441,165,454,1635306771,495,462,466,464,475
1635306442,166,452,1635306774,498,461,467,463,474
1635306443,167,456,1635306777,501,461,465,463,473
1635306444,168,452,1635306780,504,461,464,462,473
1635306445,169,452,1635306783,507,461,464,463,473
1635306446,170,452,1635306786,510,461,462,462,473
1635306447,171,454,1635306789,513,461,461,462,471
1635306448,172,454,1635306792,516,461,459,462,470
1635306449,173,452,1635306795,519,461,458,463,469
1635306450,174,454,1635306798,522,460,458,462,468
1635306451,175,452,1635306801,525,460,458,461,467
1635306452,176,454,1635306804,528,461,458,461,467
1635306453,177,452,1635306807,531,460,458,460,467
1635306454,178,452,1635306810,534,460,458,459,466
1635306455,179,454,1635306813,537,459,458,459,466
1635306456,180,450,1635306816,540,458,458,458,466
1635306457,181,452,1635306819,543,458,458,458,466
1635306458,182,450,1635306822,546,458,457,458,465
1635306459,183,452,1635306825,549,458,458,458,464
1635306460,184,450,1635306828,552,457,458,457,465
1635306461,185,454,1635306831,555,457,458,458,465
1635306462,186,450,1635306834,558,457,457,457,466
1635306463,187,454,1635306837,561,456,457,457,466
1635306464,188,452,1635306840,564,456,457,457,466
1635306465,189,456,1635306843,567,456,457,456,467
1635306466,190,452,1635306846,570,456,458,457,467
1635306467,191,450,1635306849,573,456,458,456,467
1635306468,192,452,1635306852,576,455,457,456,467
1635306469,193,452,1635306855,579,455,457,456,467
1635306470,194,454,1635306858,582,454,458,457,467
1635306471,195,452,1635306861,585,455,457,457,466
1635306472,196,452,1635306864,588,455,458,458,466
1635306473,197,454,1635306867,591,454,459,458,466
1635306474,198,454,1635306870,594,454,458,458,466
1635306475,199,452,1635306873,597,454,458,458,466
1635306476,200,454,1635306876,600,453,457,458,467
1635306477,201,452,1635306879,603,453,458,457,467
1635306478,202,452,1635306882,606,452,457,457,466
1635306479,203,452,1635306885,609,452,457,457,467
