UNIXTIMECO2,
1580807692,1570
1580807693,1570
1580807694,1570
1580807695,1571
1580807696,1571
1580807697,1571
1580807698,1571
1580807699,1571
1580807700,1571
1580807701,1571
1580807702,1571
1580807703,1572
1580807704,1573
1580807705,1574
1580807706,1574
1580807707,1575
1580807708,1576
1580807709,1576
1580807710,1577
1580807711,1577
1580807712,1578
1580807713,1578
1580807714,1578
1580807715,1578
1580807716,1579
1580807717,1579
1580807718,1580
1580807719,1580
1580807721,1581
1580807722,1580
1580807723,1580
1580807724,1580
1580807725,1580
1580807726,1580
1580807727,1580
1580807728,1580
1580807729,1580
1580807730,1580
1580807731,1580
1580807732,1580
1580807733,1580
1580807734,1580
1580807735,1580
1580807736,1579
1580807737,1579
1580807738,1578
1580807739,1578
1580807740,1577
1580807741,1577
1580807742,1577
1580807743,1577
1580807744,1578
1580807745,1578
1580807746,1578
1580807747,1577
1580807748,1577
1580807749,1577
1580807750,1577
1580807751,1577
1580807752,1577
1580807753,1577
1580807754,1577
1580807755,1577
1580807756,1577
1580807757,1576
1580807759,1576
1580807760,1576
1580807761,1577
1580807762,1577
1580807763,1577
1580807764,1577
1580807765,1578
1580807766,1578
1580807767,1578
1580807768,1577
1580807769,1576
1580807770,1576
1580807771,1575
1580807772,1575
1580807773,1574
1580807774,1574
1580807775,1574
1580807776,1573
1580807777,1573
1580807778,1573
1580807779,1573
1580807780,1573
1580807781,1573
1580807782,1573
1580807783,1573
1580807784,1573
1580807785,1573
1580807786,1573
1580807787,1573
1580807788,1574
1580807789,1574
1580807790,1575
1580807791,1575
1580807792,1575
1580807793,1576
1580807794,1576
1580807795,1577
1580807796,1577
1580807798,1577
1580807799,1577
1580807800,1578
1580807801,1578
1580807802,1578
1580807803,1577
1580807804,1577
1580807805,1577
1580807806,1578
1580807807,1578
1580807808,1578
1580807809,1578
1580807810,1577
1580807811,1577
1580807812,1577
1580807813,1577
1580807814,1578
1580807815,1578
1580807816,1578
1580807817,1578
1580807818,1578
1580807819,1577
1580807820,1577
1580807821,1577
1580807822,1577
1580807823,1577
1580807824,1577
1580807825,1577
1580807826,1577
1580807827,1578
1580807828,1578
1580807829,1578
1580807830,1578
1580807831,1578
1580807832,1578
1580807833,1578
1580807834,1579
1580807836,1579
1580807837,1580
1580807838,1580
1580807839,1580
1580807840,1580
1580807841,1580
1580807842,1580
1580807843,1580
1580807844,1580
1580807845,1580
1580807846,1580
1580807847,1580
1580807848,1580
1580807849,1581
1580807850,1581
1580807851,1581
1580807852,1581
1580807853,1581
1580807854,1581
1580807855,1581
1580807856,1581
1580807857,1581
1580807858,1581
1580807859,1582
1580807860,1582
1580807861,1582
1580807862,1582
1580807863,1582
1580807864,1582
1580807865,1582
1580807866,1582
1580807867,1582
1580807868,1582
1580807869,1582
1580807870,1582
1580807871,1582
1580807872,1582
1580807874,1583
1580807875,1583
1580807876,1583
1580807877,1583
1580807878,1583
1580807879,1583
1580807880,1583
1580807881,1583
1580807882,1583
1580807883,1583
1580807884,1583
1580807885,1583
1580807886,1583
1580807887,1583
1580807888,1584
1580807889,1584
1580807890,1585
1580807891,1585
1580807892,1585
1580807893,1586
1580807894,1586
1580807895,1586
1580807896,1586
1580807897,1586
1580807898,1586
1580807899,1586
1580807900,1586
1580807901,1586
1580807902,1586
1580807903,1586
1580807904,1586
1580807905,1585
1580807906,1585
1580807907,1584
1580807908,1583
1580807909,1583
1580807910,1582
1580807912,1582
1580807913,1582
1580807914,1581
1580807915,1581
1580807916,1580
1580807917,1580
1580807918,1580
1580807919,1581
1580807920,1580
1580807921,1580
1580807922,1580
1580807923,1580
1580807924,1580
1580807925,1580
1580807926,1579
1580807927,1579
1580807928,1578
1580807929,1577
1580807930,1576
1580807931,1576
1580807932,1575
1580807933,1575
1580807934,1575
1580807935,1575
1580807936,1575
1580807937,1575
1580807938,1576
1580807939,1576
1580807940,1577
1580807941,1578
1580807942,1578
1580807943,1579
1580807944,1579
1580807945,1580
1580807946,1580
1580807947,1580
1580807948,1580
1580807950,1580
1580807951,1580
1580807952,1580
1580807953,1580
1580807954,1580
1580807955,1579
1580807956,1579
1580807957,1578
1580807958,1578
1580807959,1578
1580807960,1578
1580807961,1577
1580807962,1577
1580807963,1576
1580807964,1576
1580807965,1575
1580807966,1575
1580807967,1575
1580807968,1576
1580807969,1576
1580807970,1576
1580807971,1576
1580807972,1576
1580807973,1576
1580807974,1576
1580807975,1576
1580807976,1576
1580807977,1576
1580807978,1576
1580807979,1575
1580807980,1575
1580807981,1575
1580807982,1575
1580807983,1575
1580807984,1575
1580807985,1574
1580807986,1574
1580807988,1574
1580807989,1574
1580807990,1573
1580807991,1573
1580807992,1572
1580807993,1572
1580807994,1572
1580807995,1572
1580807996,1571
1580807997,1571
1580807998,1571
1580807999,1571
1580808000,1571
1580808001,1571
1580808002,1571
1580808003,1571
1580808004,1571
1580808005,1572
1580808006,1572
1580808007,1573
1580808008,1573
1580808009,1574
1580808010,1574
1580808011,1574
1580808012,1574
1580808013,1574
1580808014,1574
1580808015,1574
1580808016,1574
