UnixTime,GasData
1583294401,409.0
1583294402,409.0
1583294403,410.0
1583294404,410.0
1583294405,410.0
1583294406,410.0
1583294407,410.0
1583294408,410.0
1583294409,410.0
1583294410,410.0
1583294411,409.0
1583294412,409.0
1583294413,409.0
1583294414,409.0
1583294415,409.0
1583294416,409.0
1583294417,409.0
1583294418,409.0
1583294419,409.0
1583294420,409.0
1583294421,409.0
1583294422,409.0
1583294423,409.0
1583294424,409.0
1583294425,408.0
1583294426,408.0
1583294427,408.0
1583294428,408.0
1583294429,408.0
1583294430,408.0
1583294431,408.0
1583294432,408.0
1583294433,408.0
1583294434,408.0
1583294435,408.0
1583294436,408.0
1583294437,408.0
1583294438,408.0
1583294439,408.0
1583294440,409.0
1583294441,409.0
1583294442,409.0
1583294443,409.0
1583294444,409.0
1583294445,409.0
1583294446,409.0
1583294447,409.0
1583294448,409.0
1583294449,409.0
1583294450,409.0
1583294451,409.0
1583294452,409.0
1583294453,409.0
1583294454,409.0
1583294455,409.0
1583294456,409.0
1583294457,409.0
1583294458,409.0
1583294459,408.0
1583294460,408.0
1583294461,408.0
1583294462,409.0
1583294463,409.0
1583294464,409.0
1583294465,409.0
1583294466,409.0
1583294467,409.0
1583294468,409.0
1583294469,409.0
1583294470,409.0
1583294471,409.0
1583294472,409.0
1583294473,409.0
1583294474,409.0
1583294475,408.0
1583294476,408.0
1583294477,408.0
1583294478,408.0
1583294479,409.0
1583294480,409.0
1583294481,409.0
1583294482,409.0
1583294483,409.0
1583294484,409.0
1583294485,408.0
1583294486,408.0
1583294487,408.0
1583294488,408.0
1583294489,408.0
1583294490,408.0
1583294491,408.0
1583294492,408.0
1583294493,408.0
1583294494,409.0
1583294495,409.0
1583294496,409.0
1583294497,409.0
1583294498,409.0
1583294499,409.0
1583294500,409.0
1583294501,410.0
1583294502,410.0
1583294503,409.0
1583294504,409.0
1583294505,409.0
1583294506,409.0
1583294507,409.0
1583294508,409.0
1583294509,409.0
1583294510,409.0
1583294511,409.0
1583294512,409.0
1583294513,409.0
1583294514,409.0
1583294515,409.0
1583294516,408.0
1583294517,408.0
1583294518,408.0
1583294519,409.0
1583294520,409.0
1583294521,409.0
1583294522,409.0
1583294523,408.0
1583294524,408.0
1583294525,408.0
1583294526,408.0
1583294527,408.0
1583294528,408.0
1583294529,408.0
1583294530,408.0
1583294531,408.0
1583294532,409.0
1583294533,409.0
1583294534,409.0
1583294535,408.0
1583294536,408.0
1583294537,408.0
1583294538,408.0
1583294539,408.0
1583294540,408.0
1583294541,408.0
1583294542,408.0
1583294543,408.0
1583294544,408.0
1583294545,408.0
1583294546,408.0
1583294547,408.0
1583294548,408.0
1583294549,408.0
1583294550,408.0
1583294551,408.0
1583294552,409.0
1583294553,409.0
1583294554,409.0
1583294555,409.0
1583294556,409.0
1583294557,409.0
1583294558,409.0
1583294559,409.0
1583294560,409.0
1583294561,409.0
1583294562,409.0
1583294563,409.0
1583294564,409.0
1583294565,409.0
1583294566,409.0
1583294567,409.0
1583294568,409.0
1583294569,409.0
1583294570,408.0
1583294571,408.0
1583294572,408.0
1583294573,408.0
1583294574,409.0
1583294575,409.0
1583294576,409.0
1583294577,409.0
1583294578,409.0
1583294579,409.0
1583294580,409.0
1583294581,409.0
1583294582,409.0
1583294583,409.0
1583294584,409.0
1583294585,409.0
1583294586,409.0
1583294587,409.0
1583294588,409.0
1583294589,409.0
1583294590,409.0
1583294591,408.0
1583294592,408.0
1583294593,408.0
1583294594,408.0
1583294595,408.0
1583294596,409.0
1583294597,409.0
1583294598,408.0
1583294599,408.0
1583294600,408.0
1583294601,408.0
1583294602,408.0
1583294603,409.0
1583294604,409.0
1583294605,409.0
1583294606,409.0
1583294607,409.0
1583294608,409.0
1583294609,409.0
1583294610,409.0
1583294611,409.0
1583294612,409.0
1583294613,409.0
1583294614,409.0
1583294615,409.0
1583294616,409.0
1583294617,409.0
1583294618,409.0
1583294619,410.0
1583294620,410.0
1583294621,410.0
1583294622,410.0
1583294623,410.0
1583294624,410.0
1583294625,410.0
1583294626,410.0
1583294627,410.0
1583294628,410.0
1583294629,410.0
1583294630,409.0
1583294631,409.0
1583294632,409.0
1583294633,408.0
1583294634,408.0
1583294635,408.0
1583294636,408.0
1583294637,408.0
1583294638,408.0
1583294639,408.0
1583294640,408.0
1583294641,408.0
1583294642,408.0
1583294643,408.0
1583294644,408.0
1583294645,408.0
1583294646,408.0
1583294647,408.0
1583294648,408.0
1583294649,409.0
1583294650,409.0
1583294651,409.0
1583294652,409.0
1583294653,410.0
1583294654,409.0
1583294655,409.0
1583294656,409.0
1583294657,409.0
1583294658,409.0
1583294659,409.0
1583294660,408.0
1583294661,408.0
1583294662,408.0
1583294663,408.0
1583294664,409.0
1583294665,409.0
1583294666,409.0
1583294667,409.0
1583294668,409.0
1583294669,409.0
1583294670,409.0
1583294671,409.0
1583294672,408.0
1583294673,408.0
1583294674,408.0
1583294675,408.0
1583294676,407.0
1583294677,407.0
1583294678,407.0
1583294679,407.0
1583294680,407.0
1583294681,407.0
1583294682,407.0
1583294683,408.0
1583294684,408.0
1583294685,409.0
1583294686,409.0
1583294687,409.0
1583294688,410.0
1583294689,410.0
1583294690,410.0
1583294691,410.0
1583294692,410.0
1583294693,410.0
1583294694,410.0
1583294695,410.0
1583294696,410.0
1583294697,410.0
1583294698,411.0
1583294699,411.0
1583294700,411.0
1583294701,411.0
1583294702,411.0
1583294703,411.0
1583294704,411.0
1583294705,411.0
1583294706,411.0
1583294707,411.0
1583294708,411.0
1583294709,410.0
1583294710,410.0
1583294711,409.0
1583294712,409.0
1583294713,409.0
1583294714,409.0
1583294715,409.0
1583294716,409.0
1583294717,409.0
1583294718,409.0
1583294719,409.0
1583294720,409.0
1583294721,409.0
1583294722,409.0
1583294723,410.0
1583294724,410.0
1583294725,409.0
1583294726,409.0
1583294727,409.0
1583294728,409.0
1583294729,409.0
1583294730,408.0
1583294731,408.0
1583294732,408.0
1583294733,408.0
1583294734,408.0
1583294735,407.0
1583294736,407.0
1583294737,407.0
1583294738,407.0
1583294739,407.0
1583294740,407.0
1583294741,407.0
1583294742,407.0
1583294743,407.0
1583294744,407.0
1583294745,407.0
1583294746,407.0
1583294747,407.0
1583294748,407.0
1583294749,407.0
1583294750,408.0
1583294751,408.0
1583294752,407.0
1583294753,407.0
1583294754,407.0
1583294755,407.0
1583294756,407.0
1583294757,407.0
1583294758,407.0
1583294759,407.0
1583294760,407.0
1583294761,407.0
1583294762,407.0
1583294763,407.0
1583294764,407.0
1583294765,407.0
1583294766,407.0
1583294767,407.0
1583294768,407.0
1583294769,408.0
1583294770,408.0
1583294771,408.0
1583294772,408.0
1583294773,408.0
1583294774,407.0
1583294775,407.0
1583294776,407.0
1583294777,408.0
1583294778,408.0
1583294779,408.0
1583294780,408.0
1583294781,409.0
1583294782,409.0
1583294783,409.0
1583294784,409.0
1583294785,409.0
1583294786,409.0
1583294787,409.0
1583294788,409.0
1583294789,409.0
1583294790,409.0
1583294791,409.0
1583294792,409.0
1583294793,409.0
1583294794,409.0
1583294795,409.0
1583294796,409.0
1583294797,409.0
1583294798,409.0
1583294799,409.0
1583294800,409.0
1583294801,409.0
1583294802,409.0
1583294803,410.0
1583294804,410.0
1583294805,410.0
1583294806,410.0
1583294807,411.0
1583294808,411.0
1583294809,411.0
1583294810,411.0
1583294811,411.0
1583294812,411.0
1583294813,411.0
1583294814,411.0
1583294815,411.0
1583294816,411.0
1583294817,411.0
1583294818,411.0
1583294819,411.0
1583294820,411.0
1583294821,411.0
1583294822,411.0
1583294823,411.0
1583294824,411.0
1583294825,411.0
1583294826,411.0
1583294827,411.0
1583294828,411.0
1583294829,411.0
1583294830,411.0
1583294831,410.0
1583294832,410.0
1583294833,410.0
1583294834,410.0
1583294835,410.0
1583294836,410.0
1583294837,411.0
1583294838,411.0
1583294839,411.0
1583294840,410.0
1583294841,410.0
1583294842,410.0
1583294843,410.0
1583294844,409.0
1583294845,409.0
1583294846,409.0
1583294847,409.0
1583294848,409.0
1583294849,409.0
1583294850,409.0
1583294851,409.0
1583294852,410.0
1583294853,410.0
1583294854,410.0
1583294855,410.0
1583294856,410.0
1583294857,410.0
1583294858,410.0
1583294859,410.0
1583294860,410.0
1583294861,410.0
1583294862,411.0
1583294863,410.0
1583294864,410.0
1583294865,409.0
1583294866,409.0
1583294867,408.0
1583294868,408.0
1583294869,408.0
1583294870,408.0
1583294871,408.0
1583294872,408.0
1583294873,408.0
1583294874,408.0
1583294875,408.0
1583294876,408.0
1583294877,408.0
1583294878,408.0
1583294879,408.0
1583294880,408.0
1583294881,408.0
1583294882,408.0
1583294883,408.0
1583294884,408.0
1583294885,408.0
1583294886,408.0
1583294887,408.0
1583294888,408.0
1583294889,408.0
1583294890,408.0
1583294891,408.0
1583294892,408.0
1583294893,408.0
1583294894,408.0
1583294895,408.0
1583294896,408.0
1583294897,409.0
1583294898,409.0
1583294899,410.0
1583294900,410.0
1583294901,410.0
1583294902,410.0
1583294903,410.0
1583294904,410.0
1583294905,409.0
1583294906,409.0
1583294907,409.0
1583294908,409.0
1583294909,409.0
1583294910,409.0
1583294911,409.0
1583294912,409.0
1583294913,409.0
1583294914,409.0
1583294915,409.0
1583294916,409.0
1583294917,409.0
1583294918,409.0
1583294919,409.0
1583294920,408.0
1583294921,408.0
1583294922,408.0
1583294923,409.0
1583294924,409.0
1583294925,409.0
1583294926,409.0
1583294927,409.0
1583294928,409.0
1583294929,409.0
1583294930,409.0
1583294931,409.0
1583294932,409.0
1583294933,409.0
1583294934,409.0
1583294935,409.0
1583294936,409.0
1583294937,409.0
1583294938,409.0
1583294939,409.0
1583294940,409.0
1583294941,409.0
1583294942,409.0
1583294943,409.0
1583294944,409.0
1583294945,409.0
1583294946,409.0
1583294947,409.0
1583294948,409.0
1583294949,409.0
1583294950,409.0
1583294951,409.0
1583294952,409.0
1583294953,409.0
1583294954,409.0
1583294955,409.0
1583294956,409.0
1583294957,410.0
1583294958,410.0
1583294959,410.0
1583294960,410.0
1583294961,410.0
1583294962,410.0
1583294963,410.0
1583294964,410.0
1583294965,410.0
1583294966,410.0
1583294967,410.0
1583294968,410.0
1583294969,409.0
1583294970,409.0
1583294971,408.0
1583294972,407.0
1583294973,407.0
1583294974,407.0
1583294975,407.0
1583294976,407.0
1583294977,407.0
1583294978,406.0
1583294979,406.0
1583294980,406.0
1583294981,406.0
1583294982,406.0
1583294983,406.0
1583294984,407.0
1583294985,407.0
1583294986,407.0
1583294987,407.0
1583294988,407.0
1583294989,407.0
1583294990,407.0
1583294991,407.0
1583294992,407.0
1583294993,407.0
1583294994,407.0
1583294995,407.0
1583294996,407.0
1583294997,407.0
1583294998,407.0
1583294999,407.0
1583295000,407.0
1583295001,407.0
1583295002,407.0
1583295003,407.0
1583295004,407.0
1583295005,407.0
1583295006,407.0
1583295007,407.0
1583295008,407.0
1583295009,407.0
1583295010,407.0
1583295011,407.0
1583295012,407.0
1583295013,407.0
1583295014,408.0
1583295015,408.0
1583295016,407.0
1583295017,407.0
1583295018,407.0
1583295019,407.0
1583295020,407.0
1583295021,408.0
1583295022,408.0
1583295023,408.0
1583295024,408.0
1583295025,408.0
1583295026,408.0
1583295027,408.0
1583295028,409.0
1583295029,409.0
1583295030,409.0
1583295031,410.0
1583295032,410.0
1583295033,410.0
1583295034,410.0
1583295035,410.0
1583295036,410.0
1583295037,410.0
1583295038,409.0
1583295039,409.0
1583295040,409.0
1583295041,409.0
1583295042,410.0
1583295043,410.0
1583295044,410.0
1583295045,410.0
1583295046,410.0
1583295047,410.0
1583295048,410.0
1583295049,409.0
1583295050,409.0
1583295051,408.0
1583295052,408.0
1583295053,408.0
1583295054,408.0
1583295055,409.0
1583295056,409.0
1583295057,409.0
1583295058,409.0
1583295059,409.0
1583295060,409.0
1583295061,409.0
1583295062,409.0
1583295063,409.0
1583295064,409.0
1583295065,409.0
1583295066,409.0
1583295067,410.0
1583295068,410.0
1583295069,410.0
1583295070,411.0
1583295071,411.0
1583295072,411.0
1583295073,411.0
1583295074,410.0
1583295075,410.0
1583295076,410.0
1583295077,410.0
1583295078,410.0
1583295079,410.0
1583295080,410.0
1583295081,411.0
1583295082,411.0
1583295083,410.0
1583295084,410.0
1583295085,410.0
1583295086,410.0
1583295087,410.0
1583295088,409.0
1583295089,409.0
1583295090,409.0
1583295091,409.0
1583295092,409.0
1583295093,410.0
1583295094,410.0
1583295095,410.0
1583295096,410.0
1583295097,411.0
1583295098,411.0
1583295099,411.0
1583295100,411.0
1583295101,410.0
1583295102,410.0
1583295103,410.0
1583295104,410.0
1583295105,410.0
1583295106,410.0
1583295107,410.0
1583295108,409.0
1583295109,409.0
1583295110,409.0
1583295111,409.0
1583295112,409.0
1583295113,409.0
1583295114,408.0
1583295115,408.0
1583295116,408.0
1583295117,408.0
