unixtime,ws,wd,co2,temp
1625851968,7,196,382,41
1625851971,4,187,473,41
1625851974,8,235,440,41
1625851977,10,199,370,41
1625851980,8,219,353,41
1625851983,6,224,313,41
1625851986,5,291,334,41
1625851989,4,267,369,41
1625851992,6,265,427,41
1625851995,7,208,419,41
1625851998,6,206,484,41
1625852001,7,205,459,41
1625852004,7,212,451,41
1625852007,5,227,433,41
1625852010,8,212,355,41
1625852013,6,212,390,41
1625852016,6,228,391,41
1625852019,7,234,380,41
1625852022,12,213,345,41
1625852025,9,207,459,41
1625852028,7,195,497,41
1625852031,8,213,480,41
1625852034,8,229,404,41
1625852037,10,205,365,41
1625852040,12,200,444,41
1625852043,11,208,331,41
1625852046,9,222,425,41
1625852049,8,216,446,41
1625852052,8,239,346,41
1625852055,8,215,378,41
1625852058,7,226,397,41
1625852061,10,259,438,41
1625852064,13,242,419,41
1625852067,14,242,434,41
1625852070,11,228,474,41
1625852073,10,227,474,41
1625852076,11,215,472,41
1625852079,11,257,474,41
1625852082,9,243,472,41
1625852085,7,221,437,41
1625852088,8,214,443,41
1625852091,6,262,443,41
1625852094,6,252,448,41
1625852097,6,258,449,41
1625852100,8,225,448,41
1625852103,8,243,449,41
1625852106,7,256,444,41
1625852109,8,202,443,41
1625852112,7,223,448,41
1625852115,7,213,443,41
1625852118,8,253,438,41
1625852121,6,212,434,41
1625852124,6,222,435,41
1625852127,7,245,405,41
1625852130,7,225,387,41
1625852133,9,235,391,41
1625852136,10,244,439,41
1625852139,8,237,435,41
1625852142,10,256,422,41
1625852145,11,249,436,41
1625852148,10,258,442,41
1625852151,9,213,425,41
1625852154,7,217,418,41
1625852157,8,232,403,41
1625852160,6,233,401,41
1625852163,6,224,398,41
1625852166,6,227,406,41
1625852169,5,239,411,41
1625852172,5,231,413,41
1625852175,4,230,416,41
1625852178,4,226,418,41
1625852181,3,229,424,41
1625852184,4,229,425,41
1625852187,3,229,425,42
1625852190,4,230,422,42
1625852193,5,224,422,42
1625852196,4,223,422,42
1625852199,5,228,420,42
1625852202,7,219,419,42
1625852205,8,209,420,42
1625852208,12,212,416,42
1625852211,8,224,410,42
1625852214,9,226,408,42
1625852217,10,212,399,41
1625852220,10,223,405,41
1625852223,10,213,409,41
1625852226,9,246,413,41
1625852229,7,249,412,41
1625852232,6,246,406,41
1625852235,8,233,405,41
1625852238,8,256,403,41
1625852241,6,259,405,41
1625852244,6,207,406,41
1625852247,8,219,409,41
1625852250,7,218,403,41
1625852253,9,219,407,41
1625852256,9,229,392,41
1625852259,9,213,490,41
1625852262,10,202,388,41
1625852265,9,211,367,41
1625852268,8,205,385,41
1625852271,7,217,361,41
1625852274,8,217,342,41
1625852277,12,213,318,41
1625852280,12,200,344,41
1625852283,10,240,408,41
1625852286,8,248,474,41
1625852289,10,223,433,41
1625852292,11,212,473,41
1625852295,11,215,502,41
1625852298,11,224,354,41
1625852301,11,211,314,41
1625852304,12,215,282,41
1625852307,11,220,337,41
1625852310,9,216,343,41
1625852313,10,209,336,41
1625852316,9,217,378,41
1625852319,9,226,366,41
1625852322,9,237,365,41
1625852325,8,231,380,41
1625852328,6,228,378,41
1625852331,6,230,379,41
1625852334,7,228,383,41
1625852337,6,230,392,41
1625852340,7,222,403,41
1625852343,9,229,426,41
