Read times - Voltage  graph	Voltage(V) - Voltage  graph	Read times - Current graph	Current(A) - Current graph	
196	4.985	196	0.0349	
197	4.977	197	0.0349	
198	4.977	198	0.0298	
199	4.985	199	0.0298	
200	4.985	200	0.0351	
201	4.979	201	0.0351	
202	4.979	202	0.0307	
203	4.985	203	0.0307	
204	4.985	204	0.0343	
205	4.982	205	0.0343	
206	4.982	206	0.0300	
207	4.985	207	0.0300	
208	4.985	208	0.0343	
209	4.983	209	0.0343	
210	4.983	210	0.0302	
211	4.986	211	0.0302	
212	4.986	212	0.0471	
213	4.983	213	0.0471	
214	4.983	214	0.0302	
215	4.986	215	0.0302	
216	4.986	216	0.0477	
217	4.983	217	0.0477	
218	4.983	218	0.0294	
219	4.985	219	0.0294	
220	4.985	220	0.0479	
221	4.983	221	0.0479	
222	4.983	222	0.0294	
223	4.985	223	0.0294	
224	4.985	224	0.0485	
225	4.984	225	0.0485	
226	4.984	226	0.0300	
227	4.985	227	0.0300	
228	4.985	228	0.0487	
229	4.984	229	0.0487	
230	4.984	230	0.0302	
231	4.985	231	0.0302	
232	4.985	232	0.0483	
233	4.984	233	0.0483	
234	4.984	234	0.0302	
235	4.985	235	0.0302	
236	4.985	236	0.0485	
237	4.985	237	0.0485	
238	4.985	238	0.0302	
239	4.986	239	0.0302	
240	4.986	240	0.0829	
241	4.984	241	0.0829	
242	4.984	242	0.0302	
243	4.986	243	0.0302	
244	4.986	244	0.0833	
245	4.985	245	0.0833	
246	4.985	246	0.0294	
247	4.985	247	0.0294	
248	4.985	248	0.0835	
249	4.986	249	0.0835	
250	4.986	250	0.0300	
251	4.985	251	0.0300	
252	4.985	252	0.0836	
253	4.985	253	0.0836	
254	4.985	254	0.0300	
255	4.985	255	0.0300	
256	4.985	256	0.0838	
257	4.986	257	0.0838	
258	4.986	258	0.0300	
259	4.985	259	0.0300	
260	4.985	260	0.0833	
261	4.984	261	0.0833	
262	4.984	262	0.0302	
263	4.985	263	0.0302	
264	4.985	264	0.0835	
265	4.985	265	0.0835	
266	4.985	266	0.0302	
267	4.985	267	0.0302	
268	4.985	268	0.0793	
269	4.985	269	0.0793	
270	4.985	270	0.0300	
271	4.985	271	0.0300	
272	4.985	272	0.0779	
273	4.984	273	0.0779	
274	4.984	274	0.0300	
275	4.985	275	0.0300	
276	4.985	276	0.0773	
277	4.985	277	0.0773	
278	4.985	278	0.0294	
279	4.985	279	0.0294	
280	4.985	280	0.0771	
281	4.986	281	0.0771	
282	4.986	282	0.0298	
283	4.985	283	0.0298	
284	4.985	284	0.0767	
285	4.985	285	0.0767	
286	4.985	286	0.0300	
287	4.984	287	0.0300	
288	4.984	288	0.0758	
289	4.985	289	0.0758	
290	4.985	290	0.0302	
291	4.985	291	0.0302	
292	4.985	292	0.0758	
293	4.984	293	0.0758	
294	4.984	294	0.0300	
295	4.985	295	0.0300	
296	4.985	296	0.0442	
297	4.985	297	0.0442	
298	4.985	298	0.0300	
299	4.986	299	0.0300	
300	4.986	300	0.0430	
301	4.985	301	0.0430	
302	4.985	302	0.0294	
303	4.982	303	0.0294	
304	4.982	304	0.0426	
305	4.985	305	0.0426	
306	4.985	306	0.0294	
307	4.982	307	0.0294	
308	4.982	308	0.0420	
309	4.985	309	0.0420	
310	4.985	310	0.0294	
311	4.982	311	0.0294	
312	4.982	312	0.0416	
313	4.986	313	0.0416	
314	4.986	314	0.0302	
315	4.982	315	0.0302	
316	4.982	316	0.0414	
317	4.985	317	0.0414	
318	4.985	318	0.0307	
319	4.982	319	0.0307	
320	4.982	320	0.0404	
321	4.985	321	0.0404	
322	4.985	322	0.0302	
323	4.983	323	0.0302	
324	4.983	324	0.0323	
325	4.985	325	0.0323	
326	4.985	326	0.0303	
327	4.982	327	0.0303	
328	4.982	328	0.0325	
329	4.985	329	0.0325	
330	4.985	330	0.0298	
331	4.978	331	0.0298	
332	4.978	332	0.0325	
333	4.985	333	0.0325	
334	4.985	334	0.0298	
335	4.977	335	0.0298	
336	4.977	336	0.0325	
337	4.986	337	0.0325	
338	4.986	338	0.0327	
339	4.977	339	0.0327	
340	4.977	340	0.0327	
341	4.986	341	0.0327	
342	4.986	342	0.0331	
343	4.977	343	0.0331	
344	4.977	344	0.0317	
345	4.986	345	0.0317	
346	4.986	346	0.0333	
347	4.977	347	0.0333	
348	4.977	348	0.0317	
349	4.985	349	0.0317	
350	4.985	350	0.0333	
351	4.978	351	0.0333	
352	4.978	352	0.0349	
353	4.984	353	0.0349	
354	4.984	354	0.0348	
355	4.978	355	0.0348	
356	4.978	356	0.0300	
357	4.985	357	0.0300	
358	4.985	358	0.0335	
359	4.978	359	0.0335	
360	4.978	360	0.0302	
361	4.985	361	0.0302	
362	4.985	362	0.0329	
363	4.978	363	0.0329	
364	4.978	364	0.0300	
365	4.986	365	0.0300	
366	4.986	366	0.0345	
367	4.979	367	0.0345	
368	4.979	368	0.0302	
369	4.986	369	0.0302	
370	4.986	370	0.0349	
371	4.979	371	0.0349	
372	4.979	372	0.0294	
373	4.984	373	0.0294	
374	4.984	374	0.0351	
375	4.979	375	0.0351	
376	4.979	376	0.0294	
377	4.985	377	0.0294	
378	4.985	378	0.0347	
379	4.980	379	0.0347	
380	4.980	380	0.0300	
381	4.985	381	0.0300	
382	4.985	382	0.0349	
383	4.980	383	0.0349	
384	4.980	384	0.0300	
385	4.985	385	0.0300	
386	4.985	386	0.0341	
387	4.985	387	0.0341	
388	4.985	388	0.0302	
389	4.985	389	0.0302	
390	4.985	390	0.0343	
391	4.984	391	0.0343	
392	4.984	392	0.0300	
393	4.986	393	0.0300	
394	4.986	394	0.0592	
395	4.985	395	0.0592	
396	4.985	396	0.0300	
397	4.986	397	0.0300	
398	4.986	398	0.0602	
399	4.985	399	0.0602	
400	4.985	400	0.0294	
401	4.985	401	0.0294	
402	4.985	402	0.0609	
403	4.985	403	0.0609	
404	4.985	404	0.0296	
405	4.985	405	0.0296	
406	4.985	406	0.0619	
407	4.985	407	0.0619	
408	4.985	408	0.0296	
409	4.985	409	0.0296	
410	4.985	410	0.0627	
411	4.985	411	0.0627	
412	4.985	412	0.0307	
413	4.985	413	0.0307	
414	4.985	414	0.0627	
415	4.985	415	0.0627	
416	4.985	416	0.0300	
417	4.985	417	0.0300	
418	4.985	418	0.0637	
419	4.985	419	0.0637	
420	4.985	420	0.0300	
421	4.986	421	0.0300	
422	4.986	422	0.0864	
423	4.985	423	0.0864	
424	4.985	424	0.0302	
425	4.986	425	0.0302	
426	4.986	426	0.0864	
427	4.985	427	0.0864	
428	4.985	428	0.0296	
429	4.985	429	0.0296	
430	4.985	430	0.0862	
431	4.985	431	0.0862	
432	4.985	432	0.0296	
433	4.985	433	0.0296	
434	4.985	434	0.0878	
435	4.986	435	0.0878	
436	4.986	436	0.0300	
437	4.985	437	0.0300	
438	4.985	438	0.0862	
439	4.986	439	0.0862	
440	4.986	440	0.0300	
441	4.985	441	0.0300	
442	4.985	442	0.0854	
443	4.985	443	0.0854	
444	4.985	444	0.0300	
445	4.985	445	0.0300	
446	4.985	446	0.0858	
447	4.985	447	0.0858	
448	4.985	448	0.0302	
449	4.985	449	0.0302	
450	4.985	450	0.0856	
451	4.985	451	0.0856	
452	4.985	452	0.0300	
453	4.984	453	0.0300	
454	4.984	454	0.0582	
455	4.985	455	0.0582	
456	4.985	456	0.0296	
457	4.985	457	0.0296	
458	4.985	458	0.0568	
459	4.985	459	0.0568	
460	4.985	460	0.0294	
461	4.984	461	0.0294	
462	4.984	462	0.0564	
463	4.985	463	0.0564	
464	4.985	464	0.0296	
465	4.984	465	0.0296	
466	4.984	466	0.0554	
467	4.986	467	0.0554	
468	4.986	468	0.0302	
469	4.984	469	0.0302	
470	4.984	470	0.0538	
471	4.984	471	0.0538	
