Read times,Voltage(V),Current(A),Power (W),,,
6,4.983,0.0371,0.1848693,,,
7,4.981,0.0371,0.1847951,,Statistics,
8,4.981,0.0929,0.4627349,,Min V,4.97
9,4.981,0.0929,0.4627349,,Max V,4.99
10,4.981,0.0347,0.1728407,,Avg V,4.98
11,4.981,0.0347,0.1728407,,Min mA,29.20
12,4.981,0.0904,0.4502824,,Max mA,92.90
13,4.982,0.0904,0.4503728,,Avg mA,40.96
14,4.982,0.0345,0.171879,,Min mW,145
15,4.981,0.0345,0.1718445,,Max mW,463
16,4.981,0.0902,0.4492862,,Avg mW,204
17,4.982,0.0902,0.4493764,,Total h,6
18,4.982,0.0345,0.171879,,Total s,21600
19,4.981,0.0345,0.1718445,,,
20,4.981,0.0898,0.4472938,,,
21,4.982,0.0898,0.4473836,,,
22,4.982,0.0345,0.171879,,,
23,4.982,0.0345,0.171879,,,
24,4.982,0.0854,0.4254628,,calc,mA * h = mAh
25,4.983,0.0854,0.4255482,,,
26,4.983,0.0296,0.1474968,,Power,
27,4.981,0.0296,0.1474376,,mAh calc,245.8
28,4.981,0.0852,0.4243812,,mWh calc,1225
29,4.981,0.0852,0.4243812,,mAh  USB,243.0
30,4.981,0.0296,0.1474376,,mWh USB,1211.0
31,4.981,0.0296,0.1474376,,mAh PC,243.0
32,4.981,0.0521,0.2595101,,mWh PC,1209.0
33,4.983,0.0521,0.2596143,,,
34,4.983,0.0294,0.1465002,,Wh calc,1.23
35,4.981,0.0294,0.1464414,,Wh/day,4.90
36,4.981,0.0515,0.2565215,,,
37,4.981,0.0515,0.2565215,,,
38,4.981,0.0294,0.1464414,,,
39,4.981,0.0294,0.1464414,,,
40,4.981,0.0513,0.2555253,,,
41,4.983,0.0513,0.2556279,,,
42,4.983,0.0296,0.1474968,,,
43,4.981,0.0296,0.1474376,,,
44,4.981,0.0505,0.2515405,,,
45,4.983,0.0505,0.2516415,,,
46,4.983,0.0298,0.1484934,,,
47,4.98,0.0298,0.148404,,,
48,4.98,0.0501,0.249498,,,
49,4.983,0.0501,0.2496483,,,
50,4.983,0.0298,0.1484934,,,
51,4.979,0.0298,0.1483742,,,
52,4.979,0.0497,0.2474563,,,
53,4.983,0.0497,0.2476551,,,
54,4.983,0.0302,0.1504866,,,
55,4.981,0.0302,0.1504262,,,
56,4.981,0.0497,0.2475557,,,
57,4.981,0.0497,0.2475557,,,
58,4.981,0.0298,0.1484338,,,
59,4.981,0.0298,0.1484338,,,
60,4.981,0.0331,0.1648711,,,
61,4.982,0.0331,0.1649042,,,
62,4.982,0.0298,0.1484636,,,
63,4.981,0.0298,0.1484338,,,
64,4.981,0.0333,0.1658673,,,
65,4.982,0.0333,0.1659006,,,
66,4.982,0.0294,0.1464708,,,
67,4.975,0.0294,0.146265,,,
68,4.975,0.0333,0.1656675,,,
69,4.981,0.0333,0.1658673,,,
70,4.981,0.0292,0.1454452,,,
71,4.975,0.0292,0.14527,,,
72,4.975,0.0335,0.1666625,,,
73,4.982,0.0335,0.166897,,,
74,4.982,0.0294,0.1464708,,,
75,4.975,0.0294,0.146265,,,
76,4.975,0.0341,0.1696475,,,
77,4.984,0.0341,0.1699544,,,
78,4.984,0.0323,0.1609832,,,
79,4.976,0.0323,0.1607248,,,
80,4.976,0.0325,0.16172,,,
81,4.983,0.0325,0.1619475,,,
82,4.983,0.0324,0.1614492,,,
83,4.976,0.0324,0.1612224,,,
84,4.976,0.0325,0.16172,,,
85,4.982,0.0325,0.161915,,,
86,4.982,0.0324,0.1614168,,,
87,4.976,0.0324,0.1612224,,,
88,4.976,0.0298,0.1482848,,,
89,4.983,0.0298,0.1484934,,,
90,4.983,0.0323,0.1609509,,,
91,4.975,0.0323,0.1606925,,,
92,4.975,0.03,0.14925,,,
93,4.982,0.03,0.14946,,,
94,4.982,0.0317,0.1579294,,,
95,4.973,0.0294,0.1462062,,,
96,4.973,0.0294,0.1462062,,,
97,4.984,0.0294,0.1465296,,,
98,4.984,0.0424,0.2113216,,,
99,4.98,0.0294,0.146412,,,
100,4.98,0.0294,0.146412,,,
101,4.985,0.0294,0.146559,,,
102,4.985,0.0858,0.427713,,,
103,4.985,0.0858,0.427713,,,
104,4.985,0.03,0.14955,,,
105,4.984,0.03,0.14952,,,
106,4.984,0.086,0.428624,,,
107,4.984,0.086,0.428624,,,
108,4.984,0.0305,0.152012,,,
109,4.984,0.0305,0.152012,,,
110,4.984,0.0854,0.4256336,,,
111,4.984,0.0854,0.4256336,,,
112,4.984,0.03,0.14952,,,
113,4.983,0.03,0.14949,,,
114,4.983,0.0521,0.2596143,,,
115,4.984,0.0521,0.2596664,,,
116,4.984,0.03,0.14952,,,
117,4.984,0.03,0.14952,,,
118,4.984,0.0523,0.2606632,,,
119,4.984,0.0523,0.2606632,,,
120,4.984,0.03,0.14952,,,
121,4.984,0.03,0.14952,,,
122,4.984,0.0519,0.2586696,,,
123,4.984,0.0519,0.2586696,,,
124,4.984,0.0294,0.1465296,,,
125,4.983,0.0294,0.1465002,,,
126,4.983,0.0515,0.2566245,,,
127,4.985,0.0515,0.2567275,,,
128,4.985,0.0298,0.148553,,,
129,4.982,0.0298,0.1484636,,,
130,4.982,0.0509,0.2535838,,,
131,4.985,0.0509,0.2537365,,,
132,4.985,0.0298,0.148553,,,
133,4.983,0.0298,0.1484934,,,
134,4.983,0.0501,0.2496483,,,
135,4.985,0.0501,0.2497485,,,
136,4.985,0.0305,0.1520425,,,
137,4.982,0.0305,0.151951,,,
138,4.982,0.0501,0.2495982,,,
139,4.985,0.0501,0.2497485,,,
140,4.985,0.0302,0.150547,,,
141,4.982,0.0302,0.1504564,,,
142,4.982,0.0335,0.166897,,,
143,4.984,0.0335,0.166964,,,
144,4.984,0.03,0.14952,,,
145,4.983,0.03,0.14949,,,
146,4.983,0.0335,0.1669305,,,
147,4.984,0.0335,0.166964,,,
148,4.984,0.03,0.14952,,,
149,4.977,0.03,0.14931,,,
150,4.977,0.0333,0.1657341,,,
151,4.984,0.0333,0.1659672,,,
152,4.984,0.03,0.14952,,,
153,4.975,0.03,0.14925,,,
154,4.975,0.0335,0.1666625,,,
155,4.985,0.0335,0.1669975,,,
156,4.985,0.0323,0.1610155,,,
157,4.977,0.0323,0.1607571,,,
158,4.977,0.0347,0.1727019,,,
159,4.986,0.0347,0.1730142,,,
160,4.986,0.0325,0.162045,,,
161,4.978,0.0325,0.161785,,,
162,4.978,0.0325,0.161785,,,
163,4.985,0.0325,0.1620125,,,
164,4.985,0.0325,0.1620125,,,
165,4.977,0.0325,0.1617525,,,
166,4.977,0.0326,0.1622502,,,
167,4.985,0.0326,0.162511,,,
168,4.985,0.0325,0.1620125,,,
169,4.979,0.0325,0.1618175,,,
170,4.979,0.03,0.14937,,,
171,4.985,0.03,0.14955,,,
172,4.985,0.0325,0.1620125,,,
173,4.978,0.0325,0.161785,,,
174,4.978,0.03,0.14934,,,
175,4.985,0.03,0.14955,,,
176,4.985,0.0319,0.1590215,,,
177,4.978,0.0319,0.1587982,,,
178,4.978,0.03,0.14934,,,
179,4.985,0.03,0.14955,,,
180,4.985,0.0321,0.1600185,,,
181,4.977,0.0321,0.1597617,,,
182,4.977,0.03,0.14931,,,
183,4.985,0.03,0.14955,,,
184,4.985,0.0347,0.1729795,,,
185,4.977,0.0347,0.1727019,,,
186,4.977,0.0302,0.1503054,,,
187,4.986,0.0302,0.1505772,,,
188,4.986,0.0349,0.1740114,,,
189,4.978,0.0349,0.1737322,,,
190,4.978,0.0294,0.1463532,,,
191,4.985,0.0294,0.146559,,,
192,4.985,0.0347,0.1729795,,,
193,4.978,0.0347,0.1727366,,,
194,4.978,0.0294,0.1463532,,,
195,4.985,0.0294,0.146559,,,
196,4.985,0.0349,0.1739765,,,
197,4.977,0.0349,0.1736973,,,
198,4.977,0.0298,0.1483146,,,
199,4.985,0.0298,0.148553,,,
200,4.985,0.0351,0.1749735,,,
201,4.979,0.0351,0.1747629,,,
202,4.979,0.0307,0.1528553,,,
203,4.985,0.0307,0.1530395,,,
204,4.985,0.0343,0.1709855,,,
205,4.982,0.0343,0.1708826,,,
206,4.982,0.03,0.14946,,,
207,4.985,0.03,0.14955,,,
208,4.985,0.0343,0.1709855,,,
209,4.983,0.0343,0.1709169,,,
210,4.983,0.0302,0.1504866,,,
211,4.986,0.0302,0.1505772,,,
212,4.986,0.0471,0.2348406,,,
213,4.983,0.0471,0.2346993,,,
214,4.983,0.0302,0.1504866,,,
215,4.986,0.0302,0.1505772,,,
216,4.986,0.0477,0.2378322,,,
217,4.983,0.0477,0.2376891,,,
218,4.983,0.0294,0.1465002,,,
219,4.985,0.0294,0.146559,,,
220,4.985,0.0479,0.2387815,,,
221,4.983,0.0479,0.2386857,,,
222,4.983,0.0294,0.1465002,,,
223,4.985,0.0294,0.146559,,,
224,4.985,0.0485,0.2417725,,,
225,4.984,0.0485,0.241724,,,
226,4.984,0.03,0.14952,,,
227,4.985,0.03,0.14955,,,
228,4.985,0.0487,0.2427695,,,
229,4.984,0.0487,0.2427208,,,
230,4.984,0.0302,0.1505168,,,
231,4.985,0.0302,0.150547,,,
232,4.985,0.0483,0.2407755,,,
233,4.984,0.0483,0.2407272,,,
234,4.984,0.0302,0.1505168,,,
235,4.985,0.0302,0.150547,,,
236,4.985,0.0485,0.2417725,,,
237,4.985,0.0485,0.2417725,,,
238,4.985,0.0302,0.150547,,,
239,4.986,0.0302,0.1505772,,,
240,4.986,0.0829,0.4133394,,,
241,4.984,0.0829,0.4131736,,,
242,4.984,0.0302,0.1505168,,,
243,4.986,0.0302,0.1505772,,,
244,4.986,0.0833,0.4153338,,,
245,4.985,0.0833,0.4152505,,,
246,4.985,0.0294,0.146559,,,
247,4.985,0.0294,0.146559,,,
248,4.985,0.0835,0.4162475,,,
249,4.986,0.0835,0.416331,,,
250,4.986,0.03,0.14958,,,
251,4.985,0.03,0.14955,,,
252,4.985,0.0836,0.416746,,,
253,4.985,0.0836,0.416746,,,
254,4.985,0.03,0.14955,,,
255,4.985,0.03,0.14955,,,
256,4.985,0.0838,0.417743,,,
257,4.986,0.0838,0.4178268,,,
258,4.986,0.03,0.14958,,,
259,4.985,0.03,0.14955,,,
260,4.985,0.0833,0.4152505,,,
261,4.984,0.0833,0.4151672,,,
262,4.984,0.0302,0.1505168,,,
263,4.985,0.0302,0.150547,,,
264,4.985,0.0835,0.4162475,,,
265,4.985,0.0835,0.4162475,,,
266,4.985,0.0302,0.150547,,,
267,4.985,0.0302,0.150547,,,
268,4.985,0.0793,0.3953105,,,
269,4.985,0.0793,0.3953105,,,
270,4.985,0.03,0.14955,,,
271,4.985,0.03,0.14955,,,
272,4.985,0.0779,0.3883315,,,
273,4.984,0.0779,0.3882536,,,
274,4.984,0.03,0.14952,,,
275,4.985,0.03,0.14955,,,
276,4.985,0.0773,0.3853405,,,
277,4.985,0.0773,0.3853405,,,
278,4.985,0.0294,0.146559,,,
279,4.985,0.0294,0.146559,,,
280,4.985,0.0771,0.3843435,,,
281,4.986,0.0771,0.3844206,,,
282,4.986,0.0298,0.1485828,,,
283,4.985,0.0298,0.148553,,,
284,4.985,0.0767,0.3823495,,,
285,4.985,0.0767,0.3823495,,,
286,4.985,0.03,0.14955,,,
287,4.984,0.03,0.14952,,,
288,4.984,0.0758,0.3777872,,,
289,4.985,0.0758,0.377863,,,
290,4.985,0.0302,0.150547,,,
291,4.985,0.0302,0.150547,,,
292,4.985,0.0758,0.377863,,,
293,4.984,0.0758,0.3777872,,,
294,4.984,0.03,0.14952,,,
295,4.985,0.03,0.14955,,,
296,4.985,0.0442,0.220337,,,
297,4.985,0.0442,0.220337,,,
298,4.985,0.03,0.14955,,,
299,4.986,0.03,0.14958,,,
300,4.986,0.043,0.214398,,,
301,4.985,0.043,0.214355,,,
302,4.985,0.0294,0.146559,,,
303,4.982,0.0294,0.1464708,,,
304,4.982,0.0426,0.2122332,,,
305,4.985,0.0426,0.212361,,,
306,4.985,0.0294,0.146559,,,
307,4.982,0.0294,0.1464708,,,
308,4.982,0.042,0.209244,,,
309,4.985,0.042,0.20937,,,
310,4.985,0.0294,0.146559,,,
311,4.982,0.0294,0.1464708,,,
312,4.982,0.0416,0.2072512,,,
313,4.986,0.0416,0.2074176,,,
314,4.986,0.0302,0.1505772,,,
315,4.982,0.0302,0.1504564,,,
316,4.982,0.0414,0.2062548,,,
317,4.985,0.0414,0.206379,,,
318,4.985,0.0307,0.1530395,,,
319,4.982,0.0307,0.1529474,,,
320,4.982,0.0404,0.2012728,,,
321,4.985,0.0404,0.201394,,,
322,4.985,0.0302,0.150547,,,
323,4.983,0.0302,0.1504866,,,
324,4.983,0.0323,0.1609509,,,
325,4.985,0.0323,0.1610155,,,
326,4.985,0.0303,0.1510455,,,
327,4.982,0.0303,0.1509546,,,
328,4.982,0.0325,0.161915,,,
329,4.985,0.0325,0.1620125,,,
330,4.985,0.0298,0.148553,,,
331,4.978,0.0298,0.1483444,,,
332,4.978,0.0325,0.161785,,,
333,4.985,0.0325,0.1620125,,,
334,4.985,0.0298,0.148553,,,
335,4.977,0.0298,0.1483146,,,
336,4.977,0.0325,0.1617525,,,
337,4.986,0.0325,0.162045,,,
338,4.986,0.0327,0.1630422,,,
339,4.977,0.0327,0.1627479,,,
340,4.977,0.0327,0.1627479,,,
341,4.986,0.0327,0.1630422,,,
342,4.986,0.0331,0.1650366,,,
343,4.977,0.0331,0.1647387,,,
344,4.977,0.0317,0.1577709,,,
345,4.986,0.0317,0.1580562,,,
346,4.986,0.0333,0.1660338,,,
347,4.977,0.0333,0.1657341,,,
348,4.977,0.0317,0.1577709,,,
349,4.985,0.0317,0.1580245,,,
350,4.985,0.0333,0.1660005,,,
351,4.978,0.0333,0.1657674,,,
352,4.978,0.0349,0.1737322,,,
353,4.984,0.0349,0.1739416,,,
354,4.984,0.0348,0.1734432,,,
355,4.978,0.0348,0.1732344,,,
356,4.978,0.03,0.14934,,,
357,4.985,0.03,0.14955,,,
358,4.985,0.0335,0.1669975,,,
359,4.978,0.0335,0.166763,,,
360,4.978,0.0302,0.1503356,,,
361,4.985,0.0302,0.150547,,,
362,4.985,0.0329,0.1640065,,,
363,4.978,0.0329,0.1637762,,,
364,4.978,0.03,0.14934,,,
365,4.986,0.03,0.14958,,,
366,4.986,0.0345,0.172017,,,
367,4.979,0.0345,0.1717755,,,
368,4.979,0.0302,0.1503658,,,
369,4.986,0.0302,0.1505772,,,
370,4.986,0.0349,0.1740114,,,
371,4.979,0.0349,0.1737671,,,
372,4.979,0.0294,0.1463826,,,
373,4.984,0.0294,0.1465296,,,
374,4.984,0.0351,0.1749384,,,
375,4.979,0.0351,0.1747629,,,
376,4.979,0.0294,0.1463826,,,
377,4.985,0.0294,0.146559,,,
378,4.985,0.0347,0.1729795,,,
379,4.98,0.0347,0.172806,,,
380,4.98,0.03,0.1494,,,
381,4.985,0.03,0.14955,,,
382,4.985,0.0349,0.1739765,,,
383,4.98,0.0349,0.173802,,,
384,4.98,0.03,0.1494,,,
385,4.985,0.03,0.14955,,,
386,4.985,0.0341,0.1699885,,,
387,4.985,0.0341,0.1699885,,,
388,4.985,0.0302,0.150547,,,
389,4.985,0.0302,0.150547,,,
390,4.985,0.0343,0.1709855,,,
391,4.984,0.0343,0.1709512,,,
392,4.984,0.03,0.14952,,,
393,4.986,0.03,0.14958,,,
394,4.986,0.0592,0.2951712,,,
395,4.985,0.0592,0.295112,,,
396,4.985,0.03,0.14955,,,
397,4.986,0.03,0.14958,,,
398,4.986,0.0602,0.3001572,,,
399,4.985,0.0602,0.300097,,,
400,4.985,0.0294,0.146559,,,
401,4.985,0.0294,0.146559,,,
402,4.985,0.0609,0.3035865,,,
403,4.985,0.0609,0.3035865,,,
404,4.985,0.0296,0.147556,,,
405,4.985,0.0296,0.147556,,,
406,4.985,0.0619,0.3085715,,,
407,4.985,0.0619,0.3085715,,,
408,4.985,0.0296,0.147556,,,
409,4.985,0.0296,0.147556,,,
410,4.985,0.0627,0.3125595,,,
411,4.985,0.0627,0.3125595,,,
412,4.985,0.0307,0.1530395,,,
413,4.985,0.0307,0.1530395,,,
414,4.985,0.0627,0.3125595,,,
415,4.985,0.0627,0.3125595,,,
416,4.985,0.03,0.14955,,,
417,4.985,0.03,0.14955,,,
418,4.985,0.0637,0.3175445,,,
419,4.985,0.0637,0.3175445,,,
420,4.985,0.03,0.14955,,,
421,4.986,0.03,0.14958,,,
422,4.986,0.0864,0.4307904,,,
423,4.985,0.0864,0.430704,,,
424,4.985,0.0302,0.150547,,,
425,4.986,0.0302,0.1505772,,,
426,4.986,0.0864,0.4307904,,,
427,4.985,0.0864,0.430704,,,
428,4.985,0.0296,0.147556,,,
429,4.985,0.0296,0.147556,,,
430,4.985,0.0862,0.429707,,,
431,4.985,0.0862,0.429707,,,
432,4.985,0.0296,0.147556,,,
433,4.985,0.0296,0.147556,,,
434,4.985,0.0878,0.437683,,,
435,4.986,0.0878,0.4377708,,,
436,4.986,0.03,0.14958,,,
437,4.985,0.03,0.14955,,,
438,4.985,0.0862,0.429707,,,
439,4.986,0.0862,0.4297932,,,
440,4.986,0.03,0.14958,,,
441,4.985,0.03,0.14955,,,
442,4.985,0.0854,0.425719,,,
443,4.985,0.0854,0.425719,,,
444,4.985,0.03,0.14955,,,
445,4.985,0.03,0.14955,,,
446,4.985,0.0858,0.427713,,,
447,4.985,0.0858,0.427713,,,
448,4.985,0.0302,0.150547,,,
449,4.985,0.0302,0.150547,,,
450,4.985,0.0856,0.426716,,,
451,4.985,0.0856,0.426716,,,
452,4.985,0.03,0.14955,,,
453,4.984,0.03,0.14952,,,
454,4.984,0.0582,0.2900688,,,
455,4.985,0.0582,0.290127,,,
456,4.985,0.0296,0.147556,,,
457,4.985,0.0296,0.147556,,,
458,4.985,0.0568,0.283148,,,
459,4.985,0.0568,0.283148,,,
460,4.985,0.0294,0.146559,,,
461,4.984,0.0294,0.1465296,,,
462,4.984,0.0564,0.2810976,,,
463,4.985,0.0564,0.281154,,,
464,4.985,0.0296,0.147556,,,
465,4.984,0.0296,0.1475264,,,
466,4.984,0.0554,0.2761136,,,
467,4.986,0.0554,0.2762244,,,
468,4.986,0.0302,0.1505772,,,
469,4.984,0.0302,0.1505168,,,
470,4.984,0.0538,0.2681392,,,
471,4.984,0.0538,0.2681392,,,
472,4.984,0.03,0.14952,,,
473,4.984,0.03,0.14952,,,
474,4.984,0.0532,0.2651488,,,
475,4.985,0.0532,0.265202,,,
476,4.985,0.0302,0.150547,,,
477,4.983,0.0302,0.1504866,,,
478,4.983,0.0339,0.1689237,,,
479,4.985,0.0339,0.1689915,,,
480,4.985,0.0302,0.150547,,,
481,4.985,0.0302,0.150547,,,
482,4.985,0.0337,0.1679945,,,
483,4.985,0.0337,0.1679945,,,
484,4.985,0.0294,0.146559,,,
485,4.979,0.0294,0.1463826,,,
486,4.979,0.0337,0.1677923,,,
487,4.985,0.0337,0.1679945,,,
488,4.985,0.0294,0.146559,,,
489,4.977,0.0294,0.1463238,,,
490,4.977,0.0339,0.1687203,,,
491,4.986,0.0339,0.1690254,,,
492,4.986,0.0321,0.1600506,,,
493,4.978,0.0321,0.1597938,,,
494,4.978,0.0335,0.166763,,,
495,4.986,0.0335,0.167031,,,
496,4.986,0.0323,0.1610478,,,
497,4.978,0.0323,0.1607894,,,
498,4.978,0.0335,0.166763,,,
499,4.986,0.0335,0.167031,,,
500,4.986,0.0323,0.1610478,,,
501,4.977,0.0323,0.1607571,,,
502,4.977,0.0325,0.1617525,,,
503,4.985,0.0325,0.1620125,,,
504,4.985,0.0324,0.161514,,,
505,4.978,0.0324,0.1612872,,,
506,4.978,0.0325,0.161785,,,
507,4.985,0.0325,0.1620125,,,
508,4.985,0.0324,0.161514,,,
509,4.979,0.0324,0.1613196,,,
510,4.979,0.0298,0.1483742,,,
511,4.985,0.0298,0.148553,,,
512,4.985,0.0325,0.1620125,,,
513,4.977,0.0325,0.1617525,,,
514,4.977,0.03,0.14931,,,
515,4.986,0.03,0.14958,,,
516,4.986,0.0319,0.1590534,,,
517,4.977,0.0319,0.1587663,,,
518,4.977,0.03,0.14931,,,
519,4.985,0.03,0.14955,,,
520,4.985,0.0321,0.1600185,,,
521,4.978,0.0321,0.1597938,,,
522,4.978,0.03,0.14934,,,
523,4.985,0.03,0.14955,,,
524,4.985,0.0345,0.1719825,,,
525,4.978,0.0345,0.171741,,,
526,4.978,0.0302,0.1503356,,,
527,4.985,0.0302,0.150547,,,
528,4.985,0.0351,0.1749735,,,
529,4.978,0.0351,0.1747278,,,
530,4.978,0.0294,0.1463532,,,
531,4.985,0.0294,0.146559,,,
532,4.985,0.0349,0.1739765,,,
533,4.978,0.0349,0.1737322,,,
534,4.978,0.0294,0.1463532,,,
535,4.985,0.0294,0.146559,,,
536,4.985,0.0349,0.1739765,,,
537,4.979,0.0349,0.1737671,,,
538,4.979,0.0298,0.1483742,,,
539,4.985,0.0298,0.148553,,,
540,4.985,0.0349,0.1739765,,,
541,4.979,0.0349,0.1737671,,,
542,4.979,0.03,0.14937,,,
543,4.985,0.03,0.14955,,,
544,4.985,0.0343,0.1709855,,,
545,4.983,0.0343,0.1709169,,,
546,4.983,0.0302,0.1504866,,,
547,4.985,0.0302,0.150547,,,
548,4.985,0.0343,0.1709855,,,
549,4.983,0.0343,0.1709169,,,
550,4.983,0.0305,0.1519815,,,
551,4.986,0.0305,0.152073,,,
552,4.986,0.0499,0.2488014,,,
553,4.982,0.0499,0.2486018,,,
554,4.982,0.0302,0.1504564,,,
555,4.986,0.0302,0.1505772,,,
556,4.986,0.0505,0.251793,,,
557,4.983,0.0505,0.2516415,,,
558,4.983,0.0294,0.1465002,,,
559,4.985,0.0294,0.146559,,,
560,4.985,0.0509,0.2537365,,,
561,4.984,0.0509,0.2536856,,,
562,4.984,0.0294,0.1465296,,,
563,4.984,0.0294,0.1465296,,,
564,4.984,0.0517,0.2576728,,,
565,4.983,0.0517,0.2576211,,,
566,4.983,0.0294,0.1465002,,,
567,4.984,0.0294,0.1465296,,,
568,4.984,0.0525,0.26166,,,
569,4.984,0.0525,0.26166,,,
570,4.984,0.0302,0.1505168,,,
571,4.984,0.0302,0.1505168,,,
572,4.984,0.054,0.269136,,,
573,4.985,0.054,0.26919,,,
574,4.985,0.0302,0.150547,,,
575,4.985,0.0302,0.150547,,,
576,4.985,0.0531,0.2647035,,,
577,4.985,0.0531,0.2647035,,,
578,4.985,0.0302,0.150547,,,
579,4.984,0.0302,0.1505168,,,
580,4.984,0.0532,0.2651488,,,
581,4.985,0.0532,0.265202,,,
582,4.985,0.0302,0.150547,,,
583,4.986,0.0302,0.1505772,,,
584,4.986,0.0852,0.4248072,,,
585,4.985,0.0852,0.424722,,,
586,4.985,0.03,0.14955,,,
587,4.986,0.03,0.14958,,,
588,4.986,0.0852,0.4248072,,,
589,4.984,0.0852,0.4246368,,,
590,4.984,0.0294,0.1465296,,,
591,4.985,0.0294,0.146559,,,
592,4.985,0.0854,0.425719,,,
593,4.985,0.0854,0.425719,,,
594,4.985,0.0294,0.146559,,,
595,4.985,0.0294,0.146559,,,
596,4.985,0.0856,0.426716,,,
597,4.986,0.0856,0.4268016,,,
598,4.986,0.03,0.14958,,,
599,4.984,0.03,0.14952,,,
600,4.984,0.0852,0.4246368,,,
601,4.985,0.0852,0.424722,,,
602,4.985,0.03,0.14955,,,
603,4.984,0.03,0.14952,,,
604,4.984,0.0854,0.4256336,,,
605,4.985,0.0854,0.425719,,,
606,4.985,0.0302,0.150547,,,
607,4.985,0.0302,0.150547,,,
608,4.985,0.0854,0.425719,,,
609,4.984,0.0854,0.4256336,,,
610,4.984,0.0302,0.1505168,,,
611,4.985,0.0302,0.150547,,,
612,4.985,0.0726,0.361911,,,
613,4.983,0.0726,0.3617658,,,
614,4.983,0.03,0.14949,,,
615,4.985,0.03,0.14955,,,
616,4.985,0.072,0.35892,,,
617,4.985,0.072,0.35892,,,
618,4.985,0.0302,0.150547,,,
619,4.985,0.0302,0.150547,,,
620,4.985,0.072,0.35892,,,
621,4.985,0.072,0.35892,,,
622,4.985,0.03,0.14955,,,
623,4.984,0.03,0.14952,,,
624,4.984,0.0714,0.3558576,,,
625,4.984,0.0714,0.3558576,,,
626,4.984,0.0294,0.1465296,,,
627,4.984,0.0294,0.1465296,,,
628,4.984,0.071,0.353864,,,
629,4.984,0.071,0.353864,,,
630,4.984,0.0298,0.1485232,,,
631,4.984,0.0298,0.1485232,,,
632,4.984,0.0706,0.3518704,,,
633,4.985,0.0706,0.351941,,,
634,4.985,0.03,0.14955,,,
635,4.984,0.03,0.14952,,,
636,4.984,0.0694,0.3458896,,,
637,4.985,0.0694,0.345959,,,
638,4.985,0.0302,0.150547,,,
639,4.984,0.0302,0.1505168,,,
640,4.984,0.069,0.343896,,,
641,4.984,0.069,0.343896,,,
642,4.984,0.03,0.14952,,,
643,4.985,0.03,0.14955,,,
644,4.985,0.0359,0.1789615,,,
645,4.985,0.0359,0.1789615,,,
646,4.985,0.0302,0.150547,,,
647,4.985,0.0302,0.150547,,,
648,4.985,0.0355,0.1769675,,,
649,4.985,0.0355,0.1769675,,,
650,4.985,0.0302,0.150547,,,
651,4.985,0.0302,0.150547,,,
652,4.985,0.0353,0.1759705,,,
653,4.985,0.0353,0.1759705,,,
654,4.985,0.0294,0.146559,,,
655,4.98,0.0294,0.146412,,,
656,4.98,0.0349,0.173802,,,
657,4.985,0.0349,0.1739765,,,
658,4.985,0.0294,0.146559,,,
659,4.98,0.0294,0.146412,,,
660,4.98,0.0351,0.174798,,,
661,4.985,0.0351,0.1749735,,,
662,4.985,0.0305,0.1520425,,,
663,4.978,0.0305,0.151829,,,
664,4.978,0.0351,0.1747278,,,
665,4.985,0.0351,0.1749735,,,
666,4.985,0.0313,0.1560305,,,
667,4.98,0.0313,0.155874,,,
668,4.98,0.0345,0.17181,,,
669,4.985,0.0345,0.1719825,,,
670,4.985,0.0307,0.1530395,,,
671,4.98,0.0307,0.152886,,,
672,4.98,0.0345,0.17181,,,
673,4.985,0.0345,0.1719825,,,
674,4.985,0.0307,0.1530395,,,
675,4.98,0.0307,0.152886,,,
676,4.98,0.0347,0.172806,,,
677,4.984,0.0347,0.1729448,,,
678,4.984,0.0307,0.1530088,,,
679,4.981,0.0307,0.1529167,,,
680,4.981,0.0311,0.1549091,,,
681,4.983,0.0311,0.1549713,,,
682,4.983,0.0309,0.1539747,,,
683,4.98,0.0309,0.153882,,,
684,4.98,0.0313,0.155874,,,
685,4.983,0.0313,0.1559679,,,
686,4.983,0.0302,0.1504866,,,
687,4.976,0.0302,0.1502752,,,
688,4.976,0.0319,0.1587344,,,
689,4.984,0.0319,0.1589896,,,
690,4.984,0.0302,0.1505168,,,
691,4.976,0.0302,0.1502752,,,
692,4.976,0.0317,0.1577392,,,
693,4.984,0.0317,0.1579928,,,
694,4.984,0.0307,0.1530088,,,
695,4.976,0.0307,0.1527632,,,
696,4.976,0.0311,0.1547536,,,
697,4.985,0.0311,0.1550335,,,
698,4.985,0.0339,0.1689915,,,
699,4.974,0.0339,0.1686186,,,
700,4.974,0.0317,0.1576758,,,
701,4.985,0.0317,0.1580245,,,
702,4.985,0.0341,0.1699885,,,
703,4.976,0.0341,0.1696816,,,
704,4.976,0.0311,0.1547536,,,
705,4.985,0.0311,0.1550335,,,
706,4.985,0.0341,0.1699885,,,
707,4.974,0.0341,0.1696134,,,
708,4.974,0.0309,0.1536966,,,
709,4.984,0.0309,0.1540056,,,
710,4.984,0.0341,0.1699544,,,
711,4.976,0.0341,0.1696816,,,
712,4.976,0.03,0.14928,,,
713,4.984,0.03,0.14952,,,
714,4.984,0.0341,0.1699544,,,
715,4.976,0.0341,0.1696816,,,
716,4.976,0.0302,0.1502752,,,
