UNIXTIMECO2,,,
1580169728,931,12:02:08 AM,1/28/2020
1580169729,931,12:02:09 AM,1/28/2020
1580169730,930,12:02:10 AM,1/28/2020
1580169731,930,12:02:11 AM,1/28/2020
1580169732,930,12:02:12 AM,1/28/2020
1580169733,930,12:02:13 AM,1/28/2020
1580169734,931,12:02:14 AM,1/28/2020
1580169735,931,12:02:15 AM,1/28/2020
1580169736,932,12:02:16 AM,1/28/2020
1580169737,932,12:02:17 AM,1/28/2020
1580169738,931,12:02:18 AM,1/28/2020
1580169739,931,12:02:19 AM,1/28/2020
1580169740,931,12:02:20 AM,1/28/2020
1580169741,930,12:02:21 AM,1/28/2020
1580169742,930,12:02:22 AM,1/28/2020
1580169743,930,12:02:23 AM,1/28/2020
1580169744,930,12:02:24 AM,1/28/2020
1580169745,930,12:02:25 AM,1/28/2020
1580169746,930,12:02:26 AM,1/28/2020
1580169747,930,12:02:27 AM,1/28/2020
1580169748,930,12:02:28 AM,1/28/2020
1580169749,929,12:02:29 AM,1/28/2020
1580169750,929,12:02:30 AM,1/28/2020
1580169752,929,12:02:32 AM,1/28/2020
1580169753,929,12:02:33 AM,1/28/2020
1580169754,930,12:02:34 AM,1/28/2020
1580169755,930,12:02:35 AM,1/28/2020
1580169756,930,12:02:36 AM,1/28/2020
1580169757,930,12:02:37 AM,1/28/2020
1580169758,930,12:02:38 AM,1/28/2020
1580169759,930,12:02:39 AM,1/28/2020
1580169760,930,12:02:40 AM,1/28/2020
1580169761,930,12:02:41 AM,1/28/2020
1580169762,930,12:02:42 AM,1/28/2020
1580169763,930,12:02:43 AM,1/28/2020
1580169764,930,12:02:44 AM,1/28/2020
1580169765,930,12:02:45 AM,1/28/2020
1580169766,930,12:02:46 AM,1/28/2020
1580169767,930,12:02:47 AM,1/28/2020
1580169768,930,12:02:48 AM,1/28/2020
1580169769,930,12:02:49 AM,1/28/2020
1580169770,930,12:02:50 AM,1/28/2020
1580169771,930,12:02:51 AM,1/28/2020
1580169772,930,12:02:52 AM,1/28/2020
1580169773,930,12:02:53 AM,1/28/2020
1580169774,930,12:02:54 AM,1/28/2020
1580169775,930,12:02:55 AM,1/28/2020
1580169776,930,12:02:56 AM,1/28/2020
1580169777,930,12:02:57 AM,1/28/2020
1580169778,930,12:02:58 AM,1/28/2020
1580169779,930,12:02:59 AM,1/28/2020
1580169780,930,12:03:00 AM,1/28/2020
1580169781,930,12:03:01 AM,1/28/2020
1580169783,930,12:03:03 AM,1/28/2020
1580169784,929,12:03:04 AM,1/28/2020
1580169785,929,12:03:05 AM,1/28/2020
1580169786,929,12:03:06 AM,1/28/2020
1580169787,929,12:03:07 AM,1/28/2020
1580169788,930,12:03:08 AM,1/28/2020
1580169789,930,12:03:09 AM,1/28/2020
1580169790,930,12:03:10 AM,1/28/2020
1580169791,930,12:03:11 AM,1/28/2020
1580169792,930,12:03:12 AM,1/28/2020
1580169793,930,12:03:13 AM,1/28/2020
1580169794,930,12:03:14 AM,1/28/2020
1580169795,930,12:03:15 AM,1/28/2020
1580169796,930,12:03:16 AM,1/28/2020
1580169797,930,12:03:17 AM,1/28/2020
1580169798,930,12:03:18 AM,1/28/2020
1580169799,930,12:03:19 AM,1/28/2020
1580169800,930,12:03:20 AM,1/28/2020
1580169801,930,12:03:21 AM,1/28/2020
1580169802,930,12:03:22 AM,1/28/2020
1580169803,930,12:03:23 AM,1/28/2020
1580169804,929,12:03:24 AM,1/28/2020
1580169805,929,12:03:25 AM,1/28/2020
1580169806,929,12:03:26 AM,1/28/2020
1580169807,930,12:03:27 AM,1/28/2020
1580169808,930,12:03:28 AM,1/28/2020
1580169809,930,12:03:29 AM,1/28/2020
1580169810,930,12:03:30 AM,1/28/2020
1580169811,930,12:03:31 AM,1/28/2020
