"unixtime","datetime","date","ws","wd","co2","temp"
1625605162,2021-07-06 20:59:22,"07/06/2021 20:59",3.69,37,389,41
1625605165,2021-07-06 20:59:25,"07/06/2021 20:59",3.02,33,409,41
1625605168,2021-07-06 20:59:28,"07/06/2021 20:59",2.68,17,457,41
1625605171,2021-07-06 20:59:31,"07/06/2021 20:59",2.01,19,490,41
1625605174,2021-07-06 20:59:34,"07/06/2021 20:59",1.68,19,557,41
1625605177,2021-07-06 20:59:37,"07/06/2021 20:59",3.02,15,531,41
1625605180,2021-07-06 20:59:40,"07/06/2021 20:59",3.69,60,415,41
1625605183,2021-07-06 20:59:43,"07/06/2021 20:59",3.69,17,328,41
1625605186,2021-07-06 20:59:46,"07/06/2021 20:59",2.35,16,430,41
1625605189,2021-07-06 20:59:49,"07/06/2021 20:59",1.68,20,515,41
1625605192,2021-07-06 20:59:52,"07/06/2021 20:59",1.34,20,595,41
1625605195,2021-07-06 20:59:55,"07/06/2021 20:59",2.68,46,609,41
1625605198,2021-07-06 20:59:58,"07/06/2021 20:59",3.35,29,360,41
1625605201,2021-07-06 21:00:01,"07/06/2021 21:00",2.68,49,371,41
1625605204,2021-07-06 21:00:04,"07/06/2021 21:00",2.68,49,388,41
1625605207,2021-07-06 21:00:07,"07/06/2021 21:00",3.02,58,386,41
1625605210,2021-07-06 21:00:10,"07/06/2021 21:00",2.68,64,561,40
1625605213,2021-07-06 21:00:13,"07/06/2021 21:00",2.01,62,511,40
1625605216,2021-07-06 21:00:16,"07/06/2021 21:00",1.34,63,365,40
1625605219,2021-07-06 21:00:19,"07/06/2021 21:00",1.34,77,274,40
1625605222,2021-07-06 21:00:22,"07/06/2021 21:00",1.34,63,257,40
1625605225,2021-07-06 21:00:25,"07/06/2021 21:00",1.68,61,282,41
1625605228,2021-07-06 21:00:28,"07/06/2021 21:00",2.68,77,299,41
1625605231,2021-07-06 21:00:31,"07/06/2021 21:00",3.35,49,359,41
1625605234,2021-07-06 21:00:34,"07/06/2021 21:00",3.69,54,380,41
