unixtime,ws,wd,co2,temp
1625605657,5,28,465,41
1625605660,4,47,463,41
1625605663,5,40,458,41
1625605666,5,55,442,42
1625605669,5,54,421,42
1625605672,6,60,476,42
1625605675,4,66,478,42
1625605678,4,62,443,42
1625605681,4,63,406,42
1625605684,5,64,408,42
1625605687,6,74,412,42
1625605690,7,85,417,42
1625605693,10,62,418,42
1625605696,12,65,441,42
1625605699,12,57,438,42
1625605702,13,68,431,42
1625605705,11,33,448,42
1625605708,12,13,455,42
1625605711,9,14,389,41
1625605714,9,15,320,42
1625605717,7,28,324,42
1625605720,8,46,359,42
1625605723,7,27,358,42
1625605726,9,21,386,42
1625605729,7,40,398,42
1625605732,6,24,441,42
1625605735,8,46,440,42
1625605738,8,28,511,42
1625605741,9,39,421,42
1625605744,9,33,485,42
1625605747,9,41,472,42
1625605750,9,45,454,42
1625605753,9,38,435,42
1625605756,11,49,462,41
1625605759,11,46,484,41
1625605762,10,59,394,41
1625605765,10,84,558,41
1625605768,9,70,585,41
1625605771,6,66,421,41
1625605774,11,61,355,41
1625605777,9,72,389,41
1625605780,8,59,417,41
1625605783,10,60,364,41
1625605786,10,59,453,41
1625605789,9,54,476,41
1625605792,7,74,402,41
1625605795,7,56,413,41
1625605798,8,52,381,41
1625605801,6,58,437,41
1625605804,7,55,479,41
1625605807,6,57,443,41
1625605810,5,85,440,41
1625605813,3,58,429,41
1625605816,3,46,405,42
1625605819,2,49,374,42
1625605822,2,37,385,42
1625605825,2,65,363,42
1625605828,3,34,288,42
1625605831,4,22,419,42
1625605834,5,20,448,42
1625605837,3,24,379,42
1625605840,4,40,478,42
1625605843,2,14,431,42
1625605846,2,14,500,42
1625605849,1,16,515,42
1625605852,1,18,480,42
1625605855,1,42,484,42
1625605858,1,22,488,42
1625605861,1,39,484,42
1625605864,2,42,479,42
1625605867,2,58,473,43
1625605870,2,62,477,43
1625605873,2,61,471,43
1625605876,2,64,479,43
1625605879,1,63,466,43
1625605882,3,63,466,43
