UNIXTIME,CO2
1583791203,463.00
1583791204,462.00
1583791205,462.00
1583791206,462.00
1583791207,462.00
1583791208,461.00
1583791209,461.00
1583791210,461.00
1583791211,461.00
1583791212,461.00
1583791213,461.00
1583791214,461.00
1583791215,461.00
1583791216,461.00
1583791217,461.00
1583791218,461.00
1583791219,461.00
1583791220,461.00
1583791221,461.00
1583791222,462.00
1583791223,462.00
1583791224,461.00
1583791225,461.00
1583791226,461.00
1583791227,461.00
1583791228,461.00
1583791229,461.00
1583791230,461.00
1583791231,461.00
1583791232,461.00
1583791233,461.00
1583791234,461.00
1583791235,461.00
1583791236,462.00
1583791237,462.00
1583791238,461.00
1583791239,461.00
1583791240,461.00
1583791241,461.00
1583791242,461.00
1583791243,461.00
1583791244,461.00
1583791245,461.00
1583791246,461.00
1583791247,462.00
1583791248,462.00
1583791249,462.00
1583791250,462.00
1583791251,462.00
1583791252,462.00
1583791253,462.00
1583791254,461.00
1583791255,461.00
1583791256,461.00
1583791257,461.00
1583791258,461.00
1583791259,461.00
1583791260,461.00
1583791261,461.00
1583791262,461.00
1583791263,462.00
1583791264,462.00
1583791265,462.00
1583791266,462.00
1583791267,462.00
1583791268,462.00
1583791269,462.00
1583791270,461.00
1583791271,461.00
1583791272,461.00
1583791273,461.00
1583791274,461.00
1583791275,461.00
1583791276,460.00
1583791277,460.00
1583791278,460.00
1583791279,460.00
1583791280,460.00
1583791281,460.00
1583791282,460.00
1583791283,460.00
1583791284,460.00
1583791285,460.00
1583791286,460.00
1583791287,460.00
1583791288,459.00
1583791289,459.00
1583791290,459.00
1583791291,459.00
1583791292,459.00
1583791293,459.00
1583791294,460.00
1583791295,460.00
1583791296,460.00
1583791297,460.00
1583791298,460.00
1583791299,460.00
1583791300,460.00
1583791301,460.00
1583791302,460.00
1583791303,460.00
1583791304,460.00
1583791305,460.00
1583791306,460.00
1583791307,461.00
1583791308,461.00
1583791309,462.00
1583791310,462.00
1583791311,462.00
1583791312,462.00
1583791313,462.00
1583791314,462.00
1583791315,462.00
1583791316,463.00
1583791317,463.00
1583791318,462.00
1583791319,462.00
1583791320,462.00
1583791321,462.00
1583791322,462.00
1583791323,462.00
1583791324,462.00
1583791325,462.00
1583791326,462.00
1583791327,461.00
1583791328,461.00
1583791329,461.00
1583791330,461.00
1583791331,461.00
1583791332,461.00
1583791333,461.00
1583791334,462.00
1583791335,462.00
1583791336,462.00
1583791337,463.00
1583791338,463.00
1583791339,463.00
1583791340,462.00
1583791341,462.00
1583791342,462.00
1583791343,462.00
1583791344,462.00
1583791345,462.00
1583791346,462.00
1583791347,462.00
1583791348,461.00
1583791349,461.00
1583791350,461.00
1583791351,462.00
1583791352,462.00
1583791353,462.00
1583791354,462.00
1583791355,461.00
1583791356,461.00
1583791357,461.00
1583791358,460.00
1583791359,460.00
1583791360,460.00
1583791361,461.00
1583791362,461.00
1583791363,461.00
1583791364,461.00
1583791365,462.00
1583791366,462.00
1583791367,462.00
1583791368,462.00
1583791369,462.00
1583791370,462.00
1583791371,462.00
1583791372,463.00
1583791373,463.00
1583791374,463.00
1583791375,462.00
1583791376,462.00
1583791377,462.00
1583791378,462.00
1583791379,462.00
1583791380,462.00
1583791381,462.00
1583791382,461.00
1583791383,461.00
1583791384,461.00
1583791385,461.00
1583791386,461.00
1583791387,461.00
1583791388,462.00
1583791389,462.00
1583791390,463.00
1583791391,463.00
1583791392,463.00
1583791393,463.00
1583791394,463.00
1583791395,463.00
1583791396,463.00
1583791397,462.00
1583791398,462.00
1583791399,462.00
1583791400,462.00
1583791401,461.00
1583791402,461.00
1583791403,460.00
1583791404,459.00
1583791405,459.00
1583791406,459.00
1583791407,459.00
1583791408,459.00
1583791409,460.00
1583791410,460.00
1583791411,460.00
1583791412,461.00
1583791413,461.00
1583791414,461.00
1583791415,462.00
1583791416,462.00
1583791417,462.00
1583791418,462.00
1583791419,462.00
1583791420,462.00
1583791421,462.00
1583791422,462.00
1583791423,462.00
1583791424,462.00
1583791425,462.00
1583791426,462.00
1583791427,462.00
1583791428,462.00
1583791429,462.00
1583791430,463.00
1583791431,463.00
1583791432,463.00
1583791433,463.00
1583791434,463.00
1583791435,464.00
1583791436,464.00
1583791437,464.00
1583791438,464.00
1583791439,464.00
1583791440,464.00
1583791441,464.00
1583791442,464.00
1583791443,464.00
1583791444,464.00
1583791445,463.00
1583791446,463.00
1583791447,463.00
1583791448,462.00
1583791449,462.00
1583791450,462.00
1583791451,462.00
1583791452,462.00
1583791453,462.00
1583791454,462.00
1583791455,462.00
1583791456,462.00
1583791457,462.00
1583791458,462.00
1583791459,461.00
1583791460,461.00
1583791461,461.00
1583791462,461.00
1583791463,461.00
1583791464,461.00
1583791465,461.00
1583791466,461.00
1583791467,460.00
1583791468,460.00
1583791469,460.00
1583791470,460.00
1583791471,460.00
1583791472,460.00
1583791473,461.00
1583791474,461.00
1583791475,461.00
1583791476,461.00
1583791477,461.00
1583791478,462.00
1583791479,462.00
1583791480,462.00
1583791481,462.00
1583791482,463.00
1583791483,463.00
1583791484,464.00
1583791485,464.00
1583791486,464.00
1583791487,465.00
1583791488,465.00
1583791489,465.00
1583791490,465.00
1583791491,465.00
1583791492,465.00
1583791493,464.00
1583791494,464.00
1583791495,464.00
1583791496,464.00
1583791497,464.00
1583791498,464.00
1583791499,464.00
1583791500,464.00
1583791501,464.00
1583791502,464.00
1583791503,464.00
1583791504,464.00
1583791505,464.00
1583791506,464.00
1583791507,464.00
1583791508,464.00
1583791509,463.00
1583791510,463.00
1583791511,463.00
1583791512,462.00
1583791513,462.00
1583791514,462.00
1583791515,462.00
1583791516,462.00
1583791517,462.00
1583791518,462.00
1583791519,462.00
1583791520,462.00
1583791521,462.00
1583791522,462.00
1583791523,461.00
1583791524,461.00
1583791525,461.00
1583791526,461.00
1583791527,460.00
1583791528,460.00
1583791529,460.00
1583791530,460.00
1583791531,461.00
1583791532,461.00
1583791533,461.00
1583791534,461.00
1583791535,461.00
1583791536,460.00
1583791537,460.00
1583791538,460.00
1583791539,460.00
1583791540,461.00
1583791541,460.00
1583791542,460.00
1583791543,460.00
1583791544,460.00
1583791545,460.00
1583791546,460.00
1583791547,461.00
1583791548,461.00
1583791549,461.00
1583791550,461.00
1583791551,461.00
1583791552,462.00
1583791553,462.00
1583791554,462.00
1583791555,462.00
1583791556,462.00
1583791557,461.00
1583791558,461.00
1583791559,461.00
1583791560,461.00
1583791561,461.00
1583791562,461.00
1583791563,461.00
1583791564,462.00
1583791565,462.00
1583791566,462.00
1583791567,462.00
1583791568,462.00
1583791569,463.00
1583791570,463.00
1583791571,463.00
1583791572,464.00
1583791573,464.00
1583791574,464.00
1583791575,464.00
1583791576,464.00
1583791577,464.00
1583791578,464.00
1583791579,464.00
1583791580,463.00
1583791581,463.00
1583791582,463.00
1583791583,463.00
1583791584,462.00
1583791585,462.00
1583791586,462.00
1583791587,462.00
1583791588,462.00
1583791589,462.00
1583791590,463.00
1583791591,463.00
1583791592,463.00
1583791593,463.00
1583791594,463.00
1583791595,464.00
1583791596,464.00
1583791597,464.00
1583791598,465.00
1583791599,465.00
1583791600,465.00
1583791601,465.00
1583791602,465.00
1583791603,466.00
1583791604,465.00
1583791605,465.00
1583791606,464.00
1583791607,464.00
1583791608,464.00
1583791609,464.00
1583791610,464.00
1583791611,464.00
1583791612,464.00
1583791613,464.00
1583791614,464.00
1583791615,464.00
1583791616,464.00
1583791617,464.00
1583791618,464.00
1583791619,464.00
1583791620,464.00
1583791621,464.00
1583791622,465.00
1583791623,465.00
1583791624,465.00
1583791625,465.00
1583791626,464.00
1583791627,464.00
1583791628,464.00
1583791629,464.00
1583791630,464.00
1583791631,464.00
1583791632,464.00
1583791633,464.00
1583791634,464.00
1583791635,464.00
1583791636,463.00
1583791637,463.00
1583791638,462.00
1583791639,462.00
1583791640,462.00
1583791641,462.00
1583791642,462.00
1583791643,462.00
1583791644,462.00
1583791645,462.00
1583791646,462.00
1583791647,462.00
1583791648,462.00
1583791649,462.00
1583791650,463.00
1583791651,463.00
1583791652,463.00
1583791653,463.00
1583791654,463.00
1583791655,463.00
1583791656,463.00
1583791657,463.00
1583791658,464.00
1583791659,464.00
1583791660,464.00
1583791661,464.00
1583791662,464.00
1583791663,464.00
1583791664,464.00
1583791665,464.00
1583791666,464.00
1583791667,464.00
1583791668,464.00
1583791669,464.00
1583791670,464.00
1583791671,464.00
1583791672,464.00
1583791673,465.00
1583791674,465.00
1583791675,466.00
1583791676,466.00
1583791677,466.00
1583791678,465.00
1583791679,465.00
1583791680,465.00
1583791681,465.00
1583791682,465.00
1583791683,465.00
1583791684,465.00
1583791685,465.00
1583791686,466.00
1583791687,466.00
1583791688,466.00
1583791689,466.00
1583791690,465.00
1583791691,465.00
1583791692,465.00
1583791693,465.00
1583791694,466.00
1583791695,466.00
1583791696,465.00
1583791697,465.00
1583791698,464.00
1583791699,464.00
1583791700,464.00
1583791701,464.00
1583791702,464.00
1583791703,464.00
1583791704,464.00
1583791705,464.00
1583791706,464.00
1583791707,464.00
1583791708,464.00
1583791709,464.00
1583791710,464.00
1583791711,464.00
1583791712,465.00
1583791713,465.00
1583791714,465.00
1583791715,465.00
1583791716,465.00
1583791717,465.00
1583791718,465.00
1583791719,465.00
1583791720,465.00
1583791721,465.00
1583791722,465.00
1583791723,465.00
1583791724,465.00
1583791725,465.00
1583791726,465.00
1583791727,465.00
1583791728,465.00
1583791729,465.00
1583791730,465.00
1583791731,465.00
1583791732,465.00
1583791733,466.00
1583791734,465.00
1583791735,465.00
1583791736,465.00
1583791737,464.00
1583791738,464.00
1583791739,464.00
1583791740,463.00
1583791741,463.00
1583791742,463.00
1583791743,463.00
1583791744,463.00
1583791745,463.00
1583791746,463.00
1583791747,463.00
1583791748,463.00
1583791749,464.00
1583791750,464.00
1583791751,465.00
1583791752,465.00
1583791753,464.00
1583791754,464.00
1583791755,464.00
1583791756,464.00
1583791757,464.00
1583791758,464.00
1583791759,464.00
1583791760,463.00
1583791761,463.00
1583791762,462.00
1583791763,462.00
1583791764,462.00
1583791765,462.00
1583791766,462.00
1583791767,462.00
1583791768,462.00
1583791769,463.00
1583791770,463.00
1583791771,463.00
1583791772,463.00
1583791773,463.00
