1594830600,5,0,399,,,
1594830601,9,14,399,,,
1594830602,9,14,398,,,
1594830603,9,14,398,,,
1594830604,9,14,397,,,
1594830605,9,14,397,,,
1594830606,8,14,396,,,
1594830607,8,14,396,,,
1594830608,8,14,396,,,
1594830609,8,14,395,,,
1594830610,8,14,395,,,
1594830611,9,14,395,,,
1594830612,9,14,395,,,
1594830613,9,14,395,,,
1594830614,9,14,395,,,
1594830615,9,14,395,,,
1594830616,8,0,395,,,
1594830617,8,0,395,,,
1594830618,8,14,395,,,
1594830619,8,13,394,,,
1594830620,8,14,394,,,
1594830621,10,14,394,,,
1594830622,10,14,394,,,
1594830623,10,14,393,,,
1594830624,10,14,393,,,
1594830625,10,12,393,,,
1594830626,10,14,392,,,
1594830627,10,12,392,,,
1594830628,10,12,392,,,
1594830629,10,12,392,,,
1594830630,10,12,393,,,
1594830631,10,14,393,,,
1594830632,10,14,394,,,
1594830633,10,14,394,,,
1594830634,10,14,394,,,
1594830635,10,14,394,,,
1594830636,13,12,394,,,
1594830637,13,12,394,,,
1594830638,13,12,395,,,
1594830639,13,12,395,,,
1594830640,13,10,396,,,
1594830641,15,10,397,,,
1594830642,15,10,397,,,
1594830643,15,8,398,,,
1594830644,15,8,398,,,
1594830645,15,8,399,,,
1594830646,15,8,399,,,
1594830647,15,8,399,,,
1594830648,15,8,399,,,
1594830649,15,8,400,,,
1594830650,15,8,401,,,
1594830651,14,8,402,,,
1594830652,14,8,403,,,
1594830653,14,8,404,,,
1594830654,14,8,404,,,
1594830655,14,8,405,,,
1594830656,12,8,406,,,
1594830657,12,8,407,,,
1594830658,12,10,408,,,
1594830659,12,9,409,,,
1594830660,12,10,410,,,
1594830661,11,11,411,,,
1594830662,11,10,411,,,
1594830663,11,10,412,,,
1594830664,11,10,413,,,
1594830665,11,10,414,,,
1594830666,7,11,415,,,
1594830667,7,12,416,,,
1594830668,7,12,417,,,
1594830669,7,12,417,,,
1594830670,7,12,418,,,
1594830671,10,12,419,,,
1594830672,10,12,419,,,
1594830673,10,14,420,,,
1594830674,10,12,420,,,
1594830675,10,12,421,,,
1594830676,10,12,421,,,
1594830677,10,14,422,,,
1594830678,10,12,422,,,
1594830679,10,12,423,,,
1594830680,10,12,423,,,
1594830681,13,12,423,,,
1594830682,13,12,424,,,
1594830683,13,10,424,,,
1594830684,13,10,424,,,
1594830685,13,10,424,,,
1594830686,11,10,424,,,
1594830687,11,10,424,,,
1594830688,11,10,424,,,
1594830689,11,10,424,,,
1594830690,11,12,424,,,
1594830691,10,12,423,,,
1594830692,10,12,423,,,
1594830693,10,10,422,,,
1594830694,10,12,421,,,
1594830695,10,12,421,,,
1594830696,8,12,421,,,
1594830697,8,12,421,,,
1594830698,8,12,421,,,
1594830699,8,12,420,,,
1594830700,8,14,420,,,
1594830701,7,12,420,,,
1594830702,7,12,420,,,
1594830703,7,12,420,,,
1594830704,7,12,419,,,
1594830705,7,10,419,,,
1594830706,7,10,419,,,
1594830707,7,10,419,,,
1594830708,7,9,418,,,
1594830709,7,10,418,,,
1594830710,7,10,418,,,
