UnixTime,Wind Speed,Wind Dir,GasData
1594742488,0,119.3113982,442
1594742489,0,96.75450417,442
1594742490,0,115.7282106,442
1594742491,0,38.90413138,442
1594742492,0,91.20111097,442
1594742493,0,94.14488334,442
1594742494,0,32.68246746,442
1594742495,0,38.22125775,442
1594742496,0,136.4241239,441
1594742497,0,75.6833739,441
1594742498,0,81.8696825,441
1594742499,0,52.46250784,440
1594742500,0,87.45712452,440
1594742501,0,65.14621277,440
1594742502,0,44.32018567,440
1594742503,0,112.6527244,440
1594742504,0,84.63750271,440
1594742505,0,108.8968538,440
1594742506,0,90.39904092,440
1594742507,0,45.79550928,439
1594742508,0,46.94249112,439
1594742509,0,66.72008141,439
1594742510,0,68.79974078,438
1594742511,0,56.46049475,438
1594742512,0,54.73670614,438
1594742513,0,139.5195932,438
1594742514,0,137.9306249,438
1594742515,0,111.0047796,438
1594742516,0,37.00115956,438
1594742517,0,74.39895039,438
1594742518,0,130.1745822,438
1594742519,0,55.69998754,438
1594742520,0,85.89325284,438
1594742521,0,46.89976424,438
1594742522,0,144.2192965,438
1594742523,0,117.3907726,438
1594742524,0,38.65997125,438
1594742525,0,148.232197,438
1594742526,0,144.7120453,438
1594742527,0,75.15071686,438
1594742528,0,86.81173316,438
1594742529,0,128.0434832,439
1594742530,0,122.1333709,439
1594742531,0,59.51143963,440
1594742532,0,124.1694886,440
1594742533,0,31.34538426,441
1594742534,0,91.75561942,441
1594742535,0,141.6015923,441
1594742536,0,48.47006998,442
1594742537,0,121.701604,442
1594742538,0,38.57653957,442
1594742539,0,110.9811977,442
1594742540,0,94.72095295,442
1594742541,0,45.31363305,441
1594742542,0,147.8374566,440
1594742543,0,89.08453415,440
1594742544,0,100.0211805,440
1594742545,0,45.48459552,440
1594742546,0,93.03000888,441
1594742547,0,122.6776497,442
1594742548,0,89.07810041,442
1594742549,0,35.86349912,443
1594742550,0,81.54934918,443
1594742551,0,55.75248115,444
1594742552,0,36.09375198,445
1594742553,0,42.11552032,446
1594742554,0,114.9924676,446
1594742555,0,146.3456491,447
1594742556,0,55.77121639,448
1594742557,0,107.1560462,448
1594742558,0,77.03954992,449
1594742559,0,144.0774152,449
1594742560,0,124.6178899,450
1594742561,0,124.1814435,451
1594742562,0,56.56722686,451
1594742563,0,86.45632946,452
1594742564,0,70.78213511,453
1594742565,0,71.13348626,453
1594742566,0,39.1831337,454
1594742567,0,84.81460992,454
1594742568,0,123.1763957,454
1594742569,0,56.00191859,453
1594742570,0,67.79490621,453
1594742571,0,50.3017489,453
1594742572,0,31.24989964,453
1594742573,0,100.9528586,453
1594742574,0,112.5018823,453
1594742575,0,116.3321295,453
1594742576,0,124.9266313,453
1594742577,0,66.65450271,453
1594742578,0,41.2840577,453
1594742579,0,127.8378189,453
1594742580,0,111.9901858,452
1594742581,0,72.61873295,452
1594742582,0,59.18739768,452
1594742583,0,87.37279121,453
1594742584,0,95.95097412,453
1594742585,0,64.27867172,453
1594742586,0,39.47581214,453
1594742587,0,102.4462733,453
