Unixtime,WindCyc,WindDir,ConcData,TempData
1625608993,9.0,223.0,426.0,40.0
1625608996,7.0,228.0,451.0,40.0
1625608999,9.0,212.0,435.0,40.0
1625609002,7.0,240.0,429.0,40.0
1625609005,8.0,235.0,457.0,40.0
1625609008,10.0,224.0,448.0,40.0
1625609011,11.0,205.0,455.0,40.0
1625609014,9.0,226.0,452.0,40.0
1625609017,11.0,200.0,439.0,40.0
1625609020,13.0,224.0,436.0,40.0
1625609023,14.0,216.0,420.0,40.0
1625609026,12.0,223.0,424.0,40.0
1625609029,10.0,237.0,414.0,40.0
1625609032,12.0,205.0,387.0,40.0
1625609035,14.0,214.0,369.0,40.0
1625609038,12.0,210.0,456.0,40.0
1625609041,11.0,223.0,539.0,40.0
1625609044,9.0,210.0,489.0,40.0
1625609047,13.0,213.0,449.0,40.0
1625609050,15.0,212.0,440.0,40.0
1625609053,12.0,200.0,434.0,40.0
1625609056,13.0,233.0,417.0,40.0
1625609059,15.0,210.0,444.0,40.0
1625609062,12.0,220.0,413.0,40.0
1625609065,10.0,218.0,455.0,40.0
1625609068,9.0,225.0,399.0,40.0
1625609071,8.0,209.0,404.0,40.0
1625609074,9.0,212.0,397.0,40.0
1625609077,9.0,221.0,413.0,40.0
1625609080,10.0,212.0,414.0,40.0
1625609083,11.0,212.0,401.0,40.0
1625609086,10.0,224.0,433.0,40.0
1625609089,13.0,217.0,487.0,40.0
1625609092,13.0,201.0,436.0,40.0
1625609095,11.0,225.0,418.0,40.0
1625609098,10.0,211.0,439.0,40.0
1625609101,7.0,228.0,415.0,40.0
1625609104,7.0,224.0,452.0,40.0
1625609107,4.0,208.0,409.0,40.0
1625609110,7.0,196.0,411.0,40.0
1625609113,9.0,211.0,471.0,40.0
1625609116,9.0,218.0,463.0,40.0
1625609119,10.0,216.0,459.0,40.0
1625609122,8.0,227.0,447.0,40.0
1625609125,9.0,228.0,417.0,40.0
1625609128,8.0,173.0,420.0,40.0
1625609131,11.0,228.0,427.0,40.0
1625609134,13.0,209.0,451.0,40.0
1625609137,12.0,211.0,409.0,40.0
1625609140,10.0,216.0,464.0,40.0
1625609143,8.0,210.0,479.0,40.0
1625609146,11.0,222.0,418.0,40.0
1625609149,13.0,221.0,404.0,40.0
1625609152,12.0,213.0,395.0,40.0
1625609155,10.0,220.0,394.0,40.0
1625609158,11.0,212.0,404.0,40.0
1625609161,9.0,220.0,394.0,40.0
