UnixTime,Wind Speed,Wind Dir,GasData
1594636040,0.0,135.0,605.0
1594636041,0.0,135.0,631.0
1594636042,0.0,135.0,667.0
1594636043,0.0,135.0,692.0
1594636044,0.0,135.0,705.0
1594636045,0.0,135.0,705.0
1594636046,0.0,135.0,706.0
1594636047,0.0,135.0,708.0
1594636048,0.0,135.0,712.0
1594636049,0.0,135.0,719.0
1594636050,0.0,135.0,726.0
1594636051,0.0,135.0,733.0
1594636052,0.0,135.0,738.0
1594636053,0.0,135.0,742.0
1594636054,0.0,135.0,746.0
1594636055,0.0,135.0,749.0
1594636056,0.0,135.0,753.0
1594636057,0.0,135.0,755.0
1594636058,0.0,135.0,758.0
1594636059,0.0,135.0,761.0
1594636060,0.0,135.0,761.0
1594636061,0.0,135.0,763.0
1594636062,0.0,135.0,766.0
1594636063,0.0,135.0,767.0
1594636064,0.0,135.0,768.0
1594636065,0.0,135.0,769.0
1594636066,0.0,135.0,769.0
1594636067,0.0,135.0,762.0
1594636068,0.0,135.0,748.0
1594636069,0.0,135.0,724.0
1594636070,0.0,135.0,705.0
1594636071,0.0,135.0,690.0
1594636072,0.0,135.0,684.0
1594636073,0.0,135.0,682.0
1594636074,0.0,135.0,683.0
1594636075,0.0,135.0,684.0
1594636076,0.0,135.0,685.0
1594636077,0.0,135.0,686.0
1594636078,0.0,135.0,688.0
1594636079,0.0,135.0,690.0
1594636080,0.0,135.0,692.0
1594636081,0.0,135.0,693.0
1594636082,0.0,135.0,695.0
1594636083,0.0,135.0,696.0
1594636084,0.0,135.0,698.0
1594636085,0.0,135.0,699.0
1594636086,0.0,135.0,700.0
1594636087,0.0,135.0,701.0
1594636088,0.0,135.0,700.0
1594636089,0.0,135.0,700.0
1594636090,0.0,135.0,698.0
1594636091,0.0,135.0,697.0
1594636092,0.0,135.0,695.0
1594636093,0.0,135.0,694.0
1594636094,0.0,135.0,694.0
1594636095,0.0,135.0,694.0
1594636096,0.0,135.0,695.0
1594636097,0.0,135.0,695.0
1594636098,0.0,135.0,696.0
1594636099,0.0,135.0,696.0
1594636100,0.0,135.0,695.0
1594636101,0.0,135.0,695.0
1594636102,0.0,135.0,694.0
1594636103,0.0,135.0,692.0
1594636104,0.0,135.0,691.0
1594636105,0.0,135.0,689.0
1594636106,0.0,135.0,686.0
1594636107,0.0,135.0,684.0
1594636108,0.0,135.0,681.0
1594636109,0.0,135.0,678.0
1594636110,0.0,135.0,675.0
1594636111,0.0,135.0,672.0
1594636112,0.0,135.0,670.0
1594636113,0.0,135.0,667.0
1594636114,0.0,135.0,664.0
1594636115,0.0,135.0,661.0
1594636116,0.0,135.0,658.0
1594636117,0.0,135.0,656.0
1594636118,0.0,135.0,655.0
1594636119,0.0,135.0,655.0
1594636120,0.0,135.0,665.0
1594636121,0.0,135.0,687.0
1594636122,0.0,135.0,721.0
1594636123,0.0,135.0,747.0
1594636124,0.0,135.0,761.0
1594636125,0.0,135.0,764.0
1594636126,0.0,135.0,764.0
1594636127,0.0,135.0,763.0
1594636128,0.0,135.0,763.0
1594636129,0.0,135.0,762.0
1594636130,0.0,135.0,762.0
1594636131,0.0,135.0,762.0
1594636132,0.0,135.0,763.0
1594636133,0.0,135.0,763.0
1594636134,0.0,135.0,763.0
1594636135,0.0,135.0,763.0
1594636136,0.0,135.0,762.0
1594636137,0.0,135.0,761.0
1594636138,0.0,135.0,760.0
1594636139,0.0,135.0,757.0
1594636140,0.0,135.0,755.0
1594636141,0.0,135.0,752.0
1594636142,0.0,135.0,749.0
1594636143,0.0,135.0,747.0
1594636144,0.0,135.0,746.0
1594636145,0.0,135.0,746.0
1594636146,0.0,135.0,746.0
1594636147,0.0,135.0,747.0
1594636148,0.0,135.0,748.0
