unixtime,ws,wd,co2,temp
1625852446,4,264,165,36
1625852449,4,264,186,36
1625852452,4,261,240,36
1625852455,2,261,227,36
1625852458,3,261,256,36
1625852461,2,261,226,37
1625852464,5,261,181,37
1625852467,6,261,118,37
1625852470,6,260,8,37
1625852473,5,260,84,37
1625852476,5,260,185,37
1625852479,4,260,174,37
1625852482,3,260,204,37
1625852485,3,260,294,36
1625852488,4,260,229,37
1625852491,9,224,152,37
1625852494,6,210,183,37
1625852497,6,210,132,37
1625852500,6,220,113,37
1625852503,7,220,71,37
1625852506,6,222,168,37
1625852509,6,222,231,37
1625852512,6,224,271,37
1625852515,5,264,195,37
1625852518,5,264,195,37
1625852521,3,264,178,37
1625852524,5,264,185,37
1625852527,4,264,223,37
1625852530,5,265,117,37
1625852533,5,265,166,37
1625852536,7,264,111,37
1625852539,4,263,91,37
1625852542,4,264,158,37
1625852545,4,264,121,37
1625852548,4,264,198,37
1625852551,3,264,187,37
1625852554,4,264,144,37
1625852557,4,264,120,37
1625852560,5,309,139,37
1625852563,4,272,188,37
1625852566,6,272,8,37
1625852569,4,315,101,37
1625852572,4,316,56,37
1625852575,4,315,46,37
1625852578,4,304,35,37
1625852581,4,304,86,37
1625852584,5,304,115,37
1625852587,5,303,119,37
1625852590,4,303,116,37
1625852593,2,303,152,37
1625852596,2,303,138,37
1625852599,2,303,131,37
1625852602,2,303,154,37
1625852605,2,303,123,37
1625852608,1,303,122,37
1625852611,1,303,131,37
1625852614,0,303,115,37
1625852617,0,303,101,37
1625852620,3,303,110,37
1625852623,5,300,108,37
1625852626,6,257,101,37
1625852629,6,257,116,37
1625852632,8,261,109,37
1625852635,12,288,106,37
1625852638,14,288,102,37
1625852641,11,294,128,36
1625852644,9,286,96,36
1625852647,8,304,155,36
1625852650,6,300,280,36
1625852653,6,269,289,36
1625852656,4,246,140,36
1625852659,5,269,13,36
1625852662,3,270,0,36
1625852665,2,270,40,36
1625852668,3,270,88,37
1625852671,3,270,263,37
1625852674,4,269,192,37
1625852677,5,270,121,37
1625852680,5,270,212,36
1625852683,4,270,220,36
1625852686,5,270,219,36
1625852689,3,270,161,37
1625852692,3,269,140,37
1625852695,4,269,172,37
1625852698,4,269,158,37
1625852701,4,269,160,37
1625852704,4,269,149,37
1625852707,4,269,150,37
1625852710,3,269,140,37
1625852713,4,269,146,37
1625852716,3,269,159,37
1625852719,3,269,162,37
1625852722,2,269,168,37
1625852725,1,269,170,37
1625852728,1,269,183,37
1625852731,0,269,191,37
1625852734,0,269,164,37
1625852737,0,269,134,37
1625852740,0,269,120,37
1625852743,0,269,138,37
1625852746,1,269,134,37
1625852749,2,269,108,38
1625852752,6,270,109,37
1625852755,7,305,136,37
1625852758,7,312,117,37
1625852761,4,308,133,37
1625852764,4,307,50,37
1625852767,2,307,125,37
1625852770,2,307,140,37
1625852773,3,307,104,37
1625852776,4,295,97,37
1625852779,3,293,121,37
1625852782,4,283,109,37
1625852785,4,277,87,37
1625852788,3,277,2,37
1625852791,2,277,342,37
1625852794,3,280,209,38
1625852797,3,280,263,37
1625852800,4,280,173,37
1625852803,4,280,143,37
1625852806,4,280,78,37
1625852809,5,280,20,37
1625852812,4,280,117,37
1625852815,4,280,183,37
1625852818,6,280,226,37
1625852821,9,280,194,37
1625852824,8,269,54,37
1625852827,8,272,75,37
1625852830,6,273,92,37
1625852833,5,269,202,37
1625852836,4,269,222,37
1625852839,4,269,181,37
1625852842,7,273,152,37
1625852845,9,281,153,37
1625852848,10,243,62,37
1625852851,11,302,61,37
1625852854,9,302,134,36
1625852857,8,302,142,36
1625852860,7,332,153,36
1625852863,6,336,88,36
1625852866,6,251,81,36
1625852869,6,235,62,37
1625852872,4,235,76,37
1625852875,4,235,53,37
1625852878,2,235,169,37
1625852881,2,235,225,37
1625852884,0,235,132,37
1625852887,3,237,178,37
1625852890,4,319,224,37
1625852893,4,319,213,37
1625852896,4,319,227,37
1625852899,4,318,236,37
1625852902,3,319,177,37
1625852905,1,318,154,37
1625852908,2,318,119,37
1625852911,4,309,122,37
1625852914,7,251,108,37
1625852917,7,262,37,37
1625852920,6,259,90,37
1625852923,5,253,196,37
1625852926,5,253,292,37
1625852929,3,253,229,37
1625852932,4,253,220,37
1625852935,2,253,193,38
1625852938,2,253,199,38
1625852941,1,253,190,38
1625852944,1,253,193,38
1625852947,0,253,183,38
1625852950,1,253,194,38
1625852953,3,254,233,38
1625852956,4,254,120,38
1625852959,2,253,94,38
1625852962,2,254,99,38
1625852965,1,254,149,38
1625852968,0,254,199,38
1625852971,0,253,238,38
1625852974,5,254,122,38
1625852977,9,273,122,38
1625852980,8,277,0,38
1625852983,8,274,0,38
1625852986,6,243,93,37
1625852989,5,243,306,37
1625852992,4,243,238,37
1625852995,4,243,245,37
1625852998,1,243,335,38
1625853001,2,243,129,38
1625853004,3,243,225,38
1625853007,3,242,62,38
1625853010,4,243,71,38
1625853013,3,243,57,38
1625853016,1,243,171,38
1625853019,3,242,159,38
1625853022,2,242,123,38
1625853025,2,243,144,38
1625853028,3,242,245,38
1625853031,3,242,177,38
1625853034,3,242,10,38
1625853037,6,242,146,38
1625853040,7,244,119,38
1625853043,7,252,195,38
1625853046,6,247,335,38
1625853049,7,231,338,38
1625853052,8,231,229,38
1625853055,6,237,202,38
1625853058,7,246,197,38
1625853061,8,276,240,38
1625853064,8,280,225,37
1625853067,8,281,199,37
1625853070,7,278,170,37
1625853073,7,267,179,37
1625853076,7,344,173,37
1625853079,5,316,149,37
1625853082,5,316,133,37
1625853085,5,314,139,37
1625853088,5,273,132,37
1625853091,7,246,149,37
1625853094,7,238,160,37
1625853097,8,211,152,37
1625853100,7,210,120,37
1625853103,6,210,147,37
1625853106,4,210,172,37
1625853109,4,210,181,37
1625853112,4,210,168,37
1625853115,6,210,146,37
1625853118,5,210,133,37
1625853121,5,210,137,37
1625853124,5,210,136,37
1625853127,5,210,143,37
1625853130,4,210,193,37
1625853133,2,210,119,37
1625853136,3,210,136,37
1625853139,4,210,51,37
1625853142,3,210,160,37
1625853145,4,210,203,37
1625853148,3,210,164,37
1625853151,1,210,246,37
1625853154,1,210,204,37
1625853157,1,210,187,38
1625853160,1,210,183,38
1625853163,2,210,184,38
1625853166,3,210,157,38
1625853169,5,210,161,38
1625853172,6,210,145,38
1625853175,5,210,156,38
1625853178,4,210,160,38
1625853181,4,210,163,38
1625853184,2,210,166,38
1625853187,2,210,157,38
1625853190,0,210,145,38
1625853193,0,210,156,38
1625853196,0,210,165,38
1625853199,1,210,152,38
1625853202,2,210,132,38
1625853205,5,210,143,38
1625853208,5,210,54,38
1625853211,6,210,54,38
1625853214,5,210,176,38
1625853217,6,210,266,38
1625853220,6,210,291,38
1625853223,7,210,211,38
1625853226,6,211,165,38
1625853229,9,211,155,37
1625853232,8,212,181,37
1625853235,8,212,149,37
1625853238,7,212,153,37
1625853241,4,212,146,37
1625853244,5,212,148,37
1625853247,8,212,172,37
1625853250,10,213,177,37
1625853253,11,252,163,37
1625853256,10,252,163,37
1625853259,10,230,170,37
1625853262,7,228,165,37
1625853265,5,199,159,37
1625853268,5,199,156,37
1625853271,4,199,166,37
1625853274,4,199,159,37
1625853277,3,199,169,37
1625853280,3,199,163,37
1625853283,6,199,163,37
1625853286,5,300,201,37
1625853289,4,300,197,37
1625853292,4,299,171,37
1625853295,2,299,206,37
1625853298,3,299,118,37
1625853301,4,285,244,37
1625853304,4,284,144,37
1625853307,3,270,67,37
1625853310,3,259,48,37
1625853313,7,264,80,38
1625853316,6,279,66,37
1625853319,4,280,77,37
1625853322,4,255,110,37
1625853325,6,255,278,37
1625853328,12,241,300,37
1625853331,14,230,0,37
1625853334,13,198,86,37
1625853337,9,191,36,37
1625853340,4,191,119,37
1625853343,6,192,222,37
1625853346,8,192,29,37
1625853349,6,192,166,37
1625853352,7,257,179,37
1625853355,9,272,226,37
1625853358,6,286,198,37
1625853361,7,278,158,37
1625853364,11,244,171,37
1625853367,9,257,169,37
1625853370,8,226,130,37
1625853373,6,223,135,37
1625853376,4,223,164,37
