UNIXTIME,CO2
1583092801,486.00
1583092802,486.00
1583092803,486.00
1583092804,486.00
1583092805,486.00
1583092806,486.00
1583092807,486.00
1583092808,486.00
1583092809,485.00
1583092810,485.00
1583092811,485.00
1583092812,485.00
1583092813,485.00
1583092814,485.00
1583092815,485.00
1583092816,484.00
1583092817,484.00
1583092818,484.00
1583092819,484.00
1583092820,484.00
1583092821,484.00
1583092822,484.00
1583092823,484.00
1583092824,484.00
1583092825,484.00
1583092826,484.00
1583092827,484.00
1583092828,484.00
1583092829,485.00
1583092830,485.00
1583092831,485.00
1583092832,486.00
1583092833,486.00
1583092834,486.00
1583092835,485.00
1583092836,485.00
1583092837,485.00
1583092838,485.00
1583092839,485.00
1583092840,485.00
1583092841,485.00
1583092842,485.00
1583092843,485.00
1583092844,485.00
1583092845,485.00
1583092846,485.00
1583092847,486.00
1583092848,486.00
1583092849,485.00
1583092850,485.00
1583092851,485.00
1583092852,485.00
1583092853,485.00
1583092854,485.00
1583092855,485.00
1583092856,486.00
1583092857,486.00
1583092858,485.00
1583092859,485.00
1583092860,485.00
1583092861,485.00
1583092862,485.00
1583092863,485.00
1583092864,485.00
1583092865,485.00
1583092866,485.00
1583092867,485.00
1583092868,485.00
1583092869,485.00
1583092870,485.00
1583092871,485.00
1583092872,485.00
1583092873,485.00
1583092874,485.00
1583092875,485.00
1583092876,485.00
1583092877,485.00
1583092878,485.00
1583092879,485.00
1583092880,485.00
1583092881,485.00
1583092882,484.00
1583092883,484.00
1583092884,484.00
1583092885,484.00
1583092886,484.00
1583092887,484.00
1583092888,484.00
1583092889,484.00
1583092890,484.00
1583092891,484.00
1583092892,484.00
1583092893,484.00
1583092894,484.00
1583092895,484.00
1583092896,484.00
1583092897,484.00
1583092898,484.00
1583092899,484.00
1583092900,484.00
1583092901,484.00
1583092902,484.00
1583092903,484.00
1583092904,484.00
1583092905,483.00
1583092906,483.00
1583092907,483.00
1583092908,483.00
1583092909,483.00
1583092910,484.00
1583092911,484.00
1583092912,484.00
1583092913,484.00
1583092914,484.00
1583092915,484.00
1583092916,484.00
1583092917,484.00
1583092918,484.00
1583092919,485.00
1583092920,485.00
1583092921,485.00
1583092922,485.00
1583092923,485.00
1583092924,485.00
1583092925,484.00
1583092926,484.00
1583092927,484.00
1583092928,484.00
1583092929,484.00
1583092930,484.00
1583092931,484.00
1583092932,484.00
1583092933,484.00
1583092934,484.00
1583092935,484.00
1583092936,484.00
1583092937,484.00
1583092938,484.00
1583092939,484.00
1583092940,484.00
1583092941,484.00
1583092942,484.00
1583092943,484.00
1583092944,484.00
1583092945,484.00
1583092946,484.00
1583092947,484.00
1583092948,485.00
1583092949,485.00
1583092950,485.00
1583092951,485.00
1583092952,485.00
1583092953,485.00
1583092954,485.00
1583092955,485.00
1583092956,485.00
1583092957,486.00
1583092958,486.00
1583092959,487.00
1583092960,487.00
1583092961,487.00
1583092962,486.00
1583092963,486.00
1583092964,486.00
1583092965,486.00
1583092966,486.00
1583092967,486.00
1583092968,486.00
1583092969,486.00
1583092970,486.00
1583092971,487.00
1583092972,486.00
1583092973,486.00
1583092974,486.00
1583092975,486.00
1583092976,486.00
1583092977,486.00
1583092978,486.00
1583092979,486.00
1583092980,486.00
1583092981,485.00
1583092982,485.00
1583092983,485.00
1583092984,485.00
1583092985,485.00
1583092986,484.00
1583092987,484.00
1583092988,484.00
1583092989,485.00
1583092990,485.00
1583092991,485.00
1583092992,485.00
1583092993,485.00
1583092994,485.00
1583092995,486.00
1583092996,486.00
1583092997,486.00
1583092998,486.00
1583092999,487.00
1583093000,487.00
1583093001,487.00
1583093002,486.00
1583093003,486.00
1583093004,486.00
1583093005,486.00
1583093006,485.00
1583093007,485.00
1583093008,485.00
1583093009,485.00
1583093010,485.00
1583093011,485.00
1583093012,485.00
1583093013,485.00
1583093014,485.00
1583093015,485.00
1583093016,485.00
1583093017,485.00
1583093018,486.00
1583093019,485.00
1583093020,485.00
1583093021,485.00
1583093022,485.00
1583093023,485.00
1583093024,486.00
1583093025,485.00
1583093026,485.00
1583093027,485.00
1583093028,485.00
1583093029,485.00
1583093030,485.00
1583093031,484.00
1583093032,484.00
1583093033,484.00
1583093034,483.00
1583093035,483.00
1583093036,483.00
1583093037,483.00
1583093038,483.00
1583093039,483.00
1583093040,483.00
1583093041,483.00
1583093042,483.00
1583093043,483.00
1583093044,483.00
1583093045,483.00
1583093046,483.00
1583093047,483.00
1583093048,482.00
1583093049,482.00
1583093050,481.00
1583093051,481.00
1583093052,481.00
1583093053,481.00
1583093054,481.00
1583093055,481.00
1583093056,481.00
1583093057,481.00
1583093058,481.00
1583093059,481.00
1583093060,481.00
1583093061,481.00
1583093062,481.00
1583093063,481.00
1583093064,482.00
1583093065,482.00
1583093066,482.00
1583093067,482.00
1583093068,482.00
1583093069,483.00
1583093070,483.00
1583093071,483.00
1583093072,484.00
1583093073,484.00
1583093074,484.00
1583093075,484.00
1583093076,484.00
1583093077,484.00
1583093078,484.00
1583093079,483.00
1583093080,483.00
1583093081,482.00
1583093082,482.00
1583093083,482.00
1583093084,482.00
1583093085,482.00
1583093086,482.00
1583093087,482.00
1583093088,482.00
1583093089,482.00
1583093090,482.00
1583093091,482.00
1583093092,482.00
1583093093,482.00
1583093094,482.00
1583093095,482.00
1583093096,482.00
1583093097,482.00
1583093098,483.00
1583093099,483.00
1583093100,484.00
1583093101,484.00
1583093102,485.00
1583093103,485.00
1583093104,485.00
1583093105,485.00
1583093106,485.00
1583093107,484.00
1583093108,484.00
1583093109,484.00
1583093110,484.00
1583093111,484.00
1583093112,484.00
1583093113,484.00
1583093114,484.00
1583093115,484.00
1583093116,484.00
1583093117,484.00
1583093118,484.00
1583093119,484.00
1583093120,484.00
1583093121,484.00
1583093122,484.00
1583093123,484.00
1583093124,484.00
1583093125,485.00
1583093126,485.00
1583093127,484.00
1583093128,484.00
1583093129,484.00
1583093130,484.00
1583093131,484.00
1583093132,484.00
1583093133,484.00
1583093134,484.00
1583093135,484.00
1583093136,483.00
1583093137,483.00
1583093138,483.00
1583093139,483.00
1583093140,483.00
1583093141,483.00
1583093142,483.00
1583093143,483.00
1583093144,482.00
1583093145,482.00
1583093146,482.00
1583093147,482.00
1583093148,482.00
1583093149,482.00
1583093150,482.00
1583093151,482.00
1583093152,482.00
1583093153,482.00
1583093154,482.00
1583093155,482.00
1583093156,482.00
1583093157,482.00
1583093158,482.00
1583093159,481.00
1583093160,481.00
1583093161,481.00
1583093162,481.00
1583093163,481.00
1583093164,482.00
1583093165,482.00
1583093166,482.00
1583093167,482.00
1583093168,482.00
1583093169,482.00
1583093170,481.00
1583093171,481.00
1583093172,481.00
1583093173,481.00
1583093174,481.00
1583093175,481.00
1583093176,481.00
1583093177,481.00
1583093178,481.00
1583093179,481.00
1583093180,481.00
1583093181,481.00
1583093182,481.00
1583093183,481.00
1583093184,481.00
1583093185,481.00
1583093186,481.00
1583093187,481.00
1583093188,481.00
1583093189,482.00
1583093190,482.00
1583093191,482.00
1583093192,482.00
1583093193,482.00
1583093194,482.00
1583093195,482.00
1583093196,482.00
1583093197,482.00
1583093198,483.00
1583093199,482.00
1583093200,482.00
1583093201,482.00
1583093202,482.00
1583093203,482.00
1583093204,481.00
1583093205,481.00
1583093206,481.00
1583093207,481.00
1583093208,481.00
1583093209,481.00
