UnixTime,Wind Speed,Wind Dir,GasData
1594581021,0.0,270.0,671.0
1594581022,0.0,270.0,671.0
1594581023,0.0,270.0,670.0
1594581024,0.0,270.0,668.0
1594581025,0.0,270.0,667.0
1594581026,0.0,270.0,666.0
1594581027,0.0,270.0,665.0
1594581028,0.0,270.0,665.0
1594581029,0.0,270.0,664.0
1594581030,0.0,270.0,664.0
1594581031,0.0,270.0,663.0
1594581032,0.0,225.0,662.0
1594581033,0.0,225.0,662.0
1594581034,0.0,225.0,661.0
1594581035,0.0,315.0,661.0
1594581036,0.0,270.0,660.0
1594581037,0.0,270.0,660.0
1594581038,0.0,315.0,660.0
1594581039,0.0,315.0,659.0
1594581040,0.0,315.0,659.0
1594581041,2.984,315.0,658.0
1594581042,0.0,315.0,658.0
1594581043,2.984,315.0,658.0
1594581044,0.0,315.0,659.0
1594581045,2.984,315.0,661.0
1594581046,0.0,315.0,677.0
1594581047,11.936,315.0,707.0
1594581048,8.952,315.0,753.0
1594581049,8.952,315.0,788.0
1594581050,5.968,315.0,809.0
1594581051,5.968,315.0,813.0
1594581052,2.984,315.0,814.0
1594581053,8.952,315.0,815.0
1594581054,5.968,315.0,815.0
1594581055,0.0,315.0,816.0
1594581056,0.0,315.0,816.0
1594581057,0.0,315.0,817.0
1594581058,11.936,315.0,817.0
1594581059,11.936,315.0,818.0
1594581060,8.952,315.0,819.0
1594581061,2.984,315.0,819.0
1594581062,5.968,315.0,820.0
1594581063,5.968,315.0,820.0
1594581064,5.968,315.0,820.0
1594581065,14.92,315.0,820.0
1594581066,11.936,315.0,819.0
1594581067,8.952,315.0,819.0
1594581068,5.968,315.0,817.0
1594581069,5.968,315.0,816.0
1594581070,5.968,315.0,815.0
1594581071,2.984,315.0,816.0
1594581072,2.984,315.0,834.0
1594581073,14.92,315.0,870.0
1594581074,14.92,315.0,923.0
1594581075,8.952,315.0,962.0
1594581076,8.952,315.0,984.0
1594581077,5.968,315.0,988.0
1594581078,5.968,315.0,989.0
1594581079,23.872,315.0,989.0
1594581080,14.92,315.0,989.0
1594581081,8.952,315.0,990.0
1594581082,8.952,315.0,990.0
1594581083,8.952,315.0,989.0
1594581084,17.904,315.0,989.0
1594581085,20.887999999999998,315.0,988.0
1594581086,11.936,315.0,986.0
1594581087,11.936,315.0,985.0
1594581088,5.968,315.0,983.0
1594581089,8.952,315.0,982.0
1594581090,5.968,315.0,982.0
1594581091,2.984,315.0,979.0
1594581092,5.968,315.0,977.0
1594581093,2.984,315.0,974.0
1594581094,2.984,315.0,970.0
1594581095,2.984,315.0,967.0
1594581096,2.984,315.0,963.0
1594581097,2.984,315.0,959.0
1594581098,2.984,315.0,956.0
1594581099,0.0,315.0,952.0
1594581100,2.984,315.0,948.0
1594581101,0.0,315.0,944.0
1594581102,2.984,315.0,939.0
1594581103,0.0,315.0,935.0
1594581104,2.984,315.0,930.0
1594581105,0.0,315.0,926.0
1594581106,2.984,315.0,924.0
1594581107,0.0,315.0,933.0
1594581108,0.0,315.0,953.0
1594581109,0.0,225.0,985.0
1594581110,0.0,225.0,1010.0
1594581111,2.984,225.0,1024.0
1594581112,0.0,225.0,1026.0
1594581113,0.0,225.0,1025.0
1594581114,0.0,225.0,1023.0
1594581115,0.0,225.0,1008.0
1594581116,0.0,225.0,981.0
1594581117,0.0,225.0,942.0
1594581118,2.984,315.0,915.0
1594581119,0.0,315.0,901.0
1594581120,0.0,315.0,899.0
1594581121,0.0,315.0,898.0
1594581122,0.0,315.0,897.0
1594581123,0.0,315.0,895.0
1594581124,0.0,315.0,893.0
1594581125,0.0,315.0,890.0
1594581126,0.0,315.0,886.0
1594581127,0.0,315.0,883.0
