bn,ut,conc,ws,dir,temp
1,1655508117,1008,0,174,25
1,1655508120,1010,0,170,25
1,1655508123,1010,0,170,25
1,1655508126,1009,0,170,25
1,1655508129,1009,0,172,25
1,1655508132,1009,0,175,25
1,1655508135,1009,0,172,25
1,1655508138,1009,0,173,25
1,1655508141,1009,0,171,25
1,1655508144,1009,0,171,25
1,1655508147,1010,0,176,25
1,1655508150,1011,0,173,25
1,1655508153,1011,0,172,25
1,1655508156,1011,0,172,25
1,1655508159,1011,0,173,25
1,1655508162,1010,0,174,25
1,1655508165,1010,0,171,25
1,1655508168,1008,0,170,25
1,1655508171,1008,0,173,25
1,1655508174,1007,0,170,25
1,1655508177,1008,0,174,25
1,1655508180,1006,0,173,25
1,1655508183,1008,0,170,25
1,1655508186,1010,0,173,25
1,1655508189,1014,0,173,25
1,1655508192,1012,0,175,25
1,1655508195,1002,0,171,25
1,1655508198,1001,0,173,25
1,1655508201,1000,0,171,25
1,1655508204,1001,0,170,25
1,1655508207,1001,0,176,25
1,1655508210,1002,0,173,25
1,1655508213,1001,0,171,25
1,1655508216,1000,0,172,25
1,1655508219,1001,0,173,25
1,1655508222,1000,0,175,25
1,1655508225,1002,0,171,25
1,1655508228,1002,0,173,25
1,1655508231,1004,0,171,25
1,1655508234,1005,0,170,25
1,1655508237,1003,0,173,25
1,1655508240,1001,0,173,25
1,1655508243,1002,0,171,25
1,1655508246,1000,0,171,25
1,1655508249,999,0,173,25
1,1655508252,999,0,173,25
1,1655508255,1001,0,172,25
1,1655508258,1000,0,170,25
1,1655508261,1001,0,172,25
1,1655508264,1003,0,170,25
1,1655508267,1003,0,174,25
1,1655508270,1001,0,171,25
1,1655508273,1000,0,171,25
1,1655508276,1001,0,172,25
1,1655508279,1001,0,173,25
1,1655508282,1003,0,173,25
1,1655508285,1004,0,170,25
1,1655508288,1004,0,171,25
1,1655508291,1006,0,173,25
1,1655508294,1006,0,170,25
1,1655508297,1007,0,172,25
1,1655508300,1007,0,172,25
1,1655508303,1006,0,172,25
1,1655508306,1004,0,172,25
1,1655508309,1004,0,172,25
1,1655508312,1006,0,172,25
1,1655508315,1004,0,173,25
1,1655508318,1004,0,172,25
1,1655508321,1005,0,171,25
1,1655508324,1005,0,172,25
1,1655508327,1004,0,170,25
1,1655508330,1003,0,170,25
1,1655508333,1003,0,173,25
1,1655508336,1004,0,170,25
1,1655508339,1004,0,172,25
1,1655508342,1004,0,171,25
1,1655508345,1005,0,172,25
1,1655508348,1005,0,171,25
1,1655508351,1002,0,170,25
1,1655508354,1002,0,173,25
