Unixtime,WindCyc,WindDir,ConcData,TempData
1625532674,0.0,330.0,419.0,25.0
1625532677,0.0,331.0,394.0,25.0
1625532680,0.0,331.0,396.0,25.0
1625532683,0.0,330.0,395.0,25.0
1625532686,0.0,331.0,388.0,25.0
1625532689,0.0,329.0,387.0,25.0
1625532692,0.0,331.0,383.0,25.0
1625532695,0.0,331.0,382.0,25.0
1625532698,0.0,330.0,383.0,25.0
1625532701,0.0,331.0,383.0,25.0
1625532704,0.0,329.0,381.0,25.0
1625532707,0.0,331.0,382.0,25.0
1625532710,0.0,331.0,380.0,25.0
1625532713,0.0,330.0,380.0,25.0
1625532716,0.0,331.0,382.0,26.0
1625532719,11.0,329.0,382.0,26.0
1625532722,5.0,3.0,387.0,26.0
1625532725,5.0,89.0,400.0,26.0
1625532728,13.0,87.0,408.0,26.0
1625532731,6.0,87.0,465.0,26.0
1625532734,3.0,194.0,489.0,26.0
1625532737,2.0,173.0,486.0,26.0
1625532740,9.0,173.0,512.0,26.0
1625532743,8.0,173.0,512.0,26.0
1625532746,4.0,173.0,517.0,26.0
1625532749,2.0,173.0,515.0,26.0
1625532752,2.0,173.0,512.0,26.0
1625532755,0.0,188.0,507.0,26.0
1625532758,1.0,119.0,504.0,26.0
1625532761,0.0,111.0,504.0,26.0
