Memory:       7104,,,,,,,,,,,,,,,,,,,,,
RF identifier 2,,,,,,,,,,,,,,,,,,,,,
Firmware ver: 0x300d,,,,,,,,,,,,,,,,,,,,,
Hardware ver: 0x4150,,,,,,,,,,,,,,,,,,,,,
Hub Address:  b'\x00\x13\xa2\x00A\xad\xaa\x16',,,,,,,,,,,,,,,,,,,,,
Hub Connect:  1,,,,,,,,,,,,,,,,,,,,,
Transmit On:  1,,,,,,,,,,,,,,,,,,,,,
SCD Interval: 2,,,,,,,,,,,,,,,,,,,,,
SCD Altitude: 1300,,,,,,,,,,,,,,,,,,,,,
SCD Factor:   400,,,,,,,,,,,,,,,,,,,,,
SCD Auto?     False,,,,,,,,,,,,,,,,,,,,,
------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,
1,1,946767060,128,23,37,357,0,4496,0,3.03,TRUE,,,,,,,,,,
1,1,946767063,0,23,37,357,0,4496,0,3.22,TRUE,,,,,,,,,,
1,1,946767066,176,23,37,357,0,4496,0,3.19,TRUE,,,,,,,,,,
1,1,946767069,582,23,37,357,0,4496,0,3.2,TRUE,,,,,,,,,,
1,1,946767072,769,23,37,357,0,4496,0,3.22,TRUE,,,,,,,,,,
1,1,946767075,0,23,37,357,0,4496,0,3.05,TRUE,,,,,,,,,,
1,1,946767078,736,23,37,357,0,4496,0,3.22,TRUE,,,,,,,,,,
1,1,946767081,751,23,37,357,0,4496,0,3.2,TRUE,,,,,,,,,,
1,1,946767084,758,23,37,357,0,4496,0,3.21,TRUE,,,,,,,,,,
1,1,946767087,745,23,37,357,0,4496,0,3.23,TRUE,,,,,,,,,,
1,1,946767090,252,23,37,357,0,4496,0,3.06,TRUE,,,,,,,,,,
1,1,946767093,425,23,37,357,0,4496,0,3.22,TRUE,,,,,,,,,,
1,1,946767096,578,23,37,357,0,4496,0,3.2,TRUE,,,,,,,,,,
1,1,946767099,672,23,37,357,0,4496,0,3.2,TRUE,,,,,,,,,,
1,1,946767102,686,23,37,357,0,4496,0,3.23,TRUE,,,,,,,,,,
1,1,946767105,0,23,37,358,0,4496,0,3.13,TRUE,,,,,,,,,,
1,1,946767108,651,23,37,358,0,4496,0,3.22,TRUE,,,,,,,,,,
1,1,946767111,829,23,37,358,0,4496,0,3.2,TRUE,,,,,,,,,,
1,1,946767114,817,23,37,358,0,4496,0,3.22,TRUE,,,,,,,,,,
1,1,946767117,782,23,37,358,0,4496,0,3.22,TRUE,,,,,,,,,,
1,1,946767120,0,23,37,358,0,4496,0,3.13,TRUE,,,,,,,,,,
1,1,946767123,703,23,37,358,0,4496,0,3.22,TRUE,,,,,,,,,,
1,1,946767126,789,23,37,358,0,4496,0,3.22,TRUE,,,,,,,,,,
1,1,946767129,751,23,37,358,0,4496,0,3.18,TRUE,,,,,,,,,,
