Running bytecode...,,,,,,,,,,
SCD Initializing,,,,,,,,,,
Instantiated FRAM,,,,,,,,,,
,,,,,,,,,,
Memory:       6896,,,,,,,,,,
RF identifier 2,,,,,,,,,,
Firmware ver: 0x300d,,,,,,,,,,
Hardware ver: 0x4150,,,,,,,,,,
Hub Address:  b'\x00\x13\xa2\x00A\xad\xaa\x16',,,,,,,,,,
Hub Connect:  1,,,,,,,,,,
Transmit On:  1,,,,,,,,,,
SCD Interval: 2,,,,,,,,,,
SCD Altitude: 1300,,,,,,,,,,
SCD Factor:   400,,,,,,,,,,
SCD Auto?     False,,,,,,,,,,
,,,,,,,,,,
------------------------------------------------------------------------------,,,,,,,,,,
1,1,946691693,688,24,33,358,0,4368,0,3.22
1,1,946691696,691,24,33,358,0,4368,0,3.22
1,1,946691699,692,24,33,358,0,4368,0,3.23
1,1,946691702,695,24,33,358,0,4368,0,3.24
1,1,946691705,695,24,33,358,0,4368,0,3.11
1,1,946691708,695,24,33,358,0,4368,0,3.22
1,1,946691711,695,24,33,358,0,4368,0,3.22
1,1,946691714,695,24,33,358,0,4368,0,3.23
1,1,946691717,698,24,33,358,0,4368,0,3.23
1,1,946691720,697,24,33,359,0,4368,0,3.11
1,1,946691723,698,24,33,358,0,4368,0,3.23
-,,,,,,,,,,
--------------------------------SCD Zeros Occurred--------------------------------,,,,,,,,,,
-,,,,,,,,,,
1,1,946691726,0,0,0,358,0,6080,0,3.22
1,1,946691729,631,24,33,359,0,4368,0,3.22
1,1,946691732,633,24,33,358,0,4368,0,3.24
1,1,946691735,637,24,33,358,0,4368,0,3.11
1,1,946691738,642,24,33,358,0,4368,0,3.22
1,1,946691741,655,24,33,358,0,4368,0,3.23
1,1,946691744,692,24,33,359,0,4368,0,3.22
1,1,946691747,700,24,33,358,0,4368,0,3.23
1,1,946691750,702,24,33,358,0,4368,0,3.09
1,1,946691753,706,24,33,358,0,4368,0,3.23
1,1,946691756,710,24,33,358,0,4368,0,3.22
1,1,946691759,713,24,33,359,0,4368,0,3.23
1,1,946691762,706,24,33,358,0,4368,0,3.24
1,1,946691765,708,24,33,358,0,4368,0,3.11
1,1,946691768,708,24,33,358,0,4368,0,3.23
1,1,946691771,708,24,33,358,0,4368,0,3.22
