Loading /flash/main.mpy...,,,,,,,,,,,,,,,,,,,,
Running bytecode...,,,,,,,,,,,,,,,,,,,,
SCD Initializing,,,,,,,,,,,,,,,,,,,,
Instantiated FRAM,,,,,,,,,,,,,,,,,,,,
Memory:       5888,,,,,,,,,,,,,,,,,,,,
RF identifier 2,,,,,,,,,,,,,,,,,,,,
Firmware ver: 0x300d,,,,,,,,,,,,,,,,,,,,
Hardware ver: 0x4150,,,,,,,,,,,,,,,,,,,,
Hub Address:  b'\x00\x13\xa2\x00A\xad\xaa\x16',,,,,,,,,,,,,,,,,,,,
Hub Connect:  1,,,,,,,,,,,,,,,,,,,,
Transmit On:  1,,,,,,,,,,,,,,,,,,,,
SCD Interval: 2,,,,,,,,,,,,,,,,,,,,
SCD Altitude: 1300,,,,,,,,,,,,,,,,,,,,
SCD Factor:   400,,,,,,,,,,,,,,,,,,,,
SCD Auto?     False,,,,,,,,,,,,,,,,,,,,
------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,
1,1,946754803,714,24,34,13,0,3792,0,3.08,TRUE,,,,,,,,,
1,1,946754806,809,24,34,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946754809,805,24,34,13,0,3792,0,3.21,TRUE,,,,,,,,,
1,1,946754812,802,24,34,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946754815,774,24,34,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946754818,746,24,34,13,0,3792,0,3.08,TRUE,,,,,,,,,
1,1,946754821,709,24,34,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946754824,696,24,34,13,0,3792,0,3.21,TRUE,,,,,,,,,
1,1,946754827,689,24,34,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946754830,688,24,34,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946754833,685,24,34,13,0,3792,0,3.08,TRUE,,,,,,,,,
1,1,946754836,686,24,34,13,0,3792,0,3.24,TRUE,,,,,,,,,
1,1,946754839,685,24,34,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946754842,685,24,34,14,0,3792,0,3.21,TRUE,,,,,,,,,
1,1,946754845,694,24,34,13,0,3792,0,3.24,TRUE,,,,,,,,,
1,1,946754848,694,24,34,13,0,3792,0,3.1,TRUE,,,,,,,,,
1,1,946754851,690,24,34,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946754854,692,24,34,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946754857,694,24,34,13,0,3792,0,3.21,TRUE,,,,,,,,,
1,1,946754860,693,24,34,13,0,3792,0,3.23,TRUE,,,,,,,,,
