Loading /flash/main.mpy...,,,,,,,,,,,,,,,,,,,,
Running bytecode...,,,,,,,,,,,,,,,,,,,,
SCD Initializing,,,,,,,,,,,,,,,,,,,,
Instantiated FRAM,,,,,,,,,,,,,,,,,,,,
Memory:       5888,,,,,,,,,,,,,,,,,,,,
RF identifier 2,,,,,,,,,,,,,,,,,,,,
Firmware ver: 0x300d,,,,,,,,,,,,,,,,,,,,
Hardware ver: 0x4150,,,,,,,,,,,,,,,,,,,,
Hub Address:  b'\x00\x13\xa2\x00A\xad\xaa\x16',,,,,,,,,,,,,,,,,,,,
Hub Connect:  1,,,,,,,,,,,,,,,,,,,,
Transmit On:  1,,,,,,,,,,,,,,,,,,,,
SCD Interval: 2,,,,,,,,,,,,,,,,,,,,
SCD Altitude: 1300,,,,,,,,,,,,,,,,,,,,
SCD Factor:   400,,,,,,,,,,,,,,,,,,,,
SCD Auto?     False,,,,,,,,,,,,,,,,,,,,
------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,
1,1,946755460,644,24,33,13,0,3792,0,3.08,TRUE,,,,,,,,,
1,1,946755463,644,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755466,644,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946755469,644,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755472,644,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755475,644,24,33,13,0,3792,0,3.09,TRUE,,,,,,,,,
1,1,946755478,645,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755481,645,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946755484,645,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755487,644,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755490,644,24,33,13,0,3792,0,3.09,TRUE,,,,,,,,,
1,1,946755493,645,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755496,645,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946755499,645,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755502,645,24,33,12,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755505,646,24,33,13,0,3792,0,3.09,TRUE,,,,,,,,,
1,1,946755508,645,24,33,13,0,3792,0,3.24,TRUE,,,,,,,,,
1,1,946755511,645,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946755514,645,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755517,645,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755520,645,24,33,13,0,3792,0,3.08,TRUE,,,,,,,,,
1,1,946755523,644,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755526,644,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
Loading /flash/main.mpy...,,,,,,,,,,,,,,,,,,,,
Running bytecode...,,,,,,,,,,,,,,,,,,,,
SCD Initializing,,,,,,,,,,,,,,,,,,,,
Instantiated FRAM,,,,,,,,,,,,,,,,,,,,
Memory:       5888,,,,,,,,,,,,,,,,,,,,
RF identifier 2,,,,,,,,,,,,,,,,,,,,
Firmware ver: 0x300d,,,,,,,,,,,,,,,,,,,,
Hardware ver: 0x4150,,,,,,,,,,,,,,,,,,,,
Hub Address:  b'\x00\x13\xa2\x00A\xad\xaa\x16',,,,,,,,,,,,,,,,,,,,
Hub Connect:  1,,,,,,,,,,,,,,,,,,,,
Transmit On:  1,,,,,,,,,,,,,,,,,,,,
SCD Interval: 2,,,,,,,,,,,,,,,,,,,,
SCD Altitude: 1300,,,,,,,,,,,,,,,,,,,,
SCD Factor:   400,,,,,,,,,,,,,,,,,,,,
SCD Auto?     False,,,,,,,,,,,,,,,,,,,,
------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,
1,1,946755545,643,24,33,14,0,6112,0,3.23,,,,,,,,,,
1,1,946755548,643,24,33,13,0,3792,0,3.08,TRUE,,,,,,,,,
1,1,946755551,643,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755554,642,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946755557,642,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755560,642,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755563,641,24,33,13,0,3792,0,3.08,TRUE,,,,,,,,,
1,1,946755566,642,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755569,642,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946755572,641,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755575,641,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755578,640,24,33,14,0,3792,0,3.09,TRUE,,,,,,,,,
1,1,946755581,640,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755584,640,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946755587,640,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755590,640,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755593,641,24,33,14,0,3792,0,3.08,TRUE,,,,,,,,,
1,1,946755596,640,24,33,14,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755599,640,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946755602,639,24,33,13,0,3792,0,3.24,TRUE,,,,,,,,,
1,1,946755605,640,24,33,14,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755608,640,24,33,14,0,3792,0,3.09,TRUE,,,,,,,,,
1,1,946755611,641,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755614,640,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946755617,640,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946755620,641,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946755623,641,24,33,13,0,3792,0,3.09,TRUE,,,,,,,,,
1,1,946755626,642,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755629,642,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946755632,643,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755635,643,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755638,643,24,33,14,0,3792,0,3.08,TRUE,,,,,,,,,
1,1,946755641,643,24,33,14,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755644,643,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946755647,644,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946755650,643,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755653,643,24,33,13,0,3792,0,3.08,TRUE,,,,,,,,,
1,1,946755656,644,24,33,14,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755659,644,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946755662,644,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755665,644,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755668,644,24,33,12,0,3792,0,3.07,TRUE,,,,,,,,,
1,1,946755671,644,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755674,644,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946755677,644,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946755680,643,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755683,644,24,33,13,0,3792,0,3.08,TRUE,,,,,,,,,
1,1,946755686,644,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755689,643,24,33,14,0,3792,0,3.21,TRUE,,,,,,,,,
1,1,946755692,643,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946755695,643,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755698,644,24,33,13,0,3792,0,3.07,TRUE,,,,,,,,,
1,1,946755701,642,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755704,642,24,33,13,0,3792,0,3.21,TRUE,,,,,,,,,
1,1,946755707,642,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946755710,642,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755713,641,24,33,13,0,3792,0,3.09,TRUE,,,,,,,,,
1,1,946755716,641,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755719,641,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946755722,642,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946755725,642,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755728,641,24,33,13,0,3792,0,3.09,TRUE,,,,,,,,,
1,1,946755731,641,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755734,641,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946755737,640,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946755740,640,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755743,640,24,33,13,0,3792,0,3.13,TRUE,,,,,,,,,
1,1,946755746,641,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946755749,641,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755752,641,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946755755,641,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755758,640,24,33,13,0,3792,0,3.09,TRUE,,,,,,,,,
1,1,946755761,639,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755764,639,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946755767,639,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946755770,639,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755773,639,24,33,13,0,3792,0,3.17,TRUE,,,,,,,,,
1,1,946755776,639,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946755779,638,24,33,13,0,3792,0,3.24,TRUE,,,,,,,,,
1,1,946755782,638,24,33,14,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946755785,638,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755788,638,24,33,13,0,3792,0,3.1,TRUE,,,,,,,,,
1,1,946755791,638,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755794,638,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755797,637,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946755800,637,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755803,637,24,33,14,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946755806,637,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755809,636,24,33,14,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755812,635,24,33,13,0,3792,0,3.09,TRUE,,,,,,,,,
1,1,946755815,635,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946755818,635,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946755821,634,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755824,634,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
-,,,,,,,,,,,,,,,,,,,,
--------------------------------SCD Zeros Occurred--------------------------------,,,,,,,,,,,,,,,,,,,,
-,,,,,,,,,,,,,,,,,,,,
1,1,946755827,0,0,0,13,0,5504,0,3.08,,,,,,,,,,
1,1,946755830,708,24,33,12,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755833,706,24,33,13,0,3792,0,3.24,TRUE,,,,,,,,,
1,1,946755836,703,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755839,662,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755842,636,24,33,13,0,3792,0,3.09,TRUE,,,,,,,,,
1,1,946755845,619,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946755848,615,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946755851,617,24,33,12,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755854,626,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755857,623,24,33,13,0,3792,0,3.09,TRUE,,,,,,,,,
1,1,946755860,616,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755863,614,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946755866,613,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755869,614,24,33,14,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755872,614,24,33,13,0,3792,0,3.08,TRUE,,,,,,,,,
1,1,946755875,906,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755878,888,24,33,14,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946755881,872,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755884,805,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755887,719,24,33,13,0,3792,0,3.07,TRUE,,,,,,,,,
1,1,946755890,6115,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755893,730,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946755896,582,24,33,13,0,3792,0,3.21,TRUE,,,,,,,,,
1,1,946755899,621,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946755902,583,24,33,13,0,3792,0,3.08,TRUE,,,,,,,,,
1,1,946755905,3099,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755908,1672,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946755911,821,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946755914,600,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755917,611,24,33,13,0,3792,0,3.08,TRUE,,,,,,,,,
1,1,946755920,0,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755923,175,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946755926,535,24,33,14,0,3792,0,3.21,TRUE,,,,,,,,,
1,1,946755929,645,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755932,650,24,33,13,0,3792,0,3.07,TRUE,,,,,,,,,
1,1,946755935,0,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755938,214,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946755941,516,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946755944,609,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755947,615,24,33,13,0,3792,0,3.1,TRUE,,,,,,,,,
1,1,946755950,612,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755953,615,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755956,619,24,33,13,0,3792,0,3.21,TRUE,,,,,,,,,
1,1,946755959,621,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755962,623,24,33,13,0,3792,0,3.08,TRUE,,,,,,,,,
1,1,946755965,629,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946755968,632,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755971,632,24,33,14,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946755974,632,24,33,14,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755977,631,24,33,12,0,3792,0,3.15,TRUE,,,,,,,,,
1,1,946755980,629,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755983,630,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755986,631,24,33,13,0,3792,0,3.09,TRUE,,,,,,,,,
1,1,946755989,631,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755992,631,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946755995,629,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755998,630,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946756001,629,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946756004,630,24,33,14,0,3792,0,3.24,TRUE,,,,,,,,,
1,1,946756007,631,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946756010,633,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946756013,633,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946756016,633,24,33,14,0,3792,0,3.09,TRUE,,,,,,,,,
1,1,946756019,634,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946756022,634,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946756025,632,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946756028,632,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946756031,633,24,33,13,0,3792,0,3.09,TRUE,,,,,,,,,
1,1,946756034,632,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946756037,633,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946756040,632,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946756043,632,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946756046,633,24,33,13,0,3792,0,3.07,TRUE,,,,,,,,,
1,1,946756049,633,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946756052,632,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946756055,634,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946756058,634,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946756061,634,24,33,13,0,3792,0,3.08,TRUE,,,,,,,,,
1,1,946756064,632,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946756067,633,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946756070,632,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946756073,632,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946756076,633,24,33,13,0,3792,0,3.08,TRUE,,,,,,,,,
1,1,946756079,635,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946756082,635,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946756085,635,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946756088,637,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946756091,638,24,33,13,0,3792,0,3.08,TRUE,,,,,,,,,
1,1,946756094,637,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946756097,638,24,33,14,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946756100,637,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946756103,636,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946756106,636,24,33,13,0,3792,0,3.07,TRUE,,,,,,,,,
1,1,946756109,636,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946756112,636,24,33,13,0,3792,0,3.21,TRUE,,,,,,,,,
1,1,946756115,636,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946756118,635,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946756121,635,24,33,13,0,3792,0,3.08,TRUE,,,,,,,,,
1,1,946756124,635,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946756127,634,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946756130,633,24,33,12,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946756133,633,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946756136,632,24,33,13,0,3792,0,3.11,TRUE,,,,,,,,,
1,1,946756139,632,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946756142,632,24,33,13,0,3792,0,3.21,TRUE,,,,,,,,,
1,1,946756145,632,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946756148,632,24,33,14,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946756151,632,24,33,14,0,3792,0,3.09,TRUE,,,,,,,,,
1,1,946756154,633,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946756157,634,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946756160,634,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946756163,633,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946756166,633,24,33,13,0,3792,0,3.21,TRUE,,,,,,,,,
1,1,946756169,633,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946756172,634,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946756175,634,24,33,12,0,3792,0,3.21,TRUE,,,,,,,,,
1,1,946756178,634,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946756181,634,24,33,13,0,3792,0,3.11,TRUE,,,,,,,,,
1,1,946756184,633,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946756187,634,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946756190,633,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946756193,634,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946756196,634,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946756199,634,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946756202,634,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946756205,635,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946756208,634,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946756211,635,24,33,13,0,3792,0,3.21,TRUE,,,,,,,,,
1,1,946756214,635,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946756217,635,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946756220,635,24,33,13,0,3792,0,3.09,TRUE,,,,,,,,,
1,1,946756223,634,24,33,13,0,3792,0,3.24,TRUE,,,,,,,,,
1,1,946756226,634,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946756229,634,24,33,14,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946756232,634,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946756235,634,24,33,13,0,3792,0,3.08,TRUE,,,,,,,,,
1,1,946756238,634,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946756241,634,24,33,14,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946756244,634,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946756247,634,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946756250,634,24,33,14,0,3792,0,3.09,TRUE,,,,,,,,,
1,1,946756253,634,24,33,13,0,3792,0,3.24,TRUE,,,,,,,,,
1,1,946756256,634,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946756259,634,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946756262,634,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946756265,634,24,33,13,0,3792,0,3.09,TRUE,,,,,,,,,
1,1,946756268,635,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946756271,635,24,33,14,0,3792,0,3.21,TRUE,,,,,,,,,
1,1,946756274,635,24,33,14,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946756277,635,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946756280,636,24,33,13,0,3792,0,3.08,TRUE,,,,,,,,,
1,1,946756283,636,24,33,13,0,3792,0,3.24,TRUE,,,,,,,,,
1,1,946756286,636,24,33,14,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946756289,636,24,33,14,0,3792,0,3.21,TRUE,,,,,,,,,
1,1,946756292,636,24,33,14,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946756295,636,24,33,14,0,3792,0,3.09,TRUE,,,,,,,,,
1,1,946756298,636,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946756301,637,24,33,13,0,3792,0,3.21,TRUE,,,,,,,,,
1,1,946756304,637,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946756307,637,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946756310,637,24,33,13,0,3792,0,3.08,TRUE,,,,,,,,,
1,1,946756313,637,24,33,14,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946756316,638,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946756319,637,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946756322,638,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946756325,638,24,33,13,0,3792,0,3.09,TRUE,,,,,,,,,
1,1,946756328,639,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946756331,639,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946756334,639,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946756337,640,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946756340,640,24,33,13,0,3792,0,3.18,TRUE,,,,,,,,,
1,1,946756343,640,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946756346,640,24,33,14,0,3792,0,3.21,TRUE,,,,,,,,,
1,1,946756349,640,24,33,14,0,3792,0,3.21,TRUE,,,,,,,,,
1,1,946756352,640,24,33,14,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946756355,640,24,33,14,0,3792,0,3.11,TRUE,,,,,,,,,
1,1,946756358,640,24,33,14,0,3792,0,3.24,TRUE,,,,,,,,,
1,1,946756361,640,24,33,14,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946756364,640,24,33,13,0,3792,0,3.2,TRUE,,,,,,,,,
1,1,946756367,640,24,33,14,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946756370,640,24,33,14,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946756373,641,24,33,14,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946756376,641,24,33,14,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946756379,641,24,33,14,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946756382,642,24,33,14,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946756385,642,24,33,15,0,3792,0,3.14,TRUE,,,,,,,,,
1,1,946756388,642,24,33,14,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946756391,643,24,33,14,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946756394,643,24,33,14,0,3792,0,3.09,TRUE,,,,,,,,,
1,1,946756397,643,24,33,15,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946756400,643,24,33,15,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946756403,644,24,33,14,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946756406,644,24,33,14,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946756409,644,24,33,14,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946756412,644,24,33,14,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946756415,645,24,33,14,0,3792,0,3.22,TRUE,,,,,,,,,
