946684816,16,0,192,1071,24,3.28,,,,,,,,
946684819,3,0,192,1058,24,3.28,TRUE,946684816,3,0,82,784,24,3.27
946684822,3,0,191,1064,24,3.28,TRUE,946688695,16,0,328,1153,25,11.96
946684825,3,0,192,1056,24,3.27,TRUE,,,,,,,
946684828,3,0,194,1042,24,3.28,TRUE,0,,,,,,
946684831,3,0,191,1039,24,3.28,TRUE,,,,,,,
946684834,3,0,192,1036,24,3.28,TRUE,,,,,,,
946684837,3,0,194,1027,24,3.28,TRUE,,,,,,,
946684840,3,0,195,1028,24,3.27,TRUE,,,,,,,
946684843,3,0,192,1020,24,3.28,TRUE,,,,,,,
946684846,3,0,195,1016,24,3.28,TRUE,,,,,,,
946684849,3,0,194,1018,24,3.28,TRUE,,,,,,,
946684852,3,0,195,1021,24,3.28,TRUE,,,,,,,
946684855,3,0,193,1024,24,3.28,TRUE,,,,,,,
946684858,3,0,195,1017,24,3.28,TRUE,,,,,,,
946684861,3,0,191,1018,24,3.28,TRUE,,,,,,,
946684864,3,0,195,1016,24,3.28,TRUE,,,,,,,
946684867,3,0,195,1013,24,3.28,TRUE,,,,,,,
946684870,3,0,196,1012,24,3.28,TRUE,,,,,,,
946684873,3,0,192,1013,24,3.28,TRUE,,,,,,,
946684876,3,0,192,1010,24,3.28,TRUE,,,,,,,
946684879,3,0,195,1010,24,3.28,TRUE,,,,,,,
946684882,3,0,195,1010,24,3.28,TRUE,,,,,,,
946684885,3,0,191,1010,24,3.28,TRUE,,,,,,,
946684888,3,0,192,1014,24,3.28,TRUE,,,,,,,
946684891,3,0,191,1014,24,3.28,TRUE,,,,,,,
946684894,3,0,188,1012,24,3.28,TRUE,,,,,,,
946684897,3,0,188,1013,24,3.28,TRUE,,,,,,,
946684900,3,0,193,1014,24,3.28,TRUE,,,,,,,
946684903,3,0,193,1016,24,3.28,TRUE,,,,,,,
946684906,3,0,192,1018,24,3.28,TRUE,,,,,,,
946684909,3,0,195,1019,24,3.28,TRUE,,,,,,,
946684912,3,0,195,1022,24,3.28,TRUE,,,,,,,
946684915,3,0,197,1022,24,3.29,TRUE,,,,,,,
946684918,3,0,195,1019,24,3.28,TRUE,,,,,,,
946684921,3,0,196,1019,24,3.28,TRUE,,,,,,,
946684924,3,0,195,1018,24,3.28,TRUE,,,,,,,
946684927,3,0,192,1016,24,3.28,TRUE,,,,,,,
946684930,3,0,196,1016,24,3.28,TRUE,,,,,,,
946684933,3,0,195,1017,24,3.28,TRUE,,,,,,,
946684936,3,0,196,1017,24,3.28,TRUE,,,,,,,
946684939,3,0,195,1018,24,3.28,TRUE,,,,,,,
946684942,3,0,193,1018,24,3.28,TRUE,,,,,,,
946684945,3,0,193,1019,24,3.29,TRUE,,,,,,,
946684948,3,0,196,1021,24,3.28,TRUE,,,,,,,
946684951,3,0,192,1022,24,3.28,TRUE,,,,,,,
946684954,3,0,192,1022,24,3.28,TRUE,,,,,,,
946684957,3,0,191,1024,24,3.28,TRUE,,,,,,,
946684960,3,0,192,1025,24,3.28,TRUE,,,,,,,
946684963,3,0,195,1024,24,3.28,TRUE,,,,,,,
946684966,3,0,195,1024,24,3.28,TRUE,,,,,,,
946684969,3,0,191,1024,24,3.28,TRUE,,,,,,,
946684972,3,0,196,1024,24,3.28,TRUE,,,,,,,
946684975,3,0,191,1025,24,3.28,TRUE,,,,,,,
946684978,3,0,194,1024,24,3.28,TRUE,,,,,,,
946684981,3,0,196,1024,24,3.28,TRUE,,,,,,,
946684984,3,0,192,1023,24,3.28,TRUE,,,,,,,
946684987,3,0,195,1023,24,3.28,TRUE,,,,,,,
946684990,3,0,192,1023,24,3.28,TRUE,,,,,,,
946684993,3,0,196,1023,24,3.28,TRUE,,,,,,,
946684996,3,0,196,1023,24,3.28,TRUE,,,,,,,
946684999,3,0,195,1022,24,3.28,TRUE,,,,,,,
946685002,3,0,193,1021,24,3.28,TRUE,,,,,,,
946685005,3,0,193,1021,24,3.28,TRUE,,,,,,,
946685008,3,0,195,1023,24,3.28,TRUE,,,,,,,
946685011,3,0,194,1024,24,3.28,TRUE,,,,,,,
946685014,3,0,191,1024,24,3.28,TRUE,,,,,,,
946685017,3,0,193,1025,24,3.28,TRUE,,,,,,,
946685020,3,0,192,1025,24,3.28,TRUE,,,,,,,
