Memory:       8496,,,,,,,,,,,,,,,,,,,,
RF identifier 2,,,,,,,,,,,,,,,,,,,,
Firmware ver: 0x300d,,,,,,,,,,,,,,,,,,,,
Hardware ver: 0x4150,,,,,,,,,,,,,,,,,,,,
Hub Address:  None,,,,,,,,,,,,,,,,,,,,
Hub Connect:  0,,,,,,,,,,,,,,,,,,,,
Transmit On:  1,,,,,,,,,,,,,,,,,,,,
SCD Interval: 2,,,,,,,,,,,,,,,,,,,,
SCD Altitude: 1300,,,,,,,,,,,,,,,,,,,,
SCD Factor:   400,,,,,,,,,,,,,,,,,,,,
SCD Auto?     False,,,,,,,,,,,,,,,,,,,,
------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,
1,0,946685116,396,23,19,215,0,5056,0,3.29,TRUE,,,,,,,,,
1,0,946685119,394,23,19,236,0,5056,0,3.46,TRUE,,,,,,,,,
1,0,946685122,394,23,19,187,0,5056,0,3.31,TRUE,,,,,,,,,
1,0,946685125,391,23,19,211,0,5056,0,3.34,TRUE,,,,,,,,,
1,0,946685128,392,23,19,239,0,5056,0,3.3,TRUE,,,,,,,,,
1,0,946685131,391,23,19,161,0,5056,0,3.3,TRUE,,,,,,,,,
1,0,946685134,388,23,19,157,0,5056,0,3.38,TRUE,,,,,,,,,
1,0,946685137,385,23,19,144,0,5056,0,3.26,TRUE,,,,,,,,,
1,0,946685140,385,24,19,141,0,5056,0,3.11,TRUE,,,,,,,,,
1,0,946685143,383,24,19,192,0,5056,0,3.23,TRUE,,,,,,,,,
1,0,946685146,381,24,19,222,0,5056,0,3.31,TRUE,,,,,,,,,
1,0,946685149,381,24,19,210,0,5056,0,3.42,TRUE,,,,,,,,,
1,0,946685152,379,24,19,177,0,5056,0,3.28,TRUE,,,,,,,,,
1,0,946685155,379,24,19,156,0,5056,0,3.3,TRUE,,,,,,,,,
1,0,946685158,378,24,19,244,0,5056,0,3.39,TRUE,,,,,,,,,
1,0,946685161,379,24,19,179,0,5056,0,3.27,TRUE,,,,,,,,,
1,0,946685164,379,24,19,220,0,5056,0,3.41,TRUE,,,,,,,,,
1,0,946685167,378,24,19,228,0,5056,0,3.33,TRUE,,,,,,,,,
1,0,946685170,378,24,19,204,0,5056,0,3.29,TRUE,,,,,,,,,
1,0,946685173,381,24,20,137,0,5056,0,3.24,TRUE,,,,,,,,,
1,0,946685176,386,24,21,141,0,5056,0,3.23,TRUE,,,,,,,,,
1,0,946685179,393,24,21,211,0,5056,0,3.45,TRUE,,,,,,,,,
1,0,946685182,455,24,20,213,0,5056,0,3.36,TRUE,,,,,,,,,
1,0,946685185,462,24,20,215,0,5056,0,3.31,TRUE,,,,,,,,,
1,0,946685188,458,24,20,239,0,5056,0,3.42,TRUE,,,,,,,,,
1,0,946685191,448,24,20,233,0,5056,0,3.45,TRUE,,,,,,,,,
1,0,946685194,450,24,20,233,0,5056,0,3.33,TRUE,,,,,,,,,
1,0,946685197,452,24,20,229,0,5056,0,3.43,TRUE,,,,,,,,,
1,0,946685200,449,24,20,169,0,5056,0,3.24,TRUE,,,,,,,,,
1,0,946685203,449,24,20,141,0,5056,0,3.26,TRUE,,,,,,,,,
1,0,946685206,442,24,20,156,0,5056,0,3.27,TRUE,,,,,,,,,
1,0,946685209,438,24,20,210,0,5056,0,3.41,TRUE,,,,,,,,,
1,0,946685212,433,24,20,224,0,5056,0,3.31,TRUE,,,,,,,,,
1,0,946685215,430,24,19,224,0,5056,0,3.34,TRUE,,,,,,,,,
1,0,946685218,426,24,19,211,0,5056,0,3.45,TRUE,,,,,,,,,
1,0,946685221,421,24,19,225,0,5056,0,3.29,TRUE,,,,,,,,,
1,0,946685224,418,24,19,148,0,5056,0,3.29,TRUE,,,,,,,,,
1,0,946685227,413,24,19,148,0,5056,0,3.18,TRUE,,,,,,,,,
1,0,946685230,407,24,20,133,0,5056,0,3.24,TRUE,,,,,,,,,
1,0,946685233,408,24,19,222,0,5056,0,3.41,TRUE,,,,,,,,,
1,0,946685236,402,24,19,223,0,5056,0,3.26,TRUE,,,,,,,,,
1,0,946685239,398,24,19,141,0,5056,0,3.25,TRUE,,,,,,,,,
1,0,946685242,394,24,20,153,0,5056,0,3.29,TRUE,,,,,,,,,
1,0,946685245,393,24,19,150,0,5056,0,3.18,TRUE,,,,,,,,,
1,0,946685248,391,24,19,193,0,5056,0,3.4,TRUE,,,,,,,,,
1,0,946685251,388,24,19,164,0,5056,0,3.33,TRUE,,,,,,,,,
1,0,946685254,389,24,20,143,0,5056,0,3.26,TRUE,,,,,,,,,
1,0,946685257,391,24,20,245,0,5056,0,3.32,TRUE,,,,,,,,,
1,0,946685260,391,24,19,231,0,5056,0,3.42,TRUE,,,,,,,,,
1,0,946685263,390,24,20,202,0,5056,0,3.37,TRUE,,,,,,,,,
1,0,946685266,389,24,20,234,0,5056,0,3.35,TRUE,,,,,,,,,
1,0,946685269,388,24,20,131,0,5056,0,3.27,TRUE,,,,,,,,,
1,0,946685272,387,24,19,146,0,5056,0,3.25,TRUE,,,,,,,,,
1,0,946685275,387,24,19,120,0,5056,0,3.13,TRUE,,,,,,,,,
1,0,946685278,386,24,19,98,0,5056,0,3.17,TRUE,,,,,,,,,
1,0,946685281,385,24,19,122,0,5056,0,3.23,TRUE,,,,,,,,,
1,0,946685284,385,24,19,211,0,5056,0,3.44,TRUE,,,,,,,,,
1,0,946685287,385,24,20,146,0,5056,0,3.28,TRUE,,,,,,,,,
1,0,946685290,386,24,20,163,0,5056,0,3.29,TRUE,,,,,,,,,
1,0,946685293,387,24,20,229,0,5056,0,3.43,TRUE,,,,,,,,,
1,0,946685296,388,24,20,224,0,5056,0,3.33,TRUE,,,,,,,,,
1,0,946685299,388,24,19,202,0,5056,0,3.33,TRUE,,,,,,,,,
1,0,946685302,387,24,19,207,0,5056,0,3.33,TRUE,,,,,,,,,
1,0,946685305,387,24,19,198,0,5056,0,3.33,TRUE,,,,,,,,,
1,0,946685308,387,24,19,217,0,5056,0,3.46,TRUE,,,,,,,,,
1,0,946685311,385,24,19,233,0,5056,0,3.27,TRUE,,,,,,,,,
1,0,946685314,384,24,19,144,0,5056,0,3.26,TRUE,,,,,,,,,
1,0,946685317,383,24,19,237,0,5056,0,3.28,TRUE,,,,,,,,,
1,0,946685320,384,24,19,219,0,5056,0,3.33,TRUE,,,,,,,,,
1,0,946685323,383,24,19,228,0,5056,0,3.47,TRUE,,,,,,,,,
1,0,946685326,382,24,19,206,0,5056,0,3.32,TRUE,,,,,,,,,
1,0,946685329,380,24,19,196,0,5056,0,3.31,TRUE,,,,,,,,,
1,0,946685332,380,24,19,140,0,5056,0,3.24,TRUE,,,,,,,,,
1,0,946685335,378,24,19,227,0,5056,0,3.33,TRUE,,,,,,,,,
1,0,946685338,378,24,19,230,0,5056,0,3.47,TRUE,,,,,,,,,
1,0,946685341,376,24,19,169,0,5056,0,3.28,TRUE,,,,,,,,,
1,0,946685344,376,24,19,142,0,5056,0,3.25,TRUE,,,,,,,,,
1,0,946685347,375,24,19,146,0,5056,0,3.25,TRUE,,,,,,,,,
1,0,946685350,378,24,19,135,0,5056,0,3.25,TRUE,,,,,,,,,
1,0,946685353,380,24,20,245,0,5056,0,3.42,TRUE,,,,,,,,,
1,0,946685356,385,24,20,244,0,5056,0,3.31,TRUE,,,,,,,,,
1,0,946685359,387,24,20,240,0,5056,0,3.31,TRUE,,,,,,,,,
1,0,946685362,396,24,20,229,0,5056,0,3.3,TRUE,,,,,,,,,
1,0,946685365,394,24,20,168,0,5056,0,3.26,TRUE,,,,,,,,,
1,0,946685368,394,24,20,145,0,5056,0,3.39,TRUE,,,,,,,,,
1,0,946685371,399,24,20,244,0,5056,0,3.48,TRUE,,,,,,,,,
1,0,946685374,403,24,20,174,0,5056,0,3.32,TRUE,,,,,,,,,
