Memory:       6032,,,,,,,,,,,,,,,,,,,,
RF identifier 2,,,,,,,,,,,,,,,,,,,,
Firmware ver: 0x300d,,,,,,,,,,,,,,,,,,,,
Hardware ver: 0x4150,,,,,,,,,,,,,,,,,,,,
Hub Address:  b'\x00\x13\xa2\x00A\xad\xaa\x16',,,,,,,,,,,,,,,,,,,,
Hub Connect:  1,,,,,,,,,,,,,,,,,,,,
Transmit On:  1,,,,,,,,,,,,,,,,,,,,
SCD Interval: 2,,,,,,,,,,,,,,,,,,,,
SCD Altitude: 1300,,,,,,,,,,,,,,,,,,,,
SCD Factor:   400,,,,,,,,,,,,,,,,,,,,
SCD Auto?     False,,,,,,,,,,,,,,,,,,,,
------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,
1,1,946767978,699,23,38,357,0,3392,0,3.22,TRUE,,,,,,,,,
1,1,946767981,699,23,38,357,0,3392,0,3.03,TRUE,,,,,,,,,
1,1,946767984,699,23,38,357,0,3392,0,3.22,TRUE,,,,,,,,,
1,1,946767987,700,23,38,357,0,3392,0,3.2,TRUE,,,,,,,,,
1,1,946767990,700,23,38,357,0,3392,0,3.21,TRUE,,,,,,,,,
1,1,946767993,700,23,38,357,0,3392,0,3.23,TRUE,,,,,,,,,
1,1,946767996,701,23,38,357,0,3392,0,3.04,TRUE,,,,,,,,,
1,1,946767999,702,23,38,357,0,3392,0,3.22,TRUE,,,,,,,,,
1,1,946768002,703,23,38,357,0,3392,0,3.2,TRUE,,,,,,,,,
1,1,946768005,702,23,38,357,0,3392,0,3.2,TRUE,,,,,,,,,
1,1,946768008,702,23,38,357,0,3392,0,3.22,TRUE,,,,,,,,,
1,1,946768011,703,23,38,357,0,3392,0,3.03,TRUE,,,,,,,,,
1,1,946768014,704,23,38,357,0,3392,0,3.22,TRUE,,,,,,,,,
1,1,946768017,705,23,38,357,0,3392,0,3.2,TRUE,,,,,,,,,
1,1,946768020,705,23,38,357,0,3392,0,3.21,TRUE,,,,,,,,,
1,1,946768023,706,23,38,357,0,3392,0,3.22,TRUE,,,,,,,,,
1,1,946768026,706,23,38,357,0,3392,0,3.05,TRUE,,,,,,,,,
1,1,946768029,704,23,38,357,0,3392,0,3.22,TRUE,,,,,,,,,
1,1,946768032,703,23,38,357,0,3392,0,3.22,TRUE,,,,,,,,,
1,1,946768035,704,23,38,357,0,3392,0,3.2,TRUE,,,,,,,,,
1,1,946768038,705,23,38,357,0,3392,0,3.22,TRUE,,,,,,,,,
1,1,946768041,706,23,38,357,0,3392,0,3.03,TRUE,,,,,,,,,
1,1,946768044,706,23,38,357,0,3392,0,3.22,TRUE,,,,,,,,,
1,1,946768047,707,23,38,357,0,3392,0,3.23,TRUE,,,,,,,,,
1,1,946768050,707,23,38,357,0,3392,0,3.2,TRUE,,,,,,,,,
1,1,946768053,706,23,38,357,0,3392,0,3.22,TRUE,,,,,,,,,
1,1,946768056,706,23,38,357,0,3392,0,3.17,TRUE,,,,,,,,,
1,1,946768059,707,23,38,357,0,3392,0,3.22,TRUE,,,,,,,,,
1,1,946768062,707,23,38,357,0,3392,0,3.22,TRUE,,,,,,,,,
1,1,946768065,707,23,38,357,0,3392,0,3.2,TRUE,,,,,,,,,
1,1,946768068,707,23,38,357,0,3392,0,3.22,TRUE,,,,,,,,,
1,1,946768071,708,23,38,357,0,3392,0,3.2,TRUE,,,,,,,,,
1,1,946768074,708,23,38,357,0,3392,0,3.22,TRUE,,,,,,,,,
1,1,946768077,709,23,38,357,0,3392,0,3.21,TRUE,,,,,,,,,
1,1,946768080,711,23,38,357,0,3392,0,3.04,TRUE,,,,,,,,,
1,1,946768083,713,23,38,357,0,3392,0,3.22,TRUE,,,,,,,,,
1,1,946768086,714,23,38,358,0,3392,0,3.2,TRUE,,,,,,,,,
1,1,946768089,715,23,38,357,0,3392,0,3.22,TRUE,,,,,,,,,
1,1,946768092,715,23,38,357,0,3392,0,3.22,TRUE,,,,,,,,,
1,1,946768095,716,23,38,357,0,3392,0,3.04,TRUE,,,,,,,,,
1,1,946768098,716,23,38,357,0,3392,0,3.2,TRUE,,,,,,,,,
1,1,946768101,716,23,38,357,0,3392,0,3.2,TRUE,,,,,,,,,
1,1,946768104,715,23,38,357,0,3392,0,3.23,TRUE,,,,,,,,,
1,1,946768107,716,23,38,357,0,3392,0,3.22,TRUE,,,,,,,,,
1,1,946768110,715,23,38,357,0,3392,0,3.04,TRUE,,,,,,,,,
1,1,946768113,716,23,38,356,0,3392,0,3.22,TRUE,,,,,,,,,
1,1,946768116,716,23,38,357,0,3392,0,3.2,TRUE,,,,,,,,,
1,1,946768119,716,23,38,357,0,3392,0,3.22,TRUE,,,,,,,,,
1,1,946768122,720,23,38,357,0,3392,0,3.22,TRUE,,,,,,,,,
1,1,946768125,720,23,38,357,0,3392,0,3.05,TRUE,,,,,,,,,
1,1,946768128,721,23,38,357,0,3392,0,3.22,TRUE,,,,,,,,,
1,1,946768131,722,23,38,357,0,3392,0,3.2,TRUE,,,,,,,,,
1,1,946768134,721,23,38,357,0,3392,0,3.22,TRUE,,,,,,,,,
1,1,946768137,721,23,38,357,0,3392,0,3.22,TRUE,,,,,,,,,
1,1,946768140,721,23,38,356,0,3392,0,3.03,TRUE,,,,,,,,,
1,1,946768143,721,23,37,357,0,3392,0,3.22,TRUE,,,,,,,,,
1,1,946768146,721,23,37,357,0,3392,0,3.2,TRUE,,,,,,,,,
1,1,946768149,721,23,37,357,0,3392,0,3.2,TRUE,,,,,,,,,
1,1,946768152,720,23,37,357,0,3392,0,3.22,TRUE,,,,,,,,,
1,1,946768155,720,23,38,358,0,3392,0,3.03,TRUE,,,,,,,,,
1,1,946768158,719,23,38,357,0,3392,0,3.21,TRUE,,,,,,,,,
1,1,946768161,718,23,38,357,0,3392,0,3.2,TRUE,,,,,,,,,
1,1,946768164,718,23,38,359,0,3392,0,3.22,TRUE,,,,,,,,,
1,1,946768167,717,23,38,357,0,3392,0,3.22,TRUE,,,,,,,,,
1,1,946768170,717,23,38,358,0,3392,0,3.03,TRUE,,,,,,,,,
1,1,946768173,717,23,38,358,0,3392,0,3.22,TRUE,,,,,,,,,
1,1,946768176,718,23,38,358,0,3392,0,3.2,TRUE,,,,,,,,,
1,1,946768179,718,23,38,358,0,3392,0,3.21,TRUE,,,,,,,,,
1,1,946768182,721,23,38,358,0,3392,0,3.21,TRUE,,,,,,,,,
1,1,946768185,720,23,38,357,0,3392,0,3.04,TRUE,,,,,,,,,
1,1,946768188,722,23,38,357,0,3392,0,3.22,TRUE,,,,,,,,,
1,1,946768191,724,23,38,357,0,3392,0,3.2,TRUE,,,,,,,,,
1,1,946768194,725,23,38,358,0,3392,0,3.19,TRUE,,,,,,,,,
1,1,946768197,724,23,38,357,0,3392,0,3.22,TRUE,,,,,,,,,
1,1,946768200,726,23,38,357,0,3392,0,3.04,TRUE,,,,,,,,,
1,1,946768203,726,23,38,357,0,3392,0,3.21,TRUE,,,,,,,,,
1,1,946768206,726,23,38,357,0,3392,0,3.23,TRUE,,,,,,,,,
1,1,946768209,726,23,38,358,0,3392,0,3.2,TRUE,,,,,,,,,
1,1,946768212,725,23,37,357,0,3392,0,3.22,TRUE,,,,,,,,,
1,1,946768215,723,23,37,358,0,3392,0,3.09,TRUE,,,,,,,,,
1,1,946768218,722,23,37,358,0,3392,0,3.21,TRUE,,,,,,,,,
1,1,946768221,722,23,37,358,0,3392,0,3.2,TRUE,,,,,,,,,
1,1,946768224,723,23,37,358,0,3392,0,3.2,TRUE,,,,,,,,,
1,1,946768227,723,23,37,358,0,3392,0,3.22,TRUE,,,,,,,,,
1,1,946768230,725,23,37,357,0,3392,0,3.05,TRUE,,,,,,,,,
1,1,946768233,723,23,37,357,0,3392,0,3.22,TRUE,,,,,,,,,
1,1,946768236,724,23,37,358,0,3392,0,3.22,TRUE,,,,,,,,,
1,1,946768239,723,23,37,357,0,3392,0,3.21,TRUE,,,,,,,,,
1,1,946768242,723,23,37,358,0,3392,0,3.21,TRUE,,,,,,,,,
1,1,946768245,722,23,37,357,0,3392,0,3.2,TRUE,,,,,,,,,
1,1,946768248,719,23,37,358,0,3392,0,3.21,TRUE,,,,,,,,,
1,1,946768251,719,23,37,357,0,3392,0,3.21,TRUE,,,,,,,,,
1,1,946768254,719,23,37,358,0,3392,0,3.2,TRUE,,,,,,,,,
1,1,946768257,717,23,37,358,0,3392,0,3.21,TRUE,,,,,,,,,
1,1,946768260,717,23,37,358,0,3392,0,3.2,TRUE,,,,,,,,,
1,1,946768263,717,23,37,357,0,3392,0,3.21,TRUE,,,,,,,,,
1,1,946768266,716,23,37,358,0,3392,0,3.21,TRUE,,,,,,,,,
1,1,946768269,715,23,37,358,0,3392,0,3.21,TRUE,,,,,,,,,
1,1,946768272,714,23,37,357,0,3392,0,3.21,TRUE,,,,,,,,,
1,1,946768275,712,23,37,358,0,3392,0,3.21,TRUE,,,,,,,,,
1,1,946768278,710,23,37,357,0,3392,0,3.22,TRUE,,,,,,,,,
