Memory:       7104,,,,,,,,,,,,,,,,,,,,,
RF identifier 2,,,,,,,,,,,,,,,,,,,,,
Firmware ver: 0x300d,,,,,,,,,,,,,,,,,,,,,
Hardware ver: 0x4150,,,,,,,,,,,,,,,,,,,,,
Hub Address:  b'\x00\x13\xa2\x00A\xad\xaa\x16',,,,,,,,,,,,,,,,,,,,,
Hub Connect:  1,,,,,,,,,,,,,,,,,,,,,
Transmit On:  1,,,,,,,,,,,,,,,,,,,,,
SCD Interval: 2,,,,,,,,,,,,,,,,,,,,,
SCD Altitude: 1300,,,,,,,,,,,,,,,,,,,,,
SCD Factor:   400,,,,,,,,,,,,,,,,,,,,,
SCD Auto?     False,,,,,,,,,,,,,,,,,,,,,
------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,
1,1,946770571,711,23,37,358,0,4496,0,3.23,TRUE,,,,,,,,,,
1,1,946770574,711,23,37,358,0,4496,0,3.19,TRUE,,,,,,,,,,
1,1,946770577,711,23,37,358,0,4496,0,3.22,TRUE,,,,,,,,,,
1,1,946770580,712,23,37,358,0,4496,0,3.23,TRUE,,,,,,,,,,
1,1,946770583,713,23,37,358,0,4496,0,3.22,TRUE,,,,,,,,,,
1,1,946770586,715,23,37,358,0,4496,0,3.23,TRUE,,,,,,,,,,
1,1,946770589,715,23,37,359,0,4496,0,3.18,TRUE,,,,,,,,,,
1,1,946770592,716,23,37,358,0,4496,0,3.24,TRUE,,,,,,,,,,
1,1,946770595,716,23,37,358,0,4496,0,3.22,TRUE,,,,,,,,,,
1,1,946770598,716,23,37,358,0,4496,0,3.22,TRUE,,,,,,,,,,
1,1,946770601,716,23,37,358,0,4496,0,3.23,TRUE,,,,,,,,,,
1,1,946770604,715,23,37,358,0,4496,0,3.2,TRUE,,,,,,,,,,
1,1,946770607,715,23,37,358,0,4496,0,3.23,TRUE,,,,,,,,,,
1,1,946770610,714,23,37,358,0,4496,0,3.22,TRUE,,,,,,,,,,
1,1,946770613,713,23,37,358,0,4496,0,3.22,TRUE,,,,,,,,,,
1,1,946770616,713,23,37,358,0,4496,0,3.25,TRUE,,,,,,,,,,
1,1,946770619,713,23,37,358,0,4496,0,3.21,TRUE,,,,,,,,,,
1,1,946770622,713,23,37,358,0,4496,0,3.24,TRUE,,,,,,,,,,
1,1,946770625,714,23,37,358,0,4496,0,3.22,TRUE,,,,,,,,,,
1,1,946770628,714,23,37,358,0,4496,0,3.22,TRUE,,,,,,,,,,
1,1,946770631,712,23,37,358,0,4496,0,3.24,TRUE,,,,,,,,,,
1,1,946770634,713,23,37,358,0,4496,0,3.19,TRUE,,,,,,,,,,
1,1,946770637,712,23,37,358,0,4496,0,3.24,TRUE,,,,,,,,,,
1,1,946770640,713,23,37,358,0,4496,0,3.24,TRUE,,,,,,,,,,
1,1,946770643,713,23,37,358,0,4496,0,3.22,TRUE,,,,,,,,,,
1,1,946770646,713,23,37,358,0,4496,0,3.23,TRUE,,,,,,,,,,
1,1,946770649,713,23,37,358,0,4496,0,3.15,TRUE,,,,,,,,,,
1,1,946770652,711,23,38,358,0,4496,0,3.23,TRUE,,,,,,,,,,
1,1,946770655,709,23,37,358,0,4496,0,3.24,TRUE,,,,,,,,,,
1,1,946770658,709,23,37,358,0,4496,0,3.23,TRUE,,,,,,,,,,
1,1,946770661,709,23,38,358,0,4496,0,3.24,TRUE,,,,,,,,,,
1,1,946770664,709,23,37,358,0,4496,0,3.22,TRUE,,,,,,,,,,
1,1,946770667,710,23,37,358,0,4496,0,3.22,TRUE,,,,,,,,,,
1,1,946770670,711,23,37,358,0,4496,0,3.22,TRUE,,,,,,,,,,
1,1,946770673,710,23,37,358,0,4496,0,3.23,TRUE,,,,,,,,,,
1,1,946770676,710,23,37,358,0,4496,0,3.24,TRUE,,,,,,,,,,
1,1,946770679,710,23,37,358,0,4496,0,3.18,TRUE,,,,,,,,,,
1,1,946770682,711,23,38,359,0,4496,0,3.24,TRUE,,,,,,,,,,
1,1,946770685,711,23,38,358,0,4496,0,3.24,TRUE,,,,,,,,,,
1,1,946770688,712,23,38,358,0,4496,0,3.23,TRUE,,,,,,,,,,
1,1,946770691,712,23,38,358,0,4496,0,3.24,TRUE,,,,,,,,,,
1,1,946770694,711,23,38,358,0,4496,0,3.17,TRUE,,,,,,,,,,
1,1,946770697,713,23,38,358,0,4496,0,3.24,TRUE,,,,,,,,,,
1,1,946770700,713,23,38,358,0,4496,0,3.24,TRUE,,,,,,,,,,
1,1,946770703,713,23,38,358,0,4496,0,3.23,TRUE,,,,,,,,,,
1,1,946770706,712,23,38,358,0,4496,0,3.24,TRUE,,,,,,,,,,
1,1,946770709,710,23,38,358,0,4496,0,3.22,TRUE,,,,,,,,,,
1,1,946770712,710,23,38,358,0,4496,0,3.24,TRUE,,,,,,,,,,
1,1,946770715,711,23,38,358,0,4496,0,3.24,TRUE,,,,,,,,,,
1,1,946770718,714,23,38,358,0,4496,0,3.2,TRUE,,,,,,,,,,
1,1,946770721,732,23,38,358,0,4496,0,3.24,TRUE,,,,,,,,,,
1,1,946770724,760,23,38,358,0,4496,0,3.22,TRUE,,,,,,,,,,
1,1,946770727,765,23,38,358,0,4496,0,3.24,TRUE,,,,,,,,,,
1,1,946770730,760,23,38,358,0,4496,0,3.23,TRUE,,,,,,,,,,
1,1,946770733,765,23,38,358,0,4496,0,3.21,TRUE,,,,,,,,,,
1,1,946770736,765,23,38,358,0,4496,0,3.24,TRUE,,,,,,,,,,
1,1,946770739,761,23,38,358,0,4496,0,3.22,TRUE,,,,,,,,,,
1,1,946770742,758,23,38,358,0,4496,0,3.24,TRUE,,,,,,,,,,
1,1,946770745,746,23,38,358,0,4496,0,3.24,TRUE,,,,,,,,,,
1,1,946770748,740,23,38,358,0,4496,0,3.22,TRUE,,,,,,,,,,
1,1,946770751,742,23,38,358,0,4496,0,3.24,TRUE,,,,,,,,,,
-,,,,,,,,,,,,,,,,,,,,,
--------------------------------SCD Zeros Occurred--------------------------------,,,,,,,,,,,,,,,,,,,,,
-,,,,,,,,,,,,,,,,,,,,,
1,1,946770754,0,0,0,358,0,6208,0,3.23,,,,,,,,,,,
1,1,946770757,604,23,38,358,0,4496,0,3.24,TRUE,,,,,,,,,,
1,1,946770760,619,23,38,358,0,4496,0,3.24,TRUE,,,,,,,,,,
1,1,946770763,631,23,38,358,0,4496,0,3.21,TRUE,,,,,,,,,,
1,1,946770766,707,23,38,358,0,4496,0,3.24,TRUE,,,,,,,,,,
1,1,946770769,718,23,38,358,0,4496,0,3.23,TRUE,,,,,,,,,,
1,1,946770772,727,23,38,358,0,4496,0,3.24,TRUE,,,,,,,,,,
1,1,946770775,740,23,38,358,0,4496,0,3.24,TRUE,,,,,,,,,,
1,1,946770778,743,23,38,358,0,4496,0,3.22,TRUE,,,,,,,,,,
1,1,946770781,753,23,38,358,0,4496,0,3.25,TRUE,,,,,,,,,,
1,1,946770784,750,23,38,358,0,4496,0,3.23,TRUE,,,,,,,,,,
1,1,946770787,746,23,38,358,0,4496,0,3.24,TRUE,,,,,,,,,,
1,1,946770790,741,23,38,358,0,4496,0,3.24,TRUE,,,,,,,,,,
1,1,946770793,735,23,38,358,0,4496,0,3.22,TRUE,,,,,,,,,,
1,1,946770796,724,23,38,358,0,4496,0,3.25,TRUE,,,,,,,,,,
1,1,946770799,718,23,38,358,0,4496,0,3.23,TRUE,,,,,,,,,,
1,1,946770802,718,23,38,358,0,4496,0,3.24,TRUE,,,,,,,,,,
1,1,946770805,717,23,38,358,0,4496,0,3.24,TRUE,,,,,,,,,,
1,1,946770808,716,23,38,358,0,4496,0,3.23,TRUE,,,,,,,,,,
1,1,946770811,718,23,38,358,0,4496,0,3.24,TRUE,,,,,,,,,,
1,1,946770814,719,23,38,358,0,4496,0,3.23,TRUE,,,,,,,,,,
1,1,946770817,719,23,38,358,0,4496,0,3.23,TRUE,,,,,,,,,,
1,1,946770820,722,23,38,358,0,4496,0,3.24,TRUE,,,,,,,,,,
1,1,946770823,723,23,38,359,0,4496,0,3.2,TRUE,,,,,,,,,,
1,1,946770826,722,23,38,358,0,4496,0,3.24,TRUE,,,,,,,,,,
1,1,946770829,720,23,38,358,0,4496,0,3.24,TRUE,,,,,,,,,,
1,1,946770832,720,23,37,358,0,4496,0,3.23,TRUE,,,,,,,,,,
1,1,946770835,721,23,37,358,0,4496,0,3.24,TRUE,,,,,,,,,,
1,1,946770838,722,23,37,358,0,4496,0,3.17,TRUE,,,,,,,,,,
1,1,946770841,724,23,37,358,0,4496,0,3.24,TRUE,,,,,,,,,,
1,1,946770844,724,23,37,358,0,4496,0,3.22,TRUE,,,,,,,,,,
1,1,946770847,725,23,37,358,0,4496,0,3.22,TRUE,,,,,,,,,,
1,1,946770850,724,23,37,358,0,4496,0,3.24,TRUE,,,,,,,,,,
1,1,946770853,724,23,37,358,0,4496,0,3.22,TRUE,,,,,,,,,,
1,1,946770856,723,23,37,358,0,4496,0,3.25,TRUE,,,,,,,,,,
1,1,946770859,724,23,37,358,0,4496,0,3.23,TRUE,,,,,,,,,,
1,1,946770862,723,23,37,358,0,4496,0,3.22,TRUE,,,,,,,,,,
1,1,946770865,722,23,37,358,0,4496,0,3.24,TRUE,,,,,,,,,,
1,1,946770868,722,23,37,358,0,4496,0,3.16,TRUE,,,,,,,,,,
1,1,946770871,723,23,37,358,0,4496,0,3.24,TRUE,,,,,,,,,,
1,1,946770874,722,23,37,358,0,4496,0,3.2,TRUE,,,,,,,,,,
