Memory:       7056,,,,,,,,,,,,,,,,,,,,
RF identifier 2,,,,,,,,,,,,,,,,,,,,
Firmware ver: 0x300d,,,,,,,,,,,,,,,,,,,,
Hardware ver: 0x4150,,,,,,,,,,,,,,,,,,,,
Hub Address:  None,,,,,,,,,,,,,,,,,,,,
Hub Connect:  0,,,,,,,,,,,,,,,,,,,,
Transmit On:  1,,,,,,,,,,,,,,,,,,,,
SCD Interval: 2,,,,,,,,,,,,,,,,,,,,
SCD Altitude: 1300,,,,,,,,,,,,,,,,,,,,
SCD Factor:   400,,,,,,,,,,,,,,,,,,,,
SCD Auto?     False,,,,,,,,,,,,,,,,,,,,
------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,
1,0,1644821406,790,24,32,210,0,4128,0,3.33,TRUE,,,,,,,,,
1,0,1644821409,789,24,32,162,0,4128,0,3.25,TRUE,,,,,,,,,
1,0,1644821412,789,24,32,213,0,4128,0,3.3,TRUE,,,,,,,,,
1,0,1644821415,791,24,32,138,0,4128,0,3.23,TRUE,,,,,,,,,
1,0,1644821418,790,24,32,194,0,4128,0,3.22,TRUE,,,,,,,,,
1,0,1644821421,791,24,32,178,0,4128,0,3.11,TRUE,,,,,,,,,
1,0,1644821424,792,24,32,171,0,4128,0,3.24,TRUE,,,,,,,,,
1,0,1644821427,792,24,32,177,0,4128,0,3.26,TRUE,,,,,,,,,
1,0,1644821430,791,24,32,227,0,4128,0,3.34,TRUE,,,,,,,,,
1,0,1644821433,791,24,32,234,0,4128,0,3.41,TRUE,,,,,,,,,
1,0,1644821436,792,24,32,153,0,4128,0,3.2,TRUE,,,,,,,,,
1,0,1644821439,793,24,32,170,0,4128,0,3.19,TRUE,,,,,,,,,
1,0,1644821442,793,24,32,160,0,4128,0,3.19,TRUE,,,,,,,,,
1,0,1644821445,793,24,32,202,0,4128,0,3.27,TRUE,,,,,,,,,
1,0,1644821448,792,24,32,158,0,4128,0,3.2,TRUE,,,,,,,,,
1,0,1644821451,793,24,32,160,0,4128,0,3.15,TRUE,,,,,,,,,
1,0,1644821454,794,24,32,159,0,4128,0,3.17,TRUE,,,,,,,,,
1,0,1644821457,793,24,32,155,0,4128,0,3.26,TRUE,,,,,,,,,
1,0,1644821460,792,24,32,145,0,4128,0,3.15,TRUE,,,,,,,,,
1,0,1644821463,794,24,32,156,0,4128,0,3.18,TRUE,,,,,,,,,
1,0,1644821466,795,24,32,199,0,4128,0,3.25,TRUE,,,,,,,,,
1,0,1644821469,794,24,32,221,0,4128,0,3.31,TRUE,,,,,,,,,
1,0,1644821472,794,24,32,224,0,4128,0,3.45,TRUE,,,,,,,,,
1,0,1644821475,794,24,33,157,0,4128,0,3.29,TRUE,,,,,,,,,
1,0,1644821478,794,24,32,164,0,4128,0,3.22,TRUE,,,,,,,,,
1,0,1644821481,794,24,33,172,0,4128,0,3.29,TRUE,,,,,,,,,
1,0,1644821484,794,24,33,218,0,4128,0,3.31,TRUE,,,,,,,,,
1,0,1644821487,796,24,32,189,0,4128,0,3.24,TRUE,,,,,,,,,
1,0,1644821490,797,24,33,180,0,4128,0,3.26,TRUE,,,,,,,,,
1,0,1644821493,797,24,33,194,0,4128,0,3.19,TRUE,,,,,,,,,
1,0,1644821496,795,24,33,198,0,4128,0,3.28,TRUE,,,,,,,,,
1,0,1644821499,795,24,33,148,0,4128,0,3.04,TRUE,,,,,,,,,
1,0,1644821502,795,24,33,165,0,4128,0,3.26,TRUE,,,,,,,,,
1,0,1644821505,794,24,33,184,0,4128,0,3.24,TRUE,,,,,,,,,
1,0,1644821508,794,24,33,206,0,4128,0,3.25,TRUE,,,,,,,,,
1,0,1644821511,794,24,33,202,0,4128,0,3.31,TRUE,,,,,,,,,
1,0,1644821514,795,24,32,215,0,4128,0,3.28,TRUE,,,,,,,,,
1,0,1644821517,796,24,33,228,0,4128,0,3.37,TRUE,,,,,,,,,
1,0,1644821520,796,24,32,229,0,4128,0,3.32,TRUE,,,,,,,,,
1,0,1644821523,796,24,33,212,0,4128,0,3.25,TRUE,,,,,,,,,
