946684816,16,0,180,1782,24,3.27,,,946684816,3,0,164,1025,24,3.23
946684819,3,0,229,1740,24,3.28,,,946686367,16,0,277,1782,24,3.28
946684822,3,0,209,1658,24,3.28,,,,,,,,,
946684825,3,0,185,1512,24,3.26,,,,,,,,,
946684828,3,0,191,1320,24,3.27,,,,,,,,,
946684831,3,0,180,1307,24,3.27,,,,,,,,,
946684834,3,0,185,1277,24,3.27,,,,,,,,,
946684837,3,0,192,1240,24,3.28,,,,,,,,,
946684840,3,0,198,1230,24,3.26,,,,,,,,,
946684843,3,0,186,1195,24,3.27,,,,,,,,,
946684846,3,0,191,1173,24,3.27,,,,,,,,,
946684849,3,0,189,1136,24,3.28,,,,,,,,,
946684852,3,0,187,1055,24,3.27,,,,,,,,,
946684855,3,0,187,1049,24,3.25,,,,,,,,,
946684858,3,0,197,1061,24,3.28,,,,,,,,,
946684861,3,0,199,1057,24,3.28,,,,,,,,,
946684864,3,0,204,1061,24,3.28,,,,,,,,,
946684867,3,0,191,1063,24,3.28,,,,,,,,,
946684870,3,0,199,1060,24,3.25,,,,,,,,,
946684873,3,0,190,1045,24,3.27,,,,,,,,,
946684876,3,0,190,1044,24,3.27,,,,,,,,,
946684879,3,0,190,1045,24,3.28,,,,,,,,,
946684882,3,0,200,1047,24,3.27,,,,,,,,,
946684885,3,0,191,1046,24,3.26,,,,,,,,,
946684888,3,0,198,1050,24,3.28,,,,,,,,,
946684891,3,0,199,1048,24,3.27,,,,,,,,,
946684894,3,0,199,1046,24,3.28,,,,,,,,,
946684897,3,0,200,1048,24,3.28,,,,,,,,,
946684900,3,0,188,1049,24,3.26,,,,,,,,,
946684903,3,0,188,1048,24,3.28,,,,,,,,,
946684906,3,0,200,1048,24,3.28,,,,,,,,,
946684909,3,0,187,1048,24,3.27,,,,,,,,,
946684912,3,0,190,1050,24,3.27,,,,,,,,,
946684915,3,0,190,1049,24,3.26,,,,,,,,,
946684918,3,0,188,1047,24,3.27,,,,,,,,,
946684921,3,0,187,1047,24,3.28,,,,,,,,,
946684924,3,0,189,1044,24,3.27,,,,,,,,,
946684927,3,0,191,1045,24,3.28,,,,,,,,,
946684930,3,0,187,1044,24,3.26,,,,,,,,,
946684933,3,0,190,1042,24,3.27,,,,,,,,,
946684936,3,0,188,1041,24,3.27,,,,,,,,,
946684939,3,0,188,1042,24,3.27,,,,,,,,,
946684942,3,0,190,1041,24,3.28,,,,,,,,,
946684945,3,0,191,1041,24,3.26,,,,,,,,,
946684948,3,0,188,1040,24,3.27,,,,,,,,,
946684951,3,0,192,1041,24,3.27,,,,,,,,,
946684954,3,0,187,1042,24,3.28,,,,,,,,,
946684957,3,0,199,1039,24,3.28,,,,,,,,,
946684960,3,0,188,1038,24,3.26,,,,,,,,,
946684963,3,0,201,1039,24,3.27,,,,,,,,,
946684966,3,0,186,1039,24,3.27,,,,,,,,,
946684969,3,0,193,1040,24,3.27,,,,,,,,,
946684972,3,0,188,1041,24,3.28,,,,,,,,,
946684975,3,0,194,1042,24,3.26,,,,,,,,,
