UNIXTIME,CO2
1588208401,1790.00
1588208402,1790.00
1588208403,1790.00
1588208404,1790.00
1588208405,1791.00
1588208406,1792.00
1588208407,1793.00
1588208408,1793.00
1588208409,1794.00
1588208410,1794.00
1588208411,1795.00
1588208412,1795.00
1588208413,1794.00
1588208414,1794.00
1588208415,1793.00
1588208416,1793.00
1588208417,1793.00
1588208418,1793.00
1588208419,1794.00
1588208420,1794.00
1588208421,1794.00
1588208422,1794.00
1588208423,1794.00
1588208424,1794.00
1588208425,1794.00
1588208426,1794.00
1588208427,1794.00
1588208428,1794.00
1588208429,1794.00
1588208430,1794.00
1588208431,1794.00
1588208432,1795.00
1588208433,1795.00
1588208434,1796.00
1588208435,1797.00
1588208436,1797.00
1588208437,1798.00
1588208438,1798.00
1588208439,1798.00
1588208440,1798.00
1588208441,1798.00
1588208442,1799.00
1588208443,1799.00
1588208444,1800.00
1588208445,1800.00
1588208446,1801.00
1588208447,1801.00
1588208448,1801.00
1588208449,1801.00
1588208450,1801.00
1588208451,1801.00
1588208452,1801.00
1588208453,1802.00
1588208454,1802.00
1588208455,1803.00
1588208456,1803.00
1588208457,1804.00
1588208458,1804.00
1588208459,1805.00
1588208460,1805.00
1588208461,1806.00
1588208462,1806.00
1588208463,1807.00
1588208464,1807.00
1588208465,1807.00
1588208466,1807.00
1588208467,1807.00
1588208468,1808.00
1588208469,1807.00
1588208470,1807.00
1588208471,1807.00
1588208472,1807.00
1588208473,1807.00
1588208474,1807.00
1588208475,1807.00
1588208476,1807.00
1588208477,1807.00
1588208478,1807.00
1588208479,1807.00
1588208480,1807.00
1588208481,1806.00
1588208482,1806.00
1588208483,1806.00
1588208484,1806.00
1588208485,1806.00
1588208486,1806.00
1588208487,1806.00
1588208488,1806.00
1588208489,1806.00
1588208490,1805.00
1588208491,1805.00
1588208492,1804.00
1588208493,1804.00
1588208494,1803.00
1588208495,1803.00
1588208496,1803.00
1588208497,1803.00
1588208498,1803.00
1588208499,1803.00
1588208500,1803.00
1588208501,1803.00
1588208502,1803.00
1588208503,1804.00
1588208504,1804.00
1588208505,1804.00
1588208506,1804.00
1588208507,1803.00
1588208508,1803.00
1588208509,1803.00
1588208510,1802.00
1588208511,1802.00
1588208512,1802.00
1588208513,1801.00
1588208514,1801.00
1588208515,1800.00
1588208516,1800.00
1588208517,1800.00
1588208518,1800.00
1588208519,1800.00
1588208520,1800.00
1588208521,1799.00
1588208522,1799.00
1588208523,1798.00
1588208524,1798.00
1588208525,1797.00
1588208526,1797.00
1588208527,1797.00
1588208528,1797.00
1588208529,1797.00
1588208530,1797.00
1588208531,1797.00
1588208532,1796.00
1588208533,1796.00
1588208534,1796.00
1588208535,1796.00
1588208536,1795.00
1588208537,1795.00
1588208538,1794.00
1588208539,1794.00
1588208540,1794.00
1588208541,1794.00
1588208542,1794.00
1588208543,1793.00
1588208544,1793.00
1588208545,1792.00
1588208546,1792.00
1588208547,1791.00
1588208548,1791.00
1588208549,1791.00
1588208550,1791.00
1588208551,1791.00
1588208552,1792.00
1588208553,1792.00
1588208554,1792.00
1588208555,1793.00
1588208556,1793.00
1588208557,1794.00
1588208558,1794.00
1588208559,1794.00
1588208560,1794.00
1588208561,1794.00
1588208562,1795.00
1588208563,1795.00
1588208564,1796.00
1588208565,1796.00
1588208566,1797.00
1588208567,1797.00
1588208568,1797.00
1588208569,1797.00
1588208570,1797.00
1588208571,1798.00
1588208572,1799.00
1588208573,1800.00
1588208574,1800.00
1588208575,1801.00
1588208576,1801.00
1588208577,1801.00
1588208578,1802.00
1588208579,1803.00
1588208580,1804.00
1588208581,1805.00
1588208582,1805.00
1588208583,1806.00
1588208584,1806.00
1588208585,1806.00
1588208586,1807.00
1588208587,1808.00
1588208588,1808.00
1588208589,1808.00
1588208590,1809.00
1588208591,1809.00
1588208592,1809.00
1588208593,1809.00
1588208594,1810.00
1588208595,1811.00
1588208596,1811.00
1588208597,1812.00
1588208598,1812.00
1588208599,1812.00
1588208600,1812.00
1588208601,1812.00
1588208602,1813.00
1588208603,1813.00
1588208604,1814.00
1588208605,1814.00
1588208606,1814.00
1588208607,1815.00
1588208608,1815.00
1588208609,1815.00
1588208610,1815.00
1588208611,1815.00
1588208612,1815.00
1588208613,1815.00
1588208614,1815.00
1588208615,1814.00
1588208616,1814.00
1588208617,1814.00
1588208618,1814.00
1588208619,1813.00
1588208620,1813.00
1588208621,1812.00
1588208622,1812.00
1588208623,1811.00
1588208624,1811.00
1588208625,1811.00
1588208626,1810.00
1588208627,1810.00
1588208628,1810.00
1588208629,1810.00
1588208630,1810.00
1588208631,1810.00
1588208632,1810.00
1588208633,1809.00
1588208634,1809.00
1588208635,1809.00
1588208636,1809.00
1588208637,1809.00
1588208638,1809.00
1588208639,1809.00
1588208640,1810.00
1588208641,1810.00
1588208642,1810.00
1588208643,1810.00
1588208644,1811.00
1588208645,1811.00
1588208646,1812.00
1588208647,1812.00
1588208648,1811.00
1588208649,1811.00
1588208650,1810.00
1588208651,1810.00
1588208652,1810.00
1588208653,1810.00
1588208654,1810.00
1588208655,1810.00
1588208656,1810.00
1588208657,1811.00
1588208658,1811.00
1588208659,1811.00
1588208660,1810.00
1588208661,1810.00
1588208662,1809.00
1588208663,1809.00
1588208664,1808.00
1588208665,1807.00
1588208666,1806.00
1588208667,1806.00
1588208668,1806.00
1588208669,1805.00
1588208670,1805.00
1588208671,1805.00
1588208672,1805.00
1588208673,1805.00
1588208674,1806.00
1588208675,1806.00
1588208676,1806.00
1588208677,1807.00
1588208678,1807.00
1588208679,1807.00
1588208680,1807.00
1588208681,1807.00
1588208682,1807.00
1588208683,1807.00
1588208684,1808.00
1588208685,1808.00
